author,n_seed_dois_cited,n_citing_works,seed_dois,seed_short_titles,seed_titles_full
Esther Duflo,4,5,10.1257/aeri.20210612; 10.3386/w28726; 10.3386/w30011; 10.3386/w32728,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…; A Welfare Analysis of Policies Impacting Climate Change","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes; A Welfare Analysis of Policies Impacting Climate Change"
Julian Jamison,4,5,10.1257/aeri.20210612; 10.2139/ssrn.4154000; 10.3386/w28726; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Berk Özler,4,3,10.2139/ssrn.4154000; 10.3386/w23929; 10.3386/w28726; 10.3386/w30011,"How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Johannes Haushofer,3,10,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Ahmed Mushfiq Mobarak,3,8,10.3386/w23929; 10.3386/w28726; 10.3386/w30011,"Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Dean Karlan,3,7,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w28726,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Vikram Patel,3,6,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Abhijit Banerjee,3,5,10.1257/aeri.20210612; 10.3386/w28726; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Asad Islam,3,5,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
David E. Bloom,3,5,10.1257/pandp.20201017; 10.3386/w26775; 10.3386/w30202,Advance Market Commitments; Advance Market Commitments; Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts…,Advance Market Commitments: Insights from Theory and Experience; Advance Market Commitments: Insights from Theory and Experience; Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination
David Manheim,3,5,10.1257/pandp.20201017; 10.3386/w23928; 10.48550/arxiv.2305.07153,Advance Market Commitments; Artificial Intelligence and Economic Growth; Towards best practices in AGI safety and governance,Advance Market Commitments: Insights from Theory and Experience; Artificial Intelligence and Economic Growth; Towards best practices in AGI safety and governance: A survey of expert opinion
Gharad Bryan,3,5,10.3386/w23929; 10.3386/w28106; 10.3386/w28726,Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
