paper,metric,midpoint,lower_bound,upper_bound,model,scale
Abbink_et_al._2025,overall,74,60,86,gpt-5-pro-2025-10-06,percentile
Abbink_et_al._2025,claims_evidence,73,60,85,gpt-5-pro-2025-10-06,percentile
Abbink_et_al._2025,methods,70,55,82,gpt-5-pro-2025-10-06,percentile
Abbink_et_al._2025,advancing_knowledge,78,65,88,gpt-5-pro-2025-10-06,percentile
Abbink_et_al._2025,logic_communication,82,72,90,gpt-5-pro-2025-10-06,percentile
Abbink_et_al._2025,open_science,35,20,55,gpt-5-pro-2025-10-06,percentile
Abbink_et_al._2025,global_relevance,85,75,92,gpt-5-pro-2025-10-06,percentile
Abbink_et_al._2025,tier_should,4.0,3.4,4.6,gpt-5-pro-2025-10-06,tier
Abbink_et_al._2025,tier_will,3.6,3.0,4.2,gpt-5-pro-2025-10-06,tier
Acemoglu_et_al._2024,overall,92,87,97,gpt-5-pro-2025-10-06,percentile
Acemoglu_et_al._2024,claims_evidence,90,84,95,gpt-5-pro-2025-10-06,percentile
Acemoglu_et_al._2024,methods,88,82,93,gpt-5-pro-2025-10-06,percentile
Acemoglu_et_al._2024,advancing_knowledge,92,86,96,gpt-5-pro-2025-10-06,percentile
Acemoglu_et_al._2024,logic_communication,92,87,96,gpt-5-pro-2025-10-06,percentile
Acemoglu_et_al._2024,open_science,68,55,78,gpt-5-pro-2025-10-06,percentile
Acemoglu_et_al._2024,global_relevance,95,90,99,gpt-5-pro-2025-10-06,percentile
Acemoglu_et_al._2024,tier_should,4.7,4.2,5.0,gpt-5-pro-2025-10-06,tier
Acemoglu_et_al._2024,tier_will,4.5,3.8,4.9,gpt-5-pro-2025-10-06,tier
Adena_and_Hager_2024,overall,85,77,92,gpt-5-pro-2025-10-06,percentile
Adena_and_Hager_2024,claims_evidence,82,72,90,gpt-5-pro-2025-10-06,percentile
Adena_and_Hager_2024,methods,86,78,92,gpt-5-pro-2025-10-06,percentile
Adena_and_Hager_2024,advancing_knowledge,84,72,91,gpt-5-pro-2025-10-06,percentile
Adena_and_Hager_2024,logic_communication,90,84,96,gpt-5-pro-2025-10-06,percentile
Adena_and_Hager_2024,open_science,54,40,68,gpt-5-pro-2025-10-06,percentile
Adena_and_Hager_2024,global_relevance,72,62,85,gpt-5-pro-2025-10-06,percentile
Adena_and_Hager_2024,tier_should,4.2,3.6,4.8,gpt-5-pro-2025-10-06,tier
Adena_and_Hager_2024,tier_will,4.1,3.3,4.7,gpt-5-pro-2025-10-06,tier
Aghion_et_al._2017,overall,83,75,90,gpt-5-pro-2025-10-06,percentile
Aghion_et_al._2017,claims_evidence,78,70,86,gpt-5-pro-2025-10-06,percentile
Aghion_et_al._2017,methods,75,65,84,gpt-5-pro-2025-10-06,percentile
Aghion_et_al._2017,advancing_knowledge,81,72,89,gpt-5-pro-2025-10-06,percentile
Aghion_et_al._2017,logic_communication,88,82,94,gpt-5-pro-2025-10-06,percentile
Aghion_et_al._2017,open_science,47,35,60,gpt-5-pro-2025-10-06,percentile
Aghion_et_al._2017,global_relevance,70,58,78,gpt-5-pro-2025-10-06,percentile
Aghion_et_al._2017,tier_should,4.4,3.9,4.9,gpt-5-pro-2025-10-06,tier
Aghion_et_al._2017,tier_will,4.2,3.6,4.8,gpt-5-pro-2025-10-06,tier
Akram_et_al._2017,overall,87,82,92,gpt-5-pro-2025-10-06,percentile
Akram_et_al._2017,claims_evidence,86,80,91,gpt-5-pro-2025-10-06,percentile
Akram_et_al._2017,methods,80,72,87,gpt-5-pro-2025-10-06,percentile
Akram_et_al._2017,advancing_knowledge,88,83,93,gpt-5-pro-2025-10-06,percentile
Akram_et_al._2017,logic_communication,84,78,90,gpt-5-pro-2025-10-06,percentile
Akram_et_al._2017,open_science,35,25,50,gpt-5-pro-2025-10-06,percentile
