paper,metric,midpoint,lower_bound,upper_bound
Adena and Hager 2024,overall,82.0,74.0,89.0
Adena and Hager 2024,claims_evidence,84.0,77.0,90.0
Adena and Hager 2024,methods,85.0,78.0,91.0
Adena and Hager 2024,advancing_knowledge,76.0,68.0,84.0
Adena and Hager 2024,logic_communication,87.0,81.0,92.0
Adena and Hager 2024,open_science,66.0,55.0,75.0
Adena and Hager 2024,global_relevance,73.0,63.0,83.0
Green et al. 2025,overall,79.0,70.0,86.0
Green et al. 2025,claims_evidence,80.0,72.0,88.0
Green et al. 2025,methods,76.0,64.0,85.0
Green et al. 2025,advancing_knowledge,74.0,63.0,83.0
Green et al. 2025,logic_communication,86.0,78.0,92.0
Green et al. 2025,open_science,93.0,86.0,98.0
Green et al. 2025,global_relevance,83.0,72.0,91.0
Peterman et al. 2025,overall,85.0,78.0,92.0
Peterman et al. 2025,claims_evidence,85.0,77.0,90.0
Peterman et al. 2025,methods,82.0,72.0,88.0
Peterman et al. 2025,advancing_knowledge,84.0,76.0,90.0
Peterman et al. 2025,logic_communication,88.0,82.0,94.0
Peterman et al. 2025,open_science,73.0,60.0,85.0
Peterman et al. 2025,global_relevance,90.0,84.0,96.0
