paper,tier_kind,score,lo,hi,rationale
Acemoglu et al. 2024,tier_should,4.4,3.8,4.9,"Methodologically strong, policy-relevant, and well-argued with large-scale field evidence. Fits top field or marginal A-journal standards in political economy/development/political science. Limits on generalizability and some design constraints keep it just shy of top general journals."
Acemoglu et al. 2024,tier_will,4.3,3.6,4.8,"Given design quality, scale, and clear results, likely to land in a top field or marginal A journal. Publication path may hinge on perceived external validity and debates over mechanisms/benchmarks; nonetheless strong prospects."
Adena and Hager 2024,tier_should,4.2,3.6,4.7,"Novel, nationwide randomized field experiment with strong identification and practical contributions. Suitable for top field journals (applied micro/marketing/management/NP). Aggregate data and scope modestly limit A-journal likelihood but merit is high."
Adena and Hager 2024,tier_will,3.9,3.2,4.5,"Likely placement in a strong/top field journal (applied micro, marketing/management science, nonprofit). A-journal possible but uncertain given scope, data access, and niche audience."
Aghion et al. 2017,tier_should,4.3,3.8,4.8,Strong theoretical contribution and synthesis with clear implications; suitable for top field or marginal A-journal. Lack of causal empirics/calibration likely keeps it just below top general outlets.
Aghion et al. 2017,tier_will,4.1,3.6,4.6,Likely to publish in a leading field or marginal A-journal given topic salience and quality. Empirical lightness could steer it to strong field journals; interest in AI–macro may nudge upward.
Akram et al. 2017,tier_should,4.3,3.8,4.8,"Methodologically strong, policy-relevant RCT with credible GE estimates merits a top field or marginal general-interest outlet. Minor weaknesses (some retrospective measures, a few weak IVs, limited multiplicity adjustment) likely prevent top-5 placement but still very strong."
Akram et al. 2017,tier_will,4.2,3.5,4.7,"Given rigor, scope, and policy salience, it is likely to land in a top field journal or marginal A-level outlet. Some fragility in employer/profit results and data-sharing limits may reduce chances at the very top, but prospects remain strong."
Alatas et al. 2019,tier_should,4.3,3.8,4.7,"Deserves a top field/marginal A placement: compelling RCT, novel identification, strong online evidence, and clear policy implications. Constraints on offline outcomes and generalizability likely keep it short of top general-interest journals."
Alatas et al. 2019,tier_will,4.2,3.6,4.6,"Likely to publish in a strong field or marginal A journal given rigor and timeliness. Some venues may hesitate due to modest offline impacts, platform specificity, and replication/data-sharing limits."
Alcott et al. 2024,tier_should,4.6,4.1,5.0,"Conceptual advance plus competent empirics with strong policy salience. Merits top field or general-interest outlet; with polishing, plausible for an A journal."
Alcott et al. 2024,tier_will,4.4,3.8,4.9,"Likely to publish in a top field or AEJ-level journal; nontrivial chance at an A journal given breadth and clarity, but empirical limitations may steer to top field."
Angrist et al. 2023,tier_should,4.3,3.7,4.8,"On merit, this warrants a top field or marginal A-journal: multi-country RCTs, strong external validity, policy relevance, government scale evidence, and high cost-effectiveness with careful measurement. Minor methodological and openness limitations prevent a clear top-general placement."
Angrist et al. 2023,tier_will,3.9,3.2,4.4,"Most likely in a strong/top field outlet in development/education or an applied general-interest field journal. High policy salience and rigorous design raise prospects, but mixed novelty to theory and open-science gaps may limit placement in top general journals."
Arora et al. 2023,tier_should,4.3,3.7,4.8,"Major, policy-relevant contribution with credible (if debatable) identification, rich data, and broad implications. Methods and robustness justify top field or marginal A placement; residual identification/measurement caveats likely prevent clear A+ placement."
Arora et al. 2023,tier_will,3.9,3.2,4.4,"High-visibility, novel design and results suggest publication in a strong top field or marginal A outlet. Debates over IV validity/data access may steer toward top field journals rather than elite general-interest outlets."
Bahar et al. 2022,tier_should,4.2,3.7,4.7,"Merits top field or marginal A-journal: credible causal design, important policy question, novel method, sizable effects. Some methodological complexity and replicability limits may keep it just below top general journals."
Bahar et al. 2022,tier_will,3.9,3.4,4.3,"Likely to publish in a strong/top field journal (e.g., AEJ-type, JDE, JPubE). Novelty and policy relevance are strong; methodological novelty plus limited open materials may reduce odds of top general journal placement."
Banerjee et al 2022,tier_should,4.6,4.1,5.0,"Strong, novel methodology with rigorous theory plus a high‑quality application and clear policy value. Fit for a top field or A‑journal in applied econometrics/development. Assumptions and selection‑inference caveats modestly limit ceiling."
Banerjee et al 2022,tier_will,4.4,3.8,5.0,"Likely to place in a top field or marginal A‑journal given methodological contribution and impactful application. Some journals may be cautious about selection‑conditional inference details and data/code availability, creating variance in outcomes."
Banerjee et al. 2022,tier_should,4.6,4.2,5.0,Methodological innovation with strong theory and a compelling large-scale application. Practical policy value plus generalizability. Merits a top field or general-interest outlet; borderline A-journal quality on content alone.
Banerjee et al. 2022,tier_will,4.4,3.8,4.9,"Bridging theory and applied development may steer toward top field journals in econ/stats or strong interdisciplinary outlets. Publication prospects are very strong, though cross-field fit and replication assets may affect placement."
Banerjee et al. 2023,tier_should,4.6,4.2,5.0,"Methodologically rigorous, novel, and highly policy-relevant. Even as an early round, results substantially advance understanding of UBI and transfer design. Merits a top field or marginal A-journal; with longer-term follow-ups, could warrant top general outlet."
Banerjee et al. 2023,tier_will,4.4,3.8,5.0,"Likely to place in a strong top field or marginal A-journal given scale, novelty, and careful execution. Early horizon and cross-arm power limits may temper top-5 probability until longer-term results arrive."
Barberio et al. 2022,tier_should,3.6,3.0,4.3,Solid applied contribution with clear modeling and policy insight; moderate methodological novelty and reliance on assumptions; limited openness. Fits strong field or marginal top field journals in health policy/OR/finance.
Barberio et al. 2022,tier_will,3.4,2.8,4.1,"Given cross-disciplinary scope and modeling nature, likely in a strong field journal; A-journal possible but less likely without code/empirical validation."
Barker et al. 2021,tier_should,3.7,3.2,4.2,"Merits publication in a strong field journal; potentially marginal A with longer-term or more objective outcomes. Strong design and policy relevance, but short horizon and self-reported outcomes temper fit for top-tier general outlets."
Barker et al. 2021,tier_will,3.5,3.0,4.0,Likely to place in a strong development/applied econ field journal; could reach marginal A if complemented by longer-run or objective impacts. Some uncertainty due to reliance on self-reports and lack of cost-effectiveness at this stage.
Benabou et al. 2023,tier_should,4.2,3.6,4.7,"Rigor, novelty, and broad interest justify top field or marginal A placement in behavioral/experimental econ or interdisciplinary outlets. Slight limits: external validity and mainly descriptive mechanisms."
Benabou et al. 2023,tier_will,4.0,3.2,4.5,Likely to publish in a strong field or marginal A journal given design quality and interest across econ/psych; A-journal possible but uncertain due to external validity and descriptive focus.
Benjamin et al. 2023,tier_should,4.5,4.0,5.0,"Conceptually strong and methodologically rigorous with broad applicability to SWB and survey measurement. Merits a top field to A-journal given novelty, careful theory, and convincing applications, despite sample limitations and reliance on assumptions for identification."
Benjamin et al. 2023,tier_will,4.3,3.7,4.8,"Likely to place in a top field or marginal A-journal. Strong methods and clear contributions; some editors may flag MTurk sample and assumption reliance, but impact on SWB practice is significant, supporting high-tier publication prospects."
Bergeron et al. 2024,tier_should,4.3,3.7,4.8,"Strong theory plus broad, careful empirics with novel cross-walk between micro beliefs and macro outcomes. Identification limits likely preclude top-5, but merits top field or marginal A outlet based on rigor, breadth, and contribution."
Bergeron et al. 2024,tier_will,4.0,3.3,4.6,Likely to publish in a top field or marginal A journal given breadth and interest; observational identification may deter the very top general journals but still attractive to strong field outlets.
Bettle 2023,tier_should,3.2,2.6,3.8,Strong applied methodological guide suitable for evaluation/evidence-use journals or top field outlets focused on development policy/practice. Not A-journal novelty but substantial practical value and clarity justify top B/strong field placement.
Bettle 2023,tier_will,2.7,2.0,3.4,"As a practitioner-oriented report, more likely to land in a decent field/policy-evaluation journal or remain as an institutional report. If submitted, odds favor marginal-to-strong field journals over top field/A-journals."
