before_path,after_path,match_method,match_score,paper_id,paper_title,before_name,after_name,status,before_text_length,after_text_length,text_length_change,text_length_change_pct,additions_count,deletions_count,total_changes,unified_diff_sample,evaluation_files,has_evaluation,timestamp
more papers/Weaver et al. 2025.pdf,latest_papers_post_UJ/Jeffrey WeaverSandip SukhtankarPaul Niehaus Karthik Muralidharan_Cash Transfers for Child Development- Experimental Evidence from India.pdf,confirmed_manual,0.6162790697674418,Jeffrey WeaverSandip SukhtankarPaul Niehaus Karthik Muralidharan_Cash Transfers for Child Development- Experimental Evidence from India,Cash Transfers for Child Development: Experimental Evidence from India,Weaver et al. 2025.pdf,Jeffrey WeaverSandip SukhtankarPaul Niehaus Karthik Muralidharan_Cash Transfers for Child Development- Experimental Evidence from India.pdf,success,130691,130691,0,0.0,0,0,0,,[],False,2025-11-04T08:43:03.291085
more papers/Aghion et al. 2017.pdf,latest_papers_post_UJ/Philippe Aghion Benjamin F JonesCharles I Jones_Artificial Intelligence and Economic Growth.pdf,confirmed_manual,0.5833333333333334,Philippe Aghion Benjamin F JonesCharles I Jones_Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,Aghion et al. 2017.pdf,Philippe Aghion Benjamin F JonesCharles I Jones_Artificial Intelligence and Economic Growth.pdf,success,95172,95172,0,0.0,0,0,0,,['unjournal_evaluations/aitrammel.md'],True,2025-11-04T08:43:10.754976
more papers/Kremer et al. 2020.pdf,latest_papers_post_UJ/Michael KremerJonathan D LevinChristopher M Snyder_Advance Market Commitments- Insights from Theory and Experience.pdf,confirmed_manual,0.5759493670886076,Michael KremerJonathan D LevinChristopher M Snyder_Advance Market Commitments- Insights from Theory and Experience,Advance Market Commitments: Insights from Theory and Experience,Kremer et al. 2020.pdf,Michael KremerJonathan D LevinChristopher M Snyder_Advance Market Commitments- Insights from Theory and Experience.pdf,success,18817,42979,24162,128.40516554179732,891,272,1163,"--- 
+++ 
@@ -1,277 +1,896 @@
-AEA Papers and Proceedings 2020, 110: 269–273
-https://doi.org/10.1257/pandp.20201017
-Advance Market Commitments:
-Insights from Theory and Experience†
-By Michael Kremer, Jonathan Levin, and Christopher M. Snyder*
-Ten years ago, donors committed $1.5 bil- The AMC is designed to tackle static and
-lion to a pilot advance market commitment dynamic distortions in the vaccine market.
-AMC to help purchase pneumococcal vaccine The price-cap feature of the AMC is designed
-( )
-for low-income countries. The AMC aimed to to mitigate static deadweight loss from firms
-encourage the development of such vaccines, exercising market power. Donors’ commitment
-ensure distribution to children in l ow-income to top-up price above marginal cost is designed
-countries, and pilot the AMC mechanism for to bolster dynamic R&D incentives, which are
-possible future use. Three vaccines have been weak due to a number of factors, including lim-
-developed and more than 150 million children ited purchasing power in low-income countries,
-immunized, saving an estimated 700,000 lives. free riding by the unvaccinated on the reduction
-This paper reviews the economic logic behind in disease transmission, and political pressure to
-AMCs, the experience with the pilot, and key reduce price once a vaccine has been developed,
-issues for future AMCs. causing a holdup problem.
-AMCs’ “pull” funding is meant to supple-
-I. Theory of AMCs ment, not replace, direct R&D support i.e.,
+NBER WORKING PAPER SERIES
+ADVANCE MARKET COMMITMENTS:
+INSIGHTS FROM THEORY AND EXPERIENCE
+Michael Kremer
+Jonathan D. Levin
+Christopher M. Snyder
+Working Paper 26775
+http://www.nber.org/papers/w26775
+NATIONAL BUREAU OF ECONOMIC RESEARCH
+1050 Massachusetts Avenue
+Cambridge, MA 02138
+February 2020
+The authors were members of the Economic Expert Group that helped to design the pilot
+Advance Market Commitment for pneumococcus vaccine. We are grateful to Arthur Baker and
+Junyi Que for excellent research assistance and Owen Barder, Rachel Glennerster, Imran Rasul,
+and participants in “The Economics of Health Epidemics” session at the 2020 American
+Economic Association meetings for insightful comments. This working paper integrates the text
+and online appendix of a paper forthcoming in the American Economic Association Papers and
+Proceedings. The views expressed herein are those of the authors and do not necessarily reflect
+the views of the National Bureau of Economic Research.
+At least one co-author has disclosed a financial relationship of potential relevance for this
+research. Further information is available online at http://www.nber.org/papers/w26775.ack
+NBER working papers are circulated for discussion and comment purposes. They have not been
+peer-reviewed or been subject to the review by the NBER Board of Directors that accompanies
+official NBER publications.
+© 2020 by Michael Kremer, Jonathan D. Levin, and Christopher M. Snyder. All rights reserved.
+Short sections of text, not to exceed two paragraphs, may be quoted without explicit permission
+provided that full credit, including © notice, is given to the source.
+
+Advance Market Commitments: Insights from Theory and Experience
+Michael Kremer, Jonathan D. Levin, and Christopher M. Snyder
+NBER Working Paper No. 26775
+February 2020
+JEL No. I15,L65,O38
+ABSTRACT
+Ten years ago, donors committed $1.5 billion to a pilot Advance Market Commitment (AMC) to
+help purchase pneumococcal vaccine for low-income countries. The AMC aimed to encourage
+the development of such vaccines, ensure distribution to children in low-income countries, and
+pilot the AMC mechanism for possible future use. Three vaccines have been developed and more
+than 150 million children immunized, saving an estimated 700,000 lives. This paper reviews the
+economic logic behind AMCs, the experience with the pilot, and key issues for future AMCs.
+Michael Kremer Christopher M. Snyder
+Harvard University Department of Economics
+Department of Economics Dartmouth College
+Littauer Center M20 301 Rockefeller Hall
+Cambridge, MA 02138 Hanover, NH 03755
+and NBER and NBER
+mkremer@fas.harvard.edu chris.snyder@dartmouth.edu
+Jonathan D. Levin
+Stanford University
+Department of Economics
+Stanford, CA 94305-6072
+and NBER
+jdlevin@stanford.edu
+A data appendix is available at http://www.nber.org/data-appendix/w26775
+
+1. Introduction
+Ten years ago, donors committed $1.5 billion to a pilot Advance Market Commitment (AMC) to
+help purchase pneumococcal vaccine for low-income countries. The AMC aimed to encourage the
+development of such vaccines, ensure distribution to children in low-income countries, and pilot
+The AMC mechanism for possible future use. Three vaccines have been developed and more than
+150 million children immunized, saving an estimated 700,000 lives. This paper reviews the
+economic logic behind AMCs, the experience with the pilot, and key issues for future AMCs.
+2. Review of AMC Theory
+2.1. Technologically Distant Target
+Kremer and Glennerster (2004) proposed AMCs to encourage research on vaccines against
+diseases such as malaria primarily affecting low-income countries, and to promote access to these
+vaccines once developed. The AMC has donors pledge to top up payments for newly introduced
+vaccine meeting technical benchmarks, conditional on the firm’s setting the price close to marginal
+cost.
+The AMC is designed to tackle static and dynamic distortions in the vaccine market. The
+price-cap feature of the AMC is designed to mitigate static deadweight loss from firms’ exercising
+market power. Donors’ commitment to top up price above marginal cost is designed to bolster
+dynamic R&D incentives, which are weak due to a number of factors including limited purchasing
+power in low-income countries, free riding by the unvaccinated on the reduction in disease
+transmission, and political pressure to reduce price once a vaccine has been developed, causing a",[],False,2025-11-04T08:43:17.776972
more papers/Haushofer et al. 2020.pdf,latest_papers_post_UJ/Johannes HaushoferRobert MudidaJeremy P Shapiro_The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic W.pdf,confirmed_manual,0.59375,Johannes HaushoferRobert MudidaJeremy P Shapiro_The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic W,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Haushofer et al. 2020.pdf,Johannes HaushoferRobert MudidaJeremy P Shapiro_The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic W.pdf,success,106508,106508,0,0.0,0,0,0,,"['unjournal_evaluations/cashtransferseval1.md', 'unjournal_evaluations/cashtransferseval2.md']",True,2025-11-04T08:43:26.305396
more papers/Denkenberger et al. 2022.pdf,latest_papers_post_UJ/David DenkenbergerAnders SandbergRoss John TiemanJoshua M Pearce_Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial gener.pdf,confirmed_manual,0.5694444444444444,David DenkenbergerAnders SandbergRoss John TiemanJoshua M Pearce_Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial gener,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Denkenberger et al. 2022.pdf,David DenkenbergerAnders SandbergRoss John TiemanJoshua M Pearce_Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial gener.pdf,success,120573,120573,0,0.0,0,0,0,,"['unjournal_evaluations/eval1allfed.md', 'unjournal_evaluations/eval3allfed.md']",True,2025-11-04T08:43:39.119915
more papers/Kubo et al. 2023.pdf,latest_papers_post_UJ/Takahiro KuboTaro MienoShinya UryuSaeko TeradaDiogo Veríssimo_Banning wildlife trade can boost demand for unregulated threatened species.pdf,confirmed_manual,0.5674157303370786,Takahiro KuboTaro MienoShinya UryuSaeko TeradaDiogo Veríssimo_Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand for unregulated threatened species,Kubo et al. 2023.pdf,Takahiro KuboTaro MienoShinya UryuSaeko TeradaDiogo Veríssimo_Banning wildlife trade can boost demand for unregulated threatened species.pdf,success,57802,57802,0,0.0,0,0,0,,"['unjournal_evaluations/e2_banningwildlife.md', 'unjournal_evaluations/banningwildlifeeval1liew.md']",True,2025-11-04T08:43:51.367841
more papers/Fangwa et al. 2023.pdf,latest_papers_post_UJ/Anicet FangwaCaroline FlammerMarieke HuysentruytBertrand Quelin_The Governance Of Non-Profits And Their Social Impact- Evidence From A Randomized Program In Healthc.pdf,confirmed_manual,0.556,Anicet FangwaCaroline FlammerMarieke HuysentruytBertrand Quelin_The Governance Of Non-Profits And Their Social Impact- Evidence From A Randomized Program In Healthc,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Fangwa et al. 2023.pdf,Anicet FangwaCaroline FlammerMarieke HuysentruytBertrand Quelin_The Governance Of Non-Profits And Their Social Impact- Evidence From A Randomized Program In Healthc.pdf,success,119391,119391,0,0.0,0,0,0,,[],False,2025-11-04T08:44:02.245640
more papers/Buntaine et al. 2023.pdf,latest_papers_post_UJ/Mark BuntaineMichael GreenstoneGuojun HeMengdi LiuShaoda WangBing Zhang_Does the Squeaky Wheel Get More Grease The Direct and Indirect Effects of Citizen Participation on E.pdf,confirmed_manual,0.5596026490066225,Mark BuntaineMichael GreenstoneGuojun HeMengdi LiuShaoda WangBing Zhang_Does the Squeaky Wheel Get More Grease The Direct and Indirect Effects of Citizen Participation on E,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Buntaine et al. 2023.pdf,Mark BuntaineMichael GreenstoneGuojun HeMengdi LiuShaoda WangBing Zhang_Does the Squeaky Wheel Get More Grease The Direct and Indirect Effects of Citizen Participation on E.pdf,success,123145,122123,-1022,-0.8299159527386415,39,71,110,"--- 
+++ 
@@ -1,76 +1,44 @@
-NBER WORKING PAPER SERIES
-DOES THE SQUEAKY WHEEL GET MORE GREASE? THE DIRECT AND INDIRECT
-EFFECTS OF CITIZEN PARTICIPATION ON ENVIRONMENTAL GOVERNANCE
-IN CHINA
-Mark Buntaine
-Michael Greenstone
-Guojun He
-Mengdi Liu
-Shaoda Wang
-Bing Zhang
-Working Paper 30539
-http://www.nber.org/papers/w30539
-NATIONAL BUREAU OF ECONOMIC RESEARCH
-1050 Massachusetts Avenue
-Cambridge, MA 02138
-October 2022, revised August 2023
-We thank Martina Bjorkman-Nyqvist, Robin Burgess, Fiona Burlig, Jiahua Che, Kim Fe Cramer,
-Richard DiSalvo, Hanming Fang, Eyal Frank, Matthew Gordon, Chang-Tai Hsieh, Kelsey Jack,
-Ruixue Jia, Panle Jia Barwick, Ryan Kellogg, Jing Li, Shanjun Li, Mushfiq Mobarak, Ben Olken,
-Nancy Qian, James Robinson, Nicholas Ryan, Joseph Shapiro, Venkat Bhargav Sreedhara, Reed
-Walker, Ye Wang, Daniel Xu, David Yang, Noam Yuchtman, and numerous seminar and
-conference participants for insightful suggestions. The research described in this article was
-approved by the IRB at the University of Chicago and University of California, Santa Barbara.
-Jiaying Chen, Xun Fan, Yue He, Neil Himwich, Chenye Liu, Zifu Liu, Ziyi Liu, Matthew Neils,
-Wenwei Peng, Fan Sun, Yue Tang, Fanyu Wang, Xurui Wang, Jiaqi Zhang, Yimeng Zhang,
-Runren Zhou, and Ziao Zhu provided excellent research assistance. Financial support from the
-National Science Foundation of China (Grant No. 71825005 & 72161147002) and the Energy
-Policy Institute at UChicago (EPIC) is gratefully acknowledged. The AEA RCT registry ID is
-AEARCTR-0005601. The views expressed herein are those of the authors and do not necessarily
-reflect the views of the National Bureau of Economic Research.
-NBER working papers are circulated for discussion and comment purposes. They have not been
-peer-reviewed or been subject to the review by the NBER Board of Directors that accompanies
-official NBER publications.
-© 2022 by Mark Buntaine, Michael Greenstone, Guojun He, Mengdi Liu, Shaoda Wang, and
-Bing Zhang. All rights reserved. Short sections of text, not to exceed two paragraphs, may be
-quoted without explicit permission provided that full credit, including © notice, is given to the
-source.
-
-Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation
+WORKING PAPER · NO. 2022-135
+Does the Squeaky Wheel Get More Grease?
+The Direct and Indirect Effects of Citizen Participation
 on Environmental Governance in China
 Mark Buntaine, Michael Greenstone, Guojun He, Mengdi Liu, Shaoda Wang, and Bing Zhang
-NBER Working Paper No. 30539
-October 2022, revised August 2023
-JEL No. K32,P28,Q52
-ABSTRACT
-We conducted a nationwide field experiment in China to evaluate the direct and indirect impacts
-of assigning firms to public or private citizen appeals when they violate pollution standards.
-There are three main findings. First, public appeals to the regulator through social media
-substantially reduce violations and pollution emissions, while private appeals cause more modest
-environmental improvements. Second, public appeals appear to tilt regulators’ focus away from
-facilitating economic growth and toward avoiding pollution-induced public unrest. Third,
-pollution reductions by treated firms are not offset by control firms, based on randomly varying
-the proportion of treatment firms at the prefecture-level.
-Mark Buntaine Mengdi Liu
-University of California, Santa Barbara University of International
-Santa Barbara, CA 93106 Business and Economics
-buntaine@bren.ucsb.edu Beijing, China
-liumengdi@uibe.edu.cn
-Michael Greenstone
-University of Chicago Shaoda Wang
-Department of Economics Harris School of Public Policy
-1126 E. 59th Street University of Chicago
-Chicago, IL 60637 1307 E. 60th Street office 2055
-and NBER Chciago, IL 60637
-mgreenst@uchicago.edu and NBER
-shaoda@uchicago.edu
-Guojun He
-Faculty of Business and Economics Bing Zhang
-University of Hong Kong Nanjing University
-Hong Kong 0000 Jiangsu Sheng, China
-Hong Kong zhangb@nju.edu.cn
-guojun.he@gmail.com
-A data appendix is available at http://www.nber.org/data-appendix/w30539
+JULY 2023
+5757 S. University Ave.
+An Affiliated Center of Chicago, IL 60637
+Main: 773.702.5599
+bfi.uchicago.edu
+
+Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of
+Citizen Participation on Environmental Governance in China
+Mark Buntaine, Michael Greenstone, Guojun He,
+Mengdi Liu, Shaoda Wang, and Bing Zhang*
+[July 2023]
+Abstract
+We conducted a nationwide field experiment in China to evaluate the direct and indirect impacts of
+assigning firms to public or private citizen appeals when they violate pollution standards. There are
+three main findings. First, public appeals to the regulator through social media substantially reduce
+violations and pollution emissions, while private appeals cause more modest environmental
+improvements. Second, public appeals appear to tilt regulators’ focus away from facilitating economic
+growth and toward avoiding pollution-induced public unrest. Third, pollution reductions by treated
+firms are not offset by control firms, based on randomly varying the proportion of treatment firms at
+the prefecture-level.
+Keywords: citizen participation, social media, environmental governance","['unjournal_evaluations/buntaineeval2.md', 'unjournal_evaluations/buntaineeval1revised.md']",True,2025-11-04T08:44:15.760834
more papers/Alatas et al. 2019.pdf,latest_papers_post_UJ/Vivi AlatasArun G ChandrasekharMarkus MobiusBenjamin A OlkenCindy Paladines_When Celebrities Speak- A Nationwide Twitter Experiment Promoting Vaccination In Indonesia.pdf,confirmed_manual,0.5754716981132075,Vivi AlatasArun G ChandrasekharMarkus MobiusBenjamin A OlkenCindy Paladines_When Celebrities Speak- A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,Alatas et al. 2019.pdf,Vivi AlatasArun G ChandrasekharMarkus MobiusBenjamin A OlkenCindy Paladines_When Celebrities Speak- A Nationwide Twitter Experiment Promoting Vaccination In Indonesia.pdf,success,121353,76990,-44363,-36.556986642275014,931,1472,2403,"--- 
+++ 
@@ -1,1312 +1,780 @@
-NBER WORKING PAPER SERIES
-WHEN CELEBRITIES SPEAK:
-A NATIONWIDE TWITTER EXPERIMENT PROMOTING VACCINATION IN INDONESIA
-Vivi Alatas
-Arun G. Chandrasekhar
-Markus Mobius
-Benjamin A. Olken
-Cindy Paladines
-Working Paper 25589
-http://www.nber.org/papers/w25589
-NATIONAL BUREAU OF ECONOMIC RESEARCH
-1050 Massachusetts Avenue
-Cambridge, MA 02138
-February 2019
-We thank Marcella Alsan, Nancy Baym, Emily Breza, Leo Bursztyn, Rebecca Diamond, Dean
-Eckles, Paul Goldsmith-Pinkham, Ben Golub, Rema Hanna, Mary Gray, Matt Jackson, Matthew
-Wai-Poi, Alex Wolitsky, and participants at various seminars for helpful discussions. Aaron
-Kaye, Nurzanty Khadijah, Devika Lakhote, Eva Lyubich, Sinead Maguire, Lina Marliani,
-Sebastian Steffen, Vincent Tanutama provided excellent research assistance. We thank Nila
-Moeloek, then Indonesian Special Envoy for Sustainable Development Goals, Diah Saminarsih,
-and their team for providing support for this project. This study was approved by IRBs at MIT
-(Protocol #1406006433) and Stanford (Protocol #31451), and registered in the AEA Social
-Science Registry (AEARCTR-0000757). Funding for this project came from the Australian
-Government Department of Foreign Affairs and Trade. The views expressed herein are those of
-the authors and do not necessarily reflect the views of the National Bureau of Economic
-Research.
-At least one co-author has disclosed a financial relationship of potential relevance for this
-research. Further information is available online at http://www.nber.org/papers/w25589.ack
-NBER working papers are circulated for discussion and comment purposes. They have not been
-peer-reviewed or been subject to the review by the NBER Board of Directors that accompanies
-official NBER publications.
-© 2019 by Vivi Alatas, Arun G. Chandrasekhar, Markus Mobius, Benjamin A. Olken, and Cindy
-Paladines. All rights reserved. Short sections of text, not to exceed two paragraphs, may be
-quoted without explicit permission provided that full credit, including © notice, is given to the
-source.
-
-When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia
-Vivi Alatas, Arun G. Chandrasekhar, Markus Mobius, Benjamin A. Olken, and Cindy Paladines
-NBER Working Paper No. 25589
-February 2019
-JEL No. D85,I15,O33
-ABSTRACT
-Celebrity endorsements are often sought to influence public opinion. We ask whether celebrity
-endorsement per se has an effect beyond the fact that their statements are seen by many, and
-whether on net their statements actually lead people to change their beliefs. To do so, we
-conducted a nationwide Twitter experiment in Indonesia with 46 high-profile celebrities and
-organizations, with a total of 7.8 million followers, who agreed to let us randomly tweet or
-retweet content promoting immunization from their accounts. Our design exploits the structure of
-what information is passed on along a retweet chain on Twitter to parse reach versus endorsement
-effects. Endorsements matter: tweets that users can identify as being originated by a celebrity are
-far more likely to be liked or retweeted by users than similar tweets seen by the same users but
-without the celebrities' imprimatur. By contrast, explicitly citing sources in the tweets actually
-reduces diffusion. By randomizing which celebrities tweeted when, we find suggestive evidence
-that overall exposure to the campaign may influence beliefs about vaccination and knowledge of
-immunization-seeking behavior by one's network. Taken together, the findings suggest an
-important role for celebrity endorsement.
-Vivi Alatas Benjamin A. Olken
-World Bank Department of Economics, E52-542
-Jakarta Stock Exchange Building MIT
-Tower 2, 12th & 13th Floor 50 Memorial Drive
-Jakarta, Indonesia Cambridge, MA 02142
-valatas@worldbank.org and NBER
-bolken@mit.edu
-Arun G. Chandrasekhar
-Department of Economics Cindy Paladines
-Stanford University The World Bank
-579 Serra Mall 1818 H St, NW
-Stanford, CA 94305 Washington, DC 20433
-and NBER cpaladines@worldbank.org
-arungc@stanford.edu
-Markus Mobius
-School of Information
-University of Michigan
-4322 North Quad 105 S. State St.
-Ann Arbor, MI 48109-1285
-and NBER
-markusmobius@gmail.com
-A randomized controlled trials registry entry is available at https://www.socialscienceregistry.org/trials/757
-
-WHEN CELEBRITIES SPEAK 1
+DESIGNING EFFECTIVE CELEBRITY MESSAGING: RESULTS FROM
+A NATIONWIDE TWITTER EXPERIMENT PROMOTING
+VACCINATION IN INDONESIA
+VIVI ALATAS?, ARUN G. CHANDRASEKHAR†, MARKUS MOBIUS§, BENJAMIN A. OLKEN‡,
+AND CINDY PALADINES??
+Abstract. Docelebrityendorsementsmatter? Andifso,howcancelebritiescommunicate
+effectively? We conduct a nationwide Twitter experiment in Indonesia promoting vaccina-
+tion. Celebrity messages are 72 percent more likely to be passed or liked than similar
+messages without a celebrity’s imprimatur. Decomposing this, 79 percent of the celebrity
+effect comes from authorship, compared to passing on messages. Citing external medical
+sources decreases retweets by 27 percent. Phone surveys show that those randomly ex-
+posed to messaging have fewer incorrect beliefs and report more vaccination among friends
+and neighbors. The results can inform public health campaigns, such as for COVID-19
+vaccination.
+Date: February 25, 2022.
+We thank Ran Abramitsky, Marcella Alsan, Nancy Baym, Emily Breza, Leo Bursztyn, Rebecca Diamond,
+Dean Eckles, Paul Goldsmith-Pinkham, Ben Golub, Mary Gray, Rema Hanna, Johannes Haushofer, Matt","['unjournal_evaluations/e2_do_celebrity.md', 'unjournal_evaluations/e1_do_celebrity.md']",True,2025-11-04T08:44:26.881445
more papers/Jack et al. 2022.pdf,latest_papers_post_UJ/B Kelsey JackSeema JayachandranNamrata KalaRohini Pande_Money Not to Burn- Payments for Ecosystem Services to Reduce Crop Residue Burning.pdf,confirmed_manual,0.5421052631578948,B Kelsey JackSeema JayachandranNamrata KalaRohini Pande_Money Not to Burn- Payments for Ecosystem Services to Reduce Crop Residue Burning,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Jack et al. 2022.pdf,B Kelsey JackSeema JayachandranNamrata KalaRohini Pande_Money Not to Burn- Payments for Ecosystem Services to Reduce Crop Residue Burning.pdf,success,97512,57348,-40164,-41.1887767659365,953,1429,2382,"--- 
+++ 
@@ -1,1447 +1,971 @@
-NBER WORKING PAPER SERIES
-MONEY (NOT) TO BURN:
-PAYMENTS FOR ECOSYSTEM SERVICES TO REDUCE CROP RESIDUE BURNING
-B.Kelsey Jack
-Seema Jayachandran
-Namrata Kala
-Rohini Pande
-Working Paper 30690
-http://www.nber.org/papers/w30690
-NATIONAL BUREAU OF ECONOMIC RESEARCH
-1050 Massachusetts Avenue
-Cambridge, MA 02138
-November 2022
-We thank Patrick Beherer, Xavier Gine, Michael Greenstone, Rema Hanna, Chris Knittel,
-Michael Kremer, Jeff Pagel, Imran Rasul, Nick Ryan and many seminar audiences for helpful
-comments. We also thank Marshall Burke, Ben Moscona and especially KendraWalker for
-guidance and support with the remote sensing data; Juliana Ariza Sanchez, Nils Enevoldsen,
-Valentina Goetz, Rohit James Joseph, Sahiba Lal, Aditya Madhusudan, and Ayushi Srivastava
-for excellent research assistance; and J-PAL South Asia for field support. We thank J-PAL and
-CEGA’s Agricultural Technology Adoption Initiative (ATAI), J-PAL South Asia at IFMR’s Cash
-Transfers for Child Health Initiative (CATCH), and Jody and John Arnhold for funding. This
-RCT was registered in the American Economic Association Registry under number
-AEARCTR-0004508. All errors are our own. The views expressed herein are those of the authors
-and do not necessarily reflect the views of the National Bureau of Economic Research.
-NBER working papers are circulated for discussion and comment purposes. They have not been
-peer-reviewed or been subject to the review by the NBER Board of Directors that accompanies
-official NBER publications.
-© 2022 by B. Kelsey Jack, Seema Jayachandran, Namrata Kala, and Rohini Pande. All rights
-reserved. Short sections of text, not to exceed two paragraphs, may be quoted without explicit
-permission provided that full credit, including © notice, is given to the source.
-
-Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning
-B.Kelsey Jack, Seema Jayachandran, Namrata Kala, and Rohini Pande
-NBER Working Paper No. 30690
-November 2022
-JEL No. O13,Q01,Q56
-ABSTRACT
-Particulate matter significantly reduces life expectancy in India. We use a randomized controlled
-trial in the Indian state of Punjab to evaluate the effectiveness of conditional cash transfers (also
-known as payments for ecosystem services, or PES) in reducing crop residue burning, which is a
-major contributor to the region’s poor air quality. Credit constraints and distrust may make
-farmers less likely to comply with standard PES contracts, which only pay the participant after
-verification of compliance. We randomize paying a portion of the money upfront and
-unconditionally. Despite receiving a lower reward for compliance, farmers offered partial upfront
-payment are 8-12 percentage points more likely to comply than are farmers offered the standard
-contract. Burning measures derived from satellite imagery indicate that PES with upfront
-payments significantly reduced burning, while standard PES payments were inframarginal. We
-also show that PES with an upfront component is a cost-effective way to improve India’s air
-quality.
-B. Kelsey Jack Namrata Kala
-University of California, Santa Barbara MIT Sloan School of Management
-2400 Bren Hall 100 Main Street, E62-517
-Santa Barbara, CA 93106-5131 Cambridge, MA 02142
-and NBER and CEPR
-kelseyjack@ucsb.edu and also NBER
-kala@mit.edu
-Seema Jayachandran
-Department of Economics Rohini Pande
-Julis Romo Rabinowitz Building Yale University
-Princeton University Department of Economics
-Princeton, NJ 08544 27 Hillhouse Avenue
-and NBER New Haven, CT 06520
-jayachandran@princeton.edu and CEPR
-and also NBER
-rohini.pande@yale.edu
-
-1 Introduction
-Worldwide, poor air quality is a leading preventable cause of death and morbidity (Fuller
-et al., 2022). Air pollution reduces the life expectancy of North India’s roughly half a billion
-residents by up to seven years, which represents one of the largest health burdens from
-pollution in the world (Lee and Greenstone, 2021). The use of fires to clear agricultural land
-in India, as in other low- and middle-income countries, is a major source of this pollution.
-Despite a clear economic case for reducing this pollution, as well as efforts to prohibit and
-fine those who produce it, agricultural pollution in North India has increased over the last
-few decades (Appendix Figure A.1). Arguably, existing policies have failed to account for
-incentives of two groups of actors: local officials’ incentives to enforce penalties when the
-costs and benefits of polluting activities are in different political jurisdictions, and farmers’
-incentives to protect the environment given that the costs of pollution are largely borne by
-others.1 In this paper, we ask whether a policy that explicitly considers these incentives can
-reduce pollution.
-Every winter, farmers in North India burn rice stalk (residue) to clear fields. Smoke
-blankets the region and spreads downwind to major population centers such as New Delhi,
-affecting the health of millions of people (Cusworth et al., 2018).2 According to the Global
-Burden of Disease, crop residue burning caused 66,000 premature deaths in India in 2015
-(GlobalBurdenofDiseaseWorkingGroup,2018). Abackoftheenvelopecalculationsuggests
-around 8.7 million acres of annual burning across North India.3 Using these estimates and
-focusingonthemortalitycostalone, valuedatastatisticallifevalueof$1million, theaverage
-annual external damages per acre are $7,600.4 In comparison, paddy production generates
-1Dipoppa and Gulzar (2022) provide evidence of this inter-jurisdictional externality, which undermines
-state and local actors’ incentives to enforce fines and bans. Farmers’ political clout and equity concerns
-around penalizing small farmers undermine enforcement even further.
-2Beyond India, pollution from crop residue burning contributes to the pollution burden in China (Chen
-et al., 2017), Southeast Asia (Oanh et al., 2018), and Africa (Cassou, 2018).
-3Our estimate is based on paddy burning estimates from Liu et al. (2020), who estimate a burn rate of
-50% for all paddy acreage in Punjab, Haryana and Uttar Pradesh.
-4Climate change, labor productivity, and morbidity costs aren’t included. Murali et al. (2010) estimates
-that residue burning in India emits around 4 million metric tons of carbon dioxide equivalents each year, or",[],False,2025-11-04T08:44:44.897670
