label_paper_title,author_date,Eval. package link,research_url,LLM-relevance-DR-ad-hoc,Key critiques & issues with paper,e1_strength_normalizing,e2_strength_normalizing,publication_date_unjournal,eval_manager(s)/consigliere,main_cause_cat_abbrev,link_discuss_evaluators_process (NOTE:  previous content moved),notebookLM_link
Global potential for natural regeneration in deforested tropical regions,"Williams et al., 2024",https://unjournal.pubpub.org/pub/evalsumnaturalregeneration/,https://www.nature.com/articles/s41586-024-08106-4,85%,"""Necessary""

1. Data leakage/contemporaneous predictors [mentioned: both evaluators and UJ field specialists]

The ML model seems to be fitted on data/variables that includes post-regeneration outcomes, or that could be influenced by these outcomes; or “using future information to predict past events, or accidentally including validation data in the training data.”

[this] can lead to overly optimistic estimates of model performance and poor generalization to new data. ... see, e.g., Kuhn & Johnson, 2019, Feature Engineering and Selection; Kaggle Wiki on Leakage



Here, the issue is the inclusion of

“Net primary production, burned area, road density, and soil characteristics were recorded over the same time period as the outcome, and these predictors incorporate information that is influenced by regeneration itself.”

Variables potentially derived using outcome data: The SoilGrids predictor variable appears to be from 2014 or 2016, potentially created using land cover classification data from 2010 that includes forest classifications (related to the outcome variable, albeit from a different source than the primary Hansen GFC data).

Variables potentially incorporating post-2000 outcome data: Predictor variables averaged or derived from periods overlapping or extending beyond the 2000 start date of the regeneration outcome (e.g., NPP 2000-2015, burned area 2001–2017) may incorporate information influenced by the regeneration itself, creating temporal leakage

This inflates the estimates of the prediction power of the model, makes the model less likely to be reliable or useful and can also contaminate the suggestive causal inference/insights about ""what seems to be predictive."" 


[E1] The outcome variable indicates patches of natural forest regeneration which occurred between 2000–2012 and persisted to 2016. At least three of the predictor variables seen by the training algorithm are also recorded during this period rather than prior to it: net primary production, burned area, and road density [...  In addition, the authors use variables from the ESA CCI land cover dataset as recorded in the year 2000, overlapping with the outcome.





""Optional but important""

1. Reliance on Older GFC Gain Data: [mentioned: Cloud] The study relies on an older version of the Global Forest Change (GFC) gain data (v1.5, covering 2000-2012/2016). Since the initial analysis for Fagan et al. (2022), improved GFC datasets have been released (e.g., GMD 2022 update using GEDI lidar,



2. “Confounding by Socioeconomic Factors and Predictor Choice:” [Both evaluators agreed]

While the authors train models with biophysical and socioeconomic predictors, their spatial predictions are derived from a model that includes only biophysical variables...., inferring purely biophysical potential from observational data is not feasible with the proposed method. The difficulty lies in the fact that biophysical and socioeconomic conditions are deeply interconnected and affect one another. .... In practice, the model will predict high regeneration probability in locations where both factors are favorable. 

... it will tend to predict more regrowth when an area has biophysical factors that tend to correlate with socioeconomic conditions that favor regrowth.   Thus, contrary to what the authors argue, dropping socioeconomic predictors diminishes the model’s ability to identify biophysical potential in isolation. Furthermore, retained biophysical predictors such as ‘distance to forest’ and local forest density are partially anthropogenically determined. In sum, the proposed method cannot support the interpretation of the estimates as ‘purely biophysical potential for natural forest regrowth’.



3. Neglect of Intensive Margin Regrowth: [Cloud]

The study focuses exclusively on the extensive margin (new forest area gain). It completely overlooks the intensive margin – canopy regeneration and forest recovery within existing, potentially degraded, forest pixels (e.g., areas increasing from <30% to >60% canopy cover as an arbitrary threshold). 


4. “Validation” uses  past data [Both evaluators/consensus]

(i) The confusion matrix in Table A1.2 appears to validate the model by comparing its predictions for 2030 against the Fagan et al. (2022) regrowth data for 2000-2016. However, the 215 Mha estimate is derived from a prediction based on forest cover, forest density, and distance to forest updated to reflect conditions in 2015 and 2018. This raises the concern that validating a model designed to predict future potential against past outcomes is not a true test of its predictive power for the future. 




""Unsure if correct/relevant"" [Seem likely correct]


Definition of Natural Regrowth (Inherited from Fagan et al.) [Cloud]: The model relies on Fagan et al.'s definition, which treats all non-plantation gain as ""natural regrowth,"" which appears to conflate truly natural processes with human-assisted regeneration or diverse tree plantings not classified as monoculture plantations. Fagan et al. acknowledged this limitation: “Our product was also not designed to distinguish rarer land uses intermediate between tree plantations and natural regrowth, such as assisted natural regeneration.” 



Overestimation due to Omission Error (Inherited from Fagan et al.): Fagan et al. [2]
reported very high omission errors for regrowth (low area-based Producer's Accuracy of ~18.7%). This means the Fagan map used for exclusion missed a large area (~26 Mha) of actual regrowth (estimated at 31.6 Mha). Consequently, the Williams et al. [1] potential area (215 Mha) includes these already-regrown areas, substantially overestimating the area truly available for future regeneration.



(a) Underestimation of Uncertainty: [Both evaluators seem to agree] The necessary correction for the omission error (subtracting the ~26 Mha of omitted-but-actual regrowth, see Point 2c) carries significant uncertainty derived from the Fagan et al. [2] accuracy assessment (31.6 ± 11.9 Mha for total regrowth). Propagating this uncertainty would result in a much wider confidence interval for the corrected potential regeneration estimate (~189 Mha) than implied by the analysis of the 215 Mha figure. The current approach (reporting just minimal uncertainty from the RF model)  ignores this driving source of uncertainty.



 Discrepancy in Estimated Magnitude and Lack of Historical Validation: [Both evaluators]

Because the model, as argued above, effectively estimates a combined biophysical and socioeconomic potential due to highly correlated predictors, its aggregate prediction should conceptually align with the historical total observed under similar mixed influences. However, the authors' estimate of 215 Mha of expected natural regeneration is strikingly larger than the benchmark from the training data by Fagan et al. (2022) [undefined] of 31.6 Mha ± 11.9 Mha (for 2000-2016), even when accounting for increases in land availability due to deforestation or uncaptured historical socioeconomic constraints. Williams et al. (2024) do not report their own model's prediction for the 2000-2016 historical period (a ""hindcast""), a crucial missing validation against this benchmark.



(b) Stratification for Uncertainty Reduction [Cloud]: The paper does not appear to leverage stratification techniques known to mitigate the impact of omission errors on area estimates, particularly for rare classes like forest gain (as demonstrated in Olofsson et al. 2020 [5] for mitigating omission error impacts). While Fagan et al. [2] suggested this is impossible for regrowth, Olofsson (2020)[5] does not support that conclusion (from my reading). Williams et al.'s [1] own finding that most potential regrowth occurs near forest edges (within 300m: “For example, out of a random sample of 62,493 grid cells (of all 30 × 30 m grid cells) across the study region, 98.1% of cells with a potential of >0.5 (for illustrative purposes) occur within 300 m of a forest edge.”) suggests a buffer-based stratification strategy could be feasible and potentially significantly reduce the uncertainty associated with omission errors by isolating them within smaller-area strata. Implementing such a stratification is recommended to improve the reliability of the underlying area estimates which compromise the bulk of the uncertainty (as compared to the minimal uncertainty from the RF model).



(c) Confidence Interval Construction for Rare Classes [Cloud]: Additionally, while perhaps a secondary concern compared to the points above, the standard practice of constructing confidence intervals using the design-based SE and the Wald method (assuming normality) may be unreliable for rare land-use classes or metrics with low accuracy (like the Producer's Accuracy for regrowth). The underlying sampling distributions for these estimates are often skewed. Using bootstrap percentile confidence intervals, which empirically derive the interval from the data's distribution without assuming normality, can provide more realistic uncertainty bounds and likely achieve better coverage probability (i.e., capture the true value closer to the nominal 95% level). This is particularly important when estimates serve as baselines for monitoring, where reliable CIs are needed to detect future changes (example code demonstrating this comparison is provided).",86.05%,99.42%,6/3/2025,"david reinstein,Lorenzo Pacchiardi",Environment,https://docs.google.com/document/d/1K5MO-64eREJ4p1U0h42VHtb-spFamV55ePQiPl7nANw/edit?tab=t.0,https://notebooklm.google.com/notebook/8728166a-2ea9-43a5-b598-1fc4ca487878
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,"Adena and Hager, 2025",https://unjournal.pubpub.org/pub/evalsumfundraisingcharitablegiving/,https://bibliothek.wzb.eu/pdf/2024/ii20-302r2.pdf,79%,"Optional but important: 

1. Deviations from the pre-registered analysis plan or degrees of freedom, including 
  1. Transforming the outcome variable — winsorizing location-days with gifts of over 1000 euros.
  2. donations normalized by the population of each zip code.
  3. Length of measurement window 
  4. Investigating the effects on competing charities (additional dimension of analysis)
  5. Preregistered, not done:  ""We also plan to use causal trees to search for meaningful heterogeneity in a structured way using all available pre-treatment covariates...""
2. Interpretation of main results: lack of emphasis on uncertainty bounds  
  1. Reiley: “the authors oversell some of their results, mainly by failing to provide confidence intervals rather than point estimates in some of their discussions.” 
  2. Capitan: “The campaign appears profitable by point estimate, but the confidence intervals and strong behavioral assumptions warrant a more cautious interpretation. Highlighting this uncertainty explicitly...”
3. Interpretation/statistical inference for heterogeneous treatment effects:
  1. “The coefficients with the biggest high-low differences all ended up estimating positive treatment effects for one half of the data and negative treatment effects for the other half, which helped the difference become big enough for statistical significance. But it’s hard for me to imagine that negative treatment effects are genuine, rather than mere noise, because I don’t see a good theory for why Save the Children ads would cause donations to decrease among half the population
  2. HTE tests subject to MHT bias (the ‘causal trees’ approach they proposed might have dealt with this)
4. Missing statistical tests for HTEs: “the authors did not conduct F-tests to conclude which of these HTEs were statistically significant”
5. Profitability: Trimming (Winsorizing) particularly problematic for these estimates 
6. Estimating and Interpreting spillovers: 
  1. “spillovers shows an indirect effect (the effect of treating neighboring postal codes) that is ten times higher than the direct effect (the effect of treating one’s own postal code).” 
  2. spillover result relies on a number of arbitrary assumptions, such as the distance over which spillovers can versus cannot occur, and the functional form through which we measure these spillover effects.  

Possibly relevant but maybe controversial

1. Capitan: “interpreting covariate balance tables as a test of randomization is conceptually incorrect ... report standardized differences in covariates without relying on hypothesis tests”",44.77%,91.86%,10/10/2025,Anirudh Tagat,"Attitudes, behaviors, psych, misinfo.",,
The Returns to Science In the Presence of Technological Risks,"Clancy, 2024",https://unjournal.pubpub.org/pub/evalsumtechnologicalrisks,https://www.alphaxiv.org/pdf/2312.14289v2?abs=true&ref=99cf34,65%,"Necessary 
None

Optional but important

1. Unfair to compare all benefits of science to only biotech risk; neglect of AI Risk

“stacks the deck against concluding in favor of a science slowdown...”

NotebookLM: Evaluator 3 noted that AI risk estimates (both catastrophic and extinction) from the Existential Risk Persuasion Tournament (XPT) are much higher than those for biotech risks (e.g., superforecasters see AI extinction probability as 38x higher than bio extinction probability),



[NotebookLM] Author's Response: The author, Matt Clancy, acknowledged that ""all three reviewers noted at various points [...] that this analysis should be extended to include AI risk"". He agreed that the report ""should have spent more time on this question"" of why it ignores the impact of science on other risk areas. He provided an extensive response attempting to model AI risks post-evaluation.


According to the author, this choice was based on the focus on funding ‘fundamental science’ (perhaps ‘academic’ work) and the assumption that AI progress mainly comes from private, applied, for-profit research. But he conceded this assumption may be “overly strong”.

Also, he saw other risks (nuclear weapons and climate change as primarily ""sunk costs of technological progress"". But this was not explained in the initial paper, so it should be flagged as an ~issue, omission or error. 


2. Choice of 2% discount rate is not consistently justified

[NotebookLM, checked manually]

[E2] The author chose 2% (driven mainly by the 1.6% annual probability of transformative AI derived from the Open Philanthropy Worldview contest, assembling credences of AGI arriving before 2043). ... this is implicitly extrapolating a forecast designed to be resolved in ~20 years out for thousands of years, which is the same criticism the author used to dismiss alternative, lower discount rates implied by XPT participants' forecasts (0.05%–0.7%)

E1 did simple calculations that confirmed that the results are sensitive to this choice of discount factor

[NotebookLM] ... [Author accepts] that this implicitly extrapolates a short-term forecast over a much longer timeframe. Justified the choice by noting that a higher discount rate limits the impact of assumptions about the distant future, arguing that this shortcut ""has less severe consequences for the model’s results when the implied discount rate is higher""

The author’s response might be seen as an ad-hoc justification, and it was not mentioned in the paper → flag as an ~issue, omission or error. 



Unsure if correct/relevant

NotebookLM: Evaluators 1 and 3 argued that Clancy’s stated personal preference (3 in 4 chance) for the more optimistic Superforecaster estimates (which result in a positive return to science) over the Domain Expert estimates (which suggest accelerating science may be a net negative) was ""too strong"" or required more ambivalence





",95.93%,86.05%,1/20/2025,"david reinstein,Joel Christoph",Innovation & meta-science,https://docs.google.com/document/d/108IZ28vxg-2R0SBUfr_d5l4m3Jy4ikZdWnRTTpBkb1I/edit,https://notebooklm.google.com/notebook/5bc140ef-c747-40f0-aae5-c0f8ddbd53dc
"Social Safety Nets, Women’s Economic
Achievements and Agency","Peterman et al., ",https://unjournal.pubpub.org/pub/evalsumsafetynets/,https://www.dropbox.com/scl/fo/aqogqaeo4cchhyqlh1840/AJIvGRT6Gc_3t1dq42KtJN0?rlkey=kg5ps35hk57rfznzt4w7gs41b&st=phfzaxcu&dl=0,65%,"Optional but important
DR — I chose the critiques that seemed important to me, and vetted them quickly in NotebookLM, dropping some the authors’ already seem to address, at least in the August version. But I’m not an expert in this area.

1. ASQ regional validation: “it would be useful to show that the ASQ3 has been validated in India.”
2. Lack of MHT comparisons “The authors present results for an overall child development index, domain-specific indices, as well as individual ASQ items. They do this without accounting for multiple comparisons or presenting this as a pre-specified plan” 
  1. DR: I checked the PAPs (3 pdfs) on NotebookLM and it said “the detailed breakdown into the multiple component indices and individual items... was not explicitly included in the PAP's definition of the outcome.
3. “ASQ3 is meant as a screening tool for early childhood development, not a test of child’s abilities. Typically, it relies on cutoffs to determine whether a child is “at risk” of suboptimal development in certain domains. An index score for the ASQ3 were used in the analysis, but it would be useful to see the analysis for differences in proportion of children at risk of developmental delays.”



""Possibly relevant but I’m not sure:

* Consort flow diagram — “ the study should include a consort flow diagram” 
  * I'm not sure if this is desirable practice in this context. I don't think it's common practice in the economics literature 
* “ASQ3 is parent reported. This trial was not blinded, so results could have been biased, which is worth mentioning as a key limitation” 
  * They seem to recognize this to an extent, even if it’s not emphasized. At least they discuss the issue of ‘experimental demand effects’ in the appendix and provide evidence suggesting it may not be important 



Limitations for LLM benchmarking: David Reinstein is not an expert on this. Only 1 strong evaluation, and the critiques are not always in the economics wheelhouse.",95.93%,31.4%,9/19/2025,"david reinstein,Sarah Anne Reynolds",Dev. econ/gov. (LMICs),https://docs.google.com/document/d/1qobbLHq_3-QgBxmF3oBBe4h1HJMdk_Dgk1wMLlU_688/edit?tab=t.0#heading=h.ckogcghcu4tz,https://notebooklm.google.com/notebook/9313a435-b498-4fe1-b4d1-78a0b3fcb69f
"The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ","Bilal and Känzig, 2025",https://unjournal.pubpub.org/pub/evalsummacroclimatechange/release/2,https://dkaenzig.github.io/diegokaenzig.com/Papers/bk_micc.pdf,65%,"Necessary

1. Small sample size needs augmentation and robustness checking

E2:

 BK’s main results are calculated using a regression of around 50 observations. The regression appears to have at least 7 parameters.

...not clear that the asymptotic approximations required to justify their frequentist confidence intervals are appropriate.

I would suggest providing simulation evidence to illustrate the validity of their confidence regions in their setting, with time series data, few observations, and lots of parameters.

Authors responded (September 2025) by introducing the BU dataset, which spans 160 years. And note they performed inference robustness using bootstrapping techniques in the appendix.



Optional but important

1. Consider longer-term effects

E2: “It would be good to show the impacts for more than 10 years out, and to include a robustness check SCC calculation which allows for longer run effects”

[NotebookLM] . The revised paper directly addresses this by converting their estimates to the damage implied by a permanent 1°C rise in temperature, yielding the much larger long-run figure of 22–34% GDP reduction. 

Sept version “In the longer BU sample, the same temperature shock leads to a peak effect at 18% after 5 years with a 95% confidence interval of (6%, 30%), ...  In both cases, impacts do not fully mean-revert even after 10 years. “

And it explicitly includes a section on Sensitivity that details how the SCC changes under alternative assumptions

2. Longer lags to reflect geoscience 

[NotebookLM]:  Evaluator 1 requested increasing the number of lags, especially given the longer cycles noted in geoscience. The newer version notes that in the longer BU sample, they use 4 to 8 lags to capture the complexity of the historical series.



Less important, I guess

1.  Non-Linear Effects and Comparability: 

NotebookLM:  Evaluator 2 requested allowing the local temperature model to include non-linear or permanent growth effects for a fair comparison with previous literature. While the authors maintain their main conservative assumption of level effects (not permanent growth effects), they clarify that their local temperature estimates generate a 3% long-run GDP reduction, which is consistent with the ""level effects"" benchmark of the conventional literature. They explicitly report that imposing non-linear specifications on their shocks did not materially change the core estimates.

Out-of-Sample Extrapolation: Evaluator 1 suggested acknowledging how far out of sample the 1°C calibration is, given that shocks are typically around 0.3°C. The 2025 version notes that scaling up to a 1°C increase requires assuming linearity, thereby explicitly addressing this methodological limitation, although they suggest that the consistency of their linear estimates across shock sizes supports the approach.

",18.6%,90.12%,1/10/2025,Ben Balmford,Environment,,https://notebooklm.google.com/notebook/3812a720-388a-4834-b288-89119067eacc
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,"Green et al., 2025",https://unjournal.pubpub.org/pub/evalsumreducingconsumption/,https://osf.io/preprints/osf/q6xyr_v4,65%,"Necessary 

General:  ""The authors have not followed standard methods for systematic reviews..."" — this should at least be mentioned

Related: Missing ""a fully reproducible search strategy, clearly articulated inclusion and exclusion criteria ..., and justification for screening decisions are not comprehensively documented in the manuscript or supplement.


Optional/desirable 

Improper missing data handling: Assigning SMD = 0.01 to non-significant unreported effects introduces systematic bias by ignoring imputation variance. 

Single outcome selection wastes data: Extracting only one effect per study discards valuable information (multilevel modeling could work better)

Risk-of-bias assessment is inadequate: The informal approach omits critical bias sources like selective reporting and attrition.

No discussion of attrition bias in RCTs... ""concerning given the known non-randomness of attrition in dietary interventions""



Probably useful but more debatable

Excluding studies with n<25 per group is 'unwarranted' because it makes publication bias harder to detect by 'restricting the range of standard errors.' [But one could make a case that this is a reasonable practical screening choice]",2.91%,80.81%,7/24/2025,"david reinstein,Tabare Capitan","Animal welfare, markets",https://docs.google.com/document/d/1vHpllA-qCudLWnfQVCnM4SSYLdUcd-UIUPNb417YEYk/edit?tab=t.0,https://notebooklm.google.com/notebook/6e8826a0-07b7-484f-aa8c-7cbdf52a0674
Forecasts estimate limited cultured meat production through 2050 (EA forum post),"Dullaghan and Zhang, 2022",https://unjournal.pubpub.org/pub/evalsumlimitedmeadprod/,https://rethinkpriorities.org/research-area/forecasts-estimate-limited-cultured-meat-production-through-2050/,63%,"Necessary 

1. Small sample limitations

[Manheim] severely limits the conclusions which can be drawn from the difference in views between the single expert and the five 

Somewhat overstated/mis-stated claims from these small samples:
Manheim “The aggregate reported results, most notably, a 9% chance of greater than 50m metric tons of cultured meat sold in 2051, hide the disagreement, in this case, the fact that two forecasters reported a greater than 40% probability of this occurring.”
 

2. Magnitude of units error in the table for Delft overstating the cost of FGF2 1000x

[Manheim]   A potentially critical issue was found with the table provided to forecasters and experts for question 24, which says that the Delft analysis had a cost of FGF2/kg of 1.3-2.3B/kg, while the report itself, in table 3, this was the cost per gram, making the numbers approximately 3x what was reported for Humbird, not 3,000x. (The Risner et al price was, in fact, 1000x higher - but was also focused on the promise of eliminating FGF2, i.e. setting the price to zero. Notably, this is a possibility that the forecasts do not seem to take into account.) I do not know enough about this to check it in depth.

Author’s response:  Hi, Yeah that looks like a typo at first glance. Plausible it influenced things a little, though unsure it's critical to the end results. 



3. Mischaracterization of conditional claims

The authors stated:

Consumer approval did not appear as a major constraint as measured by the probability of large-scale anti-cultured meat protests (18%), or the majority of survey respondents saying they would be willing to try cultured meat (70%) (conditional upon >10,000 cumulative metric tons of cellular meat produced at any price by 2031).

I assume he is saying that the ‘probability of protest predicted to be low’ and ‘willingness to try’ being high are both signs that consumer approval is not a major barrier. But as you say this is conditional upon >10 kt of production. So the forecasters might indeed think “This is unlikely to be accepted by consumers, and there will probably be massive protests if it is rolled out. And that will be a major barrier. But in the unlikely scenario that consumers seem to like it, and there are no big protests, that makes it far more likely that 10kt will be produced”/



Optional but important 

1. [Manheim] “the presentation of the Techno-Economic Analyses did not clarify that these analyses are conditional estimates, not predictions, and that high price scenarios were all based on the present-day costs... not predicted future cost.”
2. More consultation with cell biology and bioprocessing expertise in formulating background for forecasters (specific definitional mistakes reflect a lack of expertise)

[Seinkmane] They make further incorrect statements on growth factors, such as: “(growth factors are various hormones, cytokines, vitamins, and some other proteins that promote cell growth)”. Such a definition indeed can be found on Google, however in cell biology it is normally only protein signalling molecules, especially those affecting cell proliferation, that are classified as growth factors, certainly not vitamins and in most current literature not other cytokines either (see wiki article for quick review). Therefore for any further forecasts and synthesis I would strongly recommend further consultations with relevant experts, both in the CM field and in adjacent fields (wider cell biology and bioprocess engineering backgrounds). 

3. Diversify sources in formulating background for forecasters

[Seinkmane] The authors admit themselves that they relied primarily on one source – the Humbird TEA – with the addition of a couple other papers. I have compiled a list of literature (see relevant tab) that would hopefully provide other and more recent sources to facilitate future forecasts. Aside from peer-reviewed publications and regulatory dossiers + patents available that have already been submitted for product approval, GFI releases information regularly, including their state of industry reports and reports focusing on specific topics such as media ingredients. 



Less important/unsure

1. Lack of discussion and updating in expert elicitation

[Manheim] 

It is somewhat unfortunate that the forecasters and the expert were not given an opportunity to discuss and update, as this is an important part of what enables superforecaster success. Specifically, Gardner and Tetlock’s (2015)  book points out that discussion dynamics and structured collaboration significantly amplify performance compared to individual experts, due to shared reasoning and cross-examination of assumptions.



2. Define the cell type more clearly 

[Seinkmane] Neil & Linch have focused on beef (their questions refer to “cow cells”) and they don’t define cell type very specifically... for future forecasts CM type should be better-defined, as both the species and the tissue type influence the media requirement – and therefore the cost – to a great extent

",77.33%,86.05%,9/9/2025,"david reinstein,Ash Meader","Animal welfare, markets",https://docs.google.com/document/d/1Zb99WykaQNL3FiTHiH3ASn7atUuh2DkCCOApQULd1pg/edit?tab=t.0,
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,"McGuire et al., 2024",https://unjournal.pubpub.org/pub/evalsumstrongminds/,https://www.happierlivesinstitute.org/wp-content/uploads/2025/06/The-wellbeing-cost-effectiveness-of-StrongMinds-and-Friendship-Bench-Combining-a-systematic-review-and-meta-analysis-with-charity-related-data-Nov-2024-Update.pdf,47%,"Necessary 

1. “Lack of Systematized/Standardized Adjustment Rules” — Both evaluators noted multiple “project-specific” and “subjective” analytical choices and ad-hoc adjustments. E2 particularly emphasized the approach to weighting and outliers.   E1 —  “I would be substantially more confident in the comparative cost-effectiveness estimates if the authors provided a clear set of rules for the adjustments they are making, along with a list of these adjustments to be applied consistently across all evaluated projects.” [Note — this is partly NotebookLM generated, but I checked it -DR]  any evaluation should at least note this lack of systemization, although it's okay to acknowledge that this might be close to current best practice given the constraints of this context.



Optional but import




Unsure if correct/relevant, less important

ant

1. “Arbitrary Exclusion of Outliers and High Risk of Bias (RoB) Studies” — 

[Evaluation summary] Evaluator 2 critiqued the removal of outliers (e.g., effect sizes >2 SDs) and high-risk bias studies, arguing it seems “arbitrary” and that it's “always better to include the full data” to transparently show the impact of such exclusions. HLI defended these decisions, stating they do provide detailed sensitivity analyses for these exclusions in the appendix, and that removing them is a “conservative option” consistent with other meta-analyses.

The evaluation should probably at least mention this issue

2. Clearer/visual depiction of sensitivity analysis/multiverse analysis

[NotebookLM, confirmed] Both Evaluators Agreed. They requested a concise visual summary (such as a specification curve or analogue of Figure 2) showing how the large number of analytical choices and adjustments systematically affect the final estimates. E2 called this suggestion (a multiverse analysis) their ""most significant statistical recommendation"".

3. Linear decay model

[Eval summary] On the linear decay model used for effects over time, Evaluator 1 considered linear decay to zero a “conservative assumption”. Evaluator 2 expressed surprise at the linear choice, suggesting exponential models are more common in psychological phenomena and that linear decay might lead to ""overestimation"". HLI explained the linear model was chosen for simplicity and a clear stopping point, noting that quick tests with exponential decay showed “little difference”.





",72.67%,95.93%,6/20/2025,"david reinstein,Davit Jintcharadze,Valentin Klotzbücher",Global health (LMICs),https://docs.google.com/document/d/1IZXAg657gMuAU_6NnmjdfCO_QOmo443YK-2TwsHJVvU/edit?tab=t.0#heading=h.nipuiat6yk9k,https://notebooklm.google.com/notebook/a31663d7-4852-458f-92e9-da86cff2e5dc
Pharmaceutical Pricing and R&D as a Global Public Good,"Frech et al., 2025",https://unjournal.pubpub.org/pub/evalsumpharmpricing/release/3,https://www.nber.org/system/files/working_papers/w31272/w31272.pdf,45%,"Optional but important 

1. Causal claims too strong — GDP correlated with other important determinants of outcomes

[E1]
The primary regression analyzed in the paper is overly simplistic and may be subject to omitted variable bias. There could be other factors correlated with GDP that are not included in the model. Therefore, results derived from this model should be interpreted with caution as the estimated effect of GDP may be overstated or misattributed.

[E2] The authors interpret the positive correlation between GDP and drug prices as evidence supporting their hypothesis that drug prices are affected by how much countries internalize returns from R&D (because countries with higher GDP also benefit more from future innovation). However, the relationship between GDP and drug prices could be driven by many factors, chief among them the willingness to pay for current health benefits.



Unsure if correct

1.  [E2] BOTECs stated too confidently, not incorporating sensitivity to key assumptions

 The authors, citing numbers from another one of their studies, claim that new drugs launched in the U.S. are very cost-effective—around $40,000 per Quality-Adjusted Life Year (QALY) (Frech et al. 2022 ). ...
Two main criticisms of these back-of-the-envelope calculations. First, estimates of drug cost-effectiveness rely on many assumptions and are generally highly sensitive to them.

Second, there is likely broad variation across indications in the cost-effectiveness of drugs. For ",86.05%,95.93%,6/30/2025,Tabare Capitan,"Econ., welfare, misc.",https://docs.google.com/document/d/1_qyVWfY8GhnWOy8FxB2NElBjkkDZVzRSIVvwtR5Mus8/edit?tab=t.0#heading=h.rkxzub1mngvg,
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,"Blimpo and Dower, ",https://unjournal.pubpub.org/pub/evalsumcivicasymmetry/,https://www.dropbox.com/scl/fi/kgj5d5hr97t52xl1jhabs/Blimpo-Castaneda-Dower2025-Training-Taxation-Informal-Firms-Togo.pdf?rlkey=y3naz50zukfnm1okfk7js9ktd&dl=0,40%,"Optional but important 

1. Same people used as enumerators and intervention — may frustrate causal identification (for outcomes without receipts) 

[E2 notes] “The intervention was delivered by the same enumerators who conducted the baseline and endline surveys. This is a bit concerning because it introduces the possibility of endline reporting varying because respondents have greater knowledge of and trust in the enumeration team. While this does not concern validated measures like tax payment—which relies on showing a receipt—it does make me a bit more wary of interpreting reports of economic activity. I also think it leads to an exclusion restriction violation for the 2SLS strategy, which currently assumes the treatment can only operate through the channel of improving knowledge. Can the authors test this in some way in the data, i.e., by looking at proxies for familiarity with or trust in the enumerator? This leads me to think the authors might consider dropping the 2SLS and replacing it with correlational analysis between knowledge and tax payments.”

2. They should [E2] “test whether the treatment affected the likelihood of a visit directly?”
 ‘While the treatment itself could affect the likelihood of a visit, the patterns that we observe are still instructive.’ DR: 

Unsure 

1. Lack of admin data limits accuracy, consider further imputation work 

E1 “...  measures of tax participation and tax payments are self-reported by the MIEs’ owners.” ... although they do ask “owners to provide proof of tax payment through receipts ... which resulted in a considerable mass of missing values ... imputed as zeros...” implying “a noisy measure of the treatment impact on this variable, which the authors [recognize]” consider using survey information to “construct an indirect measure of liabilities paid by the MIEs, as an alternative outcome variable for robustness checks.”

DR: But it’s unclear how much can be done here, and they don't seem to be overclaiming

",77.33%,59.88%,8/11/2025,david reinstein,Dev. econ/gov. (LMICs),https://docs.google.com/document/d/1aw-KQmR3yHpXpUb-DACHj-Li8mvTUBaxrCYR2C_iQmk/edit?tab=t.0#heading=h.34inskr3q3ay,https://notebooklm.google.com/notebook/47b2676b-e521-462c-80de-c33aec2a29d1
