author,seed_doi,seed_title,seed_short_title,n_seed_dois_cited_by_author,n_citing_works_by_author
Esther Duflo,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,4,5
Esther Duflo,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,4,5
Esther Duflo,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",4,5
Esther Duflo,10.3386/w32728,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change,4,5
Julian Jamison,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,4,5
Julian Jamison,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,4,5
Julian Jamison,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,4,5
Julian Jamison,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",4,5
Berk Özler,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,4,3
Berk Özler,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,4,3
Berk Özler,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,4,3
Berk Özler,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",4,3
