paper,metric,midpoint,lower_bound,upper_bound
Schuett et al. 2023,overall,77.0,70.0,84.0
Schuett et al. 2023,claims_evidence,75.0,68.0,82.0
Schuett et al. 2023,methods,66.0,58.0,74.0
Schuett et al. 2023,advancing_knowledge,73.0,66.0,82.0
Schuett et al. 2023,logic_communication,86.0,80.0,92.0
Schuett et al. 2023,open_science,82.0,74.0,90.0
Schuett et al. 2023,global_relevance,86.0,80.0,92.0
Williams et al. 2024,overall,86.0,79.0,92.0
Williams et al. 2024,claims_evidence,82.0,73.0,89.0
Williams et al. 2024,methods,77.0,68.0,85.0
Williams et al. 2024,advancing_knowledge,90.0,83.0,96.0
Williams et al. 2024,logic_communication,85.0,77.0,91.0
Williams et al. 2024,open_science,62.0,50.0,72.0
Williams et al. 2024,global_relevance,94.0,88.0,98.0
Adena and Hager 2024,overall,83.0,75.0,90.0
Adena and Hager 2024,claims_evidence,84.0,75.0,90.0
Adena and Hager 2024,methods,81.0,72.0,88.0
Adena and Hager 2024,advancing_knowledge,79.0,70.0,88.0
Adena and Hager 2024,logic_communication,87.0,80.0,93.0
Adena and Hager 2024,open_science,62.0,48.0,76.0
Adena and Hager 2024,global_relevance,78.0,66.0,88.0
Peterman et al. 2025,overall,82.0,74.0,90.0
Peterman et al. 2025,claims_evidence,78.0,68.0,87.0
Peterman et al. 2025,methods,74.0,65.0,83.0
Peterman et al. 2025,advancing_knowledge,85.0,76.0,93.0
Peterman et al. 2025,logic_communication,76.0,66.0,85.0
Peterman et al. 2025,open_science,62.0,45.0,75.0
Peterman et al. 2025,global_relevance,91.0,84.0,97.0
