seed_doi,seed_title,seed_short_title
10.1016/j.cognition.2021.104941,Population ethical intuitions,Population ethical intuitions
10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…
10.1080/21606544.2022.2138980,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,The animal welfare cost of meat
10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…
10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,The Effect of Lead Exposure on Children’s Learning in the…
10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…
10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…
10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…
10.1257/aeri.20230431,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Money (Not) to Burn
10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments
10.1287/mnsc.2020.00596,Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experimen…
10.1287/mnsc.2023.4846,The Governance of Nonprofits and Their Social Impact: Evidence from a Randomized Program in Healthcare in the Democratic Republic of Congo,The Governance of Nonprofits and Their Social Impact
10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior
10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…
10.21428/d28e8e57.0168f4c0,"Evaluation Summary and Metrics: ""Legalizing Entrepreneurship""",Evaluation Summary and Metrics
10.21428/d28e8e57.03af1a64,"Evaluation Summary and Metrics: ""Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development""",Evaluation Summary and Metrics
10.21428/d28e8e57.072621d7,Evaluation Summary and Metrics: “Pharmaceutical Pricing and R&amp;D as a Global Public Good”,Evaluation Summary and Metrics
10.21428/d28e8e57.168646d1,"Evaluation Summary and Metrics: ""A Welfare Analysis of Policies Impacting Climate Change""",Evaluation Summary and Metrics
10.21428/d28e8e57.33a621b6,"Evaluation Summary and Metrics: ""Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey""",Evaluation Summary and Metrics
10.21428/d28e8e57.36ba6211,"Evaluation Summary and Metrics: ""Stagnation and Scientific Incentives""",Evaluation Summary and Metrics
10.21428/d28e8e57.480a4d04,"Evaluation Summary and Metrics: ""When do ""Nudges"" Increase Welfare?""",Evaluation Summary and Metrics
10.21428/d28e8e57.50ee8ef7,"Evaluation Summary and Metrics: ""The Effect of Public Science on Corporate R&amp;D""",Evaluation Summary and Metrics
10.21428/d28e8e57.5411b150,"Evaluation Summary and Metrics: ""Global potential for natural regeneration in deforested tropical regions""",Evaluation Summary and Metrics
10.21428/d28e8e57.652a843a,"Evaluation Summary and Metrics: ""Advance Market Commitments: Insights from Theory and Experience""",Evaluation Summary and Metrics
10.21428/d28e8e57.8a1cac7b,"Evaluation Summary and Metrics: ""How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US""",Evaluation Summary and Metrics
10.21428/d28e8e57.9b2dc59c,"Evaluation Summary and Metrics: ""Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries""",Evaluation Summary and Metrics
10.21428/d28e8e57.a3e2b6b7,Evaluation Summary and Metrics: “The Environmental Effects of Economic Production: Evidence from Ecological Observations”,Evaluation Summary and Metrics
10.21428/d28e8e57.a8ca23ad,"Evaluation Summary and Metrics: ""Biodiversity Risk""",Evaluation Summary and Metrics
10.21428/d28e8e57.ad95c497,Evaluation summary and metrics: “Banning wildlife trade can boost demand for unregulated threatened species”,Evaluation summary and metrics
