paper,response_id,reasoning_id,reasoning_summary,input_tokens,output_tokens,reasoning_tokens,model,prompt_version
Aghion et al. 2017,resp_68d7c696dee0819eb2754047885051480cfc9df96aa6ff5f,rs_68d7c69d4650819ebf5b1047edd49eb00cfc9df96aa6ff5f,,29061,340,128,o3,journal_tiers_v2_2025-09-27
Alcott et al. 2024,resp_68d7c778f8b08193accb51819da3bac505fca80a652f961b,rs_68d7c77e2e64819381ba1df07654dc2805fca80a652f961b,,47692,291,64,o3,journal_tiers_v2_2025-09-27
Angrist et al. 2023,resp_68d7c7c3261081a280739a1b892f2a420bd7adad99dc44ea,rs_68d7c7c821a481a2b5bcab8a419048a40bd7adad99dc44ea,,31483,359,128,o3,journal_tiers_v2_2025-09-27
Arora et al. 2023,resp_68d7c81132488197b016046cbb0805af0a4a4f253b43656b,rs_68d7c817da408197bad13711667b29870a4a4f253b43656b,,54868,362,128,o3,journal_tiers_v2_2025-09-27
Bahar et al. 2022,resp_68d7c85ac87081a1aea368417daaeb82090cf0cfb3c801c9,rs_68d7c85f8ed881a1aa6933f79b12f039090cf0cfb3c801c9,,33958,330,128,o3,journal_tiers_v2_2025-09-27
Banerjee et al. 2022,resp_68d7c8a683dc81a28b42ce4b2c6039190e81c620f7f4193b,rs_68d7c8afc07c81a28709b398ed26dd8f0e81c620f7f4193b,,59351,345,128,o3,journal_tiers_v2_2025-09-27
Bergeron et al. 2024,resp_68d7c9ce9320819fb1b104c5c6faaced0df0681558fee7d8,rs_68d7c9da861c819f892add6b5d80a1960df0681558fee7d8,,61111,332,128,o3,journal_tiers_v2_2025-09-27
Bettle 2023,resp_68d7ca1e82d0819fbac487c692c3f087040fdf0f54f7c04e,rs_68d7ca2330ac819f8898f797ab00340b040fdf0f54f7c04e,,19896,333,128,o3,journal_tiers_v2_2025-09-27
Bhattacharya and Packalen 2020,resp_68d7cab8116c81a0bc64d2b7c81de4c904cb9af06352f7b1,rs_68d7cabb456881a099c6bb929c585bdf04cb9af06352f7b1,,21923,334,128,o3,journal_tiers_v2_2025-09-27
Bruers 2021,resp_68d7cb917e5081a3beecbd5467175bea06208a1de52feba2,rs_68d7cb94a0f081a3b673437c4aa47c8306208a1de52feba2,,18313,338,128,o3,journal_tiers_v2_2025-09-27
Clancy 2024,resp_68d7ccf741388191ba78587b213acd9300ab2f47aaf7f133,rs_68d7cd01bd308191967d26be256bbfe300ab2f47aaf7f133,,67295,269,64,o3,journal_tiers_v2_2025-09-27
Epperson and Gerster 2024,resp_68d7cdd71da881929227fa55b1ecb61700e102c1d523a739,rs_68d7cddb355c8192944a6dc30b5c83d100e102c1d523a739,,41313,347,128,o3,journal_tiers_v2_2025-09-27
Kremer et al. 2022,resp_68d7d1487e94819488b6896d84122f69037c35145da65b30,rs_68d7d14dc2f08194a636e6f8ff980585037c35145da65b30,,48626,335,128,o3,journal_tiers_v2_2025-09-27
Kubo et al. 2023,resp_68d7d18ea8d08195b2a8e4a264ad40170c516cd425d4f479,rs_68d7d1929e3c81959b9b164266c276430c516cd425d4f479,,17207,288,64,o3,journal_tiers_v2_2025-09-27
Liang et al. 2021,resp_68d7d1d82e38819ebdc5c5319d62440400525d0120fbbee0,rs_68d7d1e159d4819e8ce09002b786419900525d0120fbbee0,,57990,273,64,o3,journal_tiers_v2_2025-09-27
McGuire et al. 2024,resp_68d7d22570888193aca1fa033e639da602e2080e1648367c,rs_68d7d231594481938e98c58b9c0050c902e2080e1648367c,,51999,277,64,o3,journal_tiers_v2_2025-09-27
Salazar and Restrepo 2024,resp_68d7d2bf49f4819cbf778277e001fffb0ffd7b2bc0b7d1f9,rs_68d7d2c4c664819cb10df3ecdbedb5490ffd7b2bc0b7d1f9,,29637,328,128,o3,journal_tiers_v2_2025-09-27
Schuett et al. 2023,resp_68d7d309d0d88195bf5047d3d2e7e0950c2bae1e8b3ea9bf,rs_68d7d30dd23c81958ca3d7bd02cd5e8c0c2bae1e8b3ea9bf,,36006,385,192,o3,journal_tiers_v2_2025-09-27
