paper,metric,midpoint,lower_bound,upper_bound,rationale
Acemoglu et al. 2024,overall,90,83,95,"Ambitious, well-executed mixed online/field experiments on a timely question. Strong internal validity, large sample (≈880k registered voters exposure), administrative outcomes, placebo control online, heterogeneous-effects analysis, and robustness. Some risks (spillovers across neighborhoods, opposition-only partners, framing/partisanship in basic treatment) and limited external validity temper the top score."
Acemoglu et al. 2024,claims_evidence,88,82,93,"Core claims (misperceptions exist; accurate info shifts beliefs and opposition vote share; stronger among misinformed/government-leaning) are tightly linked to evidence. Online placebo helps separate demand effects. Field results use administrative vote shares. Claims remain measured. Caveats on generalizability are noted, though interference/spillovers are not deeply probed."
Acemoglu et al. 2024,methods,85,78,91,Sound design: randomized neighborhood canvassing; 2SLS using completion; strong first stages; rich controls; preregistration; robustness across instruments/controls; heterogeneity by baseline alignment. Concerns: potential spillovers between adjacent areas; only opposition parties partnered (credibility partly mitigated via non-affiliated canvassers); multiple outcomes with limited MHT adjustment; SUTVA not fully addressed.
Acemoglu et al. 2024,advancing_knowledge,90,84,96,"Combines belief-correction mechanisms with large-scale electoral outcomes in an authoritarian context, advancing literatures on democratic demand, persuasion, and corruption/media. Novel joint online-placebo and field evidence; identifies who moves and under what messenger credibility. High value for researchers and practitioners designing pro-democracy interventions."
Acemoglu et al. 2024,logic_communication,88,82,94,"Clear articulation of questions, hypotheses, treatments, and outcomes. Transparent exposition of bundled/unbundled analyses, heterogeneity, and robustness. Figures and appendices aid interpretation. Minor gaps: limited discussion of potential geographic spillovers and formal MHT handling."
Acemoglu et al. 2024,open_science,78,68,86,"IRB approvals, AEA RCT registry (AEARCTR-0011480), and detailed online supplement signal good practices. Administrative YSK data are public. It’s unclear if full anonymized microdata and code for both experiments are openly available, which constrains full reproducibility."
Acemoglu et al. 2024,global_relevance,92,86,97,"Highly relevant to global priorities: democratic resilience, combating authoritarian misinformation, and practical electoral interventions. Provides actionable effect sizes (≈2–4 pp vote-share shifts) and guidance on messenger credibility. Insights plausibly generalize to similar regimes, albeit with contextual caveats."
Aghion et al. 2017,overall,88,80,94,"Agenda-setting theory paper integrating automation, Baumol effects, and idea production with clear links to AI and growth. Rigorous, influential, and careful about assumptions and limits. Empirical support is illustrative rather than definitive; no replication materials. Overall, among the stronger recent contributions in macro-AI."
Aghion et al. 2017,claims_evidence,82,75,90,"Claims are clearly scoped and supported by formal models (Zeira-style, CES, Schumpeter) and transparent simulations. Evidence is primarily theoretical with selective sectoral/descriptive facts; characterization of uncertainty and alternative cases is careful. Limited direct empirical testing or calibration."
Aghion et al. 2017,methods,84,76,90,"Sound macro-theoretic modeling; assumptions explicit (e.g., ρ<0, exogenous automation). Explores robustness via alternative elasticities, regime switching, and idea-production channels. No structural estimation; automation path largely exogenous; simulations not fully reproducible. Mathematical arguments are credible and internally consistent."
Aghion et al. 2017,advancing_knowledge,90,85,96,"Sharp conceptual contributions: links Baumol’s cost disease to automation, clarifies conditions for balanced growth vs. singularities, highlights idea-production automation, and firm-level channels. Has shaped subsequent research agendas and empirical tests. High marginal value for future impactful work."
Aghion et al. 2017,logic_communication,92,86,97,"Exceptional clarity: questions posed upfront, assumptions explicit, derivations transparent, and alternative cases discussed. Figures align with arguments; caveats and limits acknowledged. Narrative integrates theory, intuition, and implications coherently."
Aghion et al. 2017,open_science,38,20,55,"NBER working paper with equations and figures but no shared code or replication package. Data sources cited (KLEMS, IFR) but scripts not provided. Model details sufficient for theoreticians, yet empirical/simulation reproducibility is limited."
Aghion et al. 2017,global_relevance,80,68,88,"Highly relevant to global priorities: growth trajectories, automation impacts, inequality, market structure, and innovation policy. Offers mechanisms and qualitative guidance; limited quantified policy estimates or cost-benefit outputs reduce immediate practitioner usability."
Akram et al. 2017,overall,87,80,93,"High-quality saturation RCT across 133 villages with rich, high-frequency labor, employer, and price data. Credible identification of GE spillovers and wage effects. Some reliance on retrospective employer measures and a few weak first-stage IVs in HF data; limited multiple-testing adjustments; unclear data/code release dampens score slightly."
Akram et al. 2017,claims_evidence,82,75,90,"Main claims (strategic complementarities in migration, higher village wages and work hours, small food price changes, employer profit squeeze) are well-supported via ITT/IV and multiple datasets. Caveats: employer profit estimates partly retrospective with instability; some HF IVs weak; multiple outcomes with no MHT correction."
Akram et al. 2017,methods,86,80,92,"Strong design: randomized saturation of offers, pre-registration, clustered inference, multiple data sources, HF surveys, village-level first stages for GE analysis. Assumptions (closed village labor markets) checked. Weaknesses: some weak IV in subsamples, retrospective recall for employers, limited formal robustness on multiple hypothesis testing."
Akram et al. 2017,advancing_knowledge,88,80,94,"Provides rare experimental evidence on general equilibrium effects of internal seasonal migration subsidies. Quantifies wage, labor supply, price, and employer impacts; informs debates on mobility restrictions vs. rural programs. External validity and later scale-up performance uncertain but contribution remains substantial."
Akram et al. 2017,logic_communication,86,80,92,"Clear statement of questions, simple organizing model, and consistent empirical narrative. Tables link first-stage migration shifts to wages, hours, prices, and profits. Limitations acknowledged. A few complex sections (employer finances, timing selection) but overall transparent and coherent."
Akram et al. 2017,open_science,55,40,70,"Trial pre-registered (AEA registry). Implementation and measurement well-documented. However, no clear public data/code repository is linked; replication would be heavy. Limited sharing of analysis scripts or materials visible in the WP."
Akram et al. 2017,global_relevance,89,85,95,"Highly relevant to policy on seasonal poverty, internal migration, and labor markets in LMICs. Quantifies direct and spillover effects, informing design/scale-up and trade-offs (laborers vs. employers). Applicability beyond Bangladesh likely, though context dependence remains."
Alatas et al. 2019,overall,84,76,90,"Large, well-executed nationwide Twitter RCT with clever identification of endorsement vs reach. Strong online effects; offline impacts are suggestive and cautiously framed. Pre-registration and thoughtful robustness checks. Main limitations: external validity beyond Indonesia/Twitter 2015–16, reliance on likes/retweets and self-reported survey outcomes, limited power for behavioral change. Policy relevance is high; conclusions are measured."
