label_paper,label_paper_title,evaluator,criteria,middle_rating,lower_ci,upper_ci,rationale
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 2,overall,75,NA,NA,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 2,merits_journal,3.5,NA,NA,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,overall,85,75,95,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,claims,85,75,90,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,adv_knowledge,85,75,90,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,methods,85,75,90,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,logic_comms,90,80,100,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,open_sci,85,75,95,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,real_world,90,80,100,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,gp_relevance,90,80,100,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,merits_journal,4,3.7,4.7,
NA,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,journal_predict,4,3.7,4.7,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,overall,85,70,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,claims,90,80,94,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,adv_knowledge,90,75,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,methods,75,60,90,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,logic_comms,90,80,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,open_sci,30,15,50,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,real_world,90,80,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,gp_relevance,90,80,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,merits_journal,4.1,3.4,4.4,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,journal_predict,4.3,3,4.7,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,overall,88,80,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,claims,83,75,90,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,adv_knowledge,88,80,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,methods,88,80,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,logic_comms,88,80,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,open_sci,83,75,90,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,real_world,88,80,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,gp_relevance,88,80,95,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,merits_journal,4.3,3.5,5,
NA,Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,journal_predict,4.3,3.5,5,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,overall,65,60,80,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,claims,60,50,70,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,adv_knowledge,30,20,50,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,methods,70,50,80,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,logic_comms,60,50,75,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,open_sci,90,80,100,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,real_world,40,30,50,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,gp_relevance,40,30,50,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,merits_journal,4.1,3.4,4.4,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,journal_predict,4,4,4,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,overall,77,56,94,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,claims,79,64,93,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,adv_knowledge,86,76,93,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,methods,71,55,91,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,logic_comms,82,73,93,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,open_sci,90,84,95,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,real_world,90,84,96,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,gp_relevance,90,84,96,
