ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
0001-3072,Abacus,F&A,B,,3,P,3,2,A,4.0,A,2,B
1941-6520,Academy of Management Annals,Gen & Strat,A,,2,,4*,2,A,24-Jul,A*,1,A
2168-1007,Academy of Management Discoveries,Gen & Strat,,,,,3,1,,,A,4,
0001-4273,Academy of Management Journal,Gen & Strat,A+,1,1,P*,4*,2,A,14-Feb,A*,1*,A+
1537-260X,Academy of Management Learning and Education,Education,B,,2,,4*,2,A,7.0,A*,1,A
1558-9080,Academy of Management Perspectives,Gen & Strat,B,,,S,4,2,A,07-Jul,A,2,A
0363-7425,Academy of Management Review,Gen & Strat,A+,1,1*,P*,4*,2,A,12-Jul,A*,1*,A+
1526-1794,Academy of Marketing Science Review,Marketing,B,,,,2,1,,,,,
0001-4788,Accounting and Business Research,F&A,B,,3,S,3,1,B,04-May,A,3,B
0810-5391,Accounting and Finance,F&A,C,,3,S,2,1,B,03-Mar,A,3,B
0963-9284,Accounting Education,Education,C,,,,2,1,,03-Mar,A,,
0155-9982,Accounting Forum,F&A,C,,4,,3,1,C,04-Jun,B,4,
0148-4184,Accounting Historians Journal,F&A,C,,3,,2,1,B,01-Mar,B,4,
1032-3732,Accounting History,F&A,C,,3,,2,1,B,2.0,A,3,
2155-2851,Accounting History Review,Bus Hist,B,,2,,2,1,A,01-May,B,3,
0888-7993,Accounting Horizons,F&A,B,,3,S,3,2,A,02-Sep,A,2,B
1744-9480,Accounting in Europe,F&A,C,,,,2,1,C,02-Feb,A,3,
1030-9616,Accounting Research Journal,F&A,C,,,,2,1,,01-May,B,,
0001-4826,Accounting Review,F&A,A+,1,1,P*,4*,2,A,06-Jul,A*,1*,A+
0951-3574,"Accounting, Auditing and Accountability Journal",F&A,B,,2,S,3,1,A,6.0,A*,2,
0361-3682,"Accounting, Organizations and Society",F&A,A,1,1,P*,4*,2,A,06-Jun,A*,1*,A
0360-0300,ACM Computing Surveys,"MIS, KM",B,,,,,2,,22-Mar,,,
1073-0516,ACM Transactions on Computer-Human Interaction,"MIS, KM",B,,4,,,2,B,08-Aug,A*,3,B
0362-5915,ACM Transactions on Database Systems,"MIS, KM",B,,,,,2,,09-Feb,,,
1046-8188,ACM Transactions on Information Systems,"MIS, KM",B,,,S,,2,,08-Mar,C,,B
0098-3500,ACM Transactions on Mathematical Software,"MIS, KM",,,,,,2,,03-Jul,,,
1049-3301,ACM Transactions on Modeling and Computer Simulation,"MIS, KM",,,,,3,1,,4.0,B,,
1049-331X,ACM Transactions on Software Engineering and Methodol,"oMIS, KM",,,,,,2,,05-Apr,,,
0095-3997,Administration and Society,PSM,C,,2,S,2,2,A,04-May,B,3,B
0001-8392,Administrative Science Quarterly,Gen & Strat,A+,1,1*,P*,4*,2,A,15-Mar,A*,1*,A+
0882-6110,Advances in Accounting,F&A,C,,4,,2,1,B,02-Mar,A,3,
1475-1488,Advances in Accounting Behavioral Research,F&A,,,,,2,1,,0.8,A,,
0001-8678,Advances in Applied Probability,"OR,MS,POM",,,,,,2,,01-Jun,A,,
0098-9258,Advances in Consumer Research,Marketing,C,,,,2,,,,B,,
1474-7979,Advances in International Marketing,Marketing,C,,,,1,1,,,C,,
1474-7871,Advances in Management Accounting,F&A,,,,,2,,,2.0,A,,
0742-3322,Advances in Strategic Management,Gen & Strat,C,,3,,2,1,B,01-Apr,C,3,
1468-2621,African Affairs,IB,,,,,3,2,,03-Sep,,,
0169-5150,Agricultural Economics,Economics,,,2,,2,1,A,,A,,
1944-3900,AIS Transactions on Human-Computer Interaction,"MIS, KM",,,,,2,1,,,A,,
0002-7642,American Behavioral Scientist,"OS/OB,HRM/IR",,,3,,1,1,B,03-Feb,B,,
0002-7766,American Business Law Journal,Economics,,,,,,1,,01-Jan,A,,
1945-7782,American Economic Journal: Applied Economics,Economics,,,1,,4,2,A,11-Jun,A*,1,
1945-7731,American Economic Journal: Economic Policy,Economics,,,1,,3,2,A,09-Mar,A*,1,
1945-7707,American Economic Journal: Macroeconomics,Economics,,,1,,4,2,A,07-May,A*,1,
1945-7669,American Economic Journal: Microeconomics,Economics,,,1,,3,2,A,03-Jun,A*,1,
0002-8282,American Economic Review,Economics,A+,1,1*,,4*,3,A,12-Jan,A*,1*,A+
2640-205X,American Economic Review: Insights,Economics,,,,,3,,,,A*,,
0002-9092,American Journal of Agricultural Economics,Economics,,,1,,3,1,A,05-May,A*,,
0002-9246,American Journal of Economics and Sociology,Economics,,,,,2,1,,0.8,B,,
1098-2140,American Journal of Evaluation,PSM,,,,,,2,,03-Jan,C,,
0092-5853,American Journal of Political Science,Sociology,,,,,,2,,08-Feb,A*,,
0002-9556,American Journal of Psychology,Psychology,,,,,1,1,,01-Jul,B,,
0090-0036,American Journal of Public Health,Economics,B,,,,,2,,06-Sep,A*,,
0002-9602,American Journal of Sociology,Sociology,,,,,4*,2,,06-Sep,A*,1,
0003-0554,American Political Science Review,PSM,,,,,,2,,07-Mar,A*,,
0003-066X,American Psychologist,Psychology,B,,,,,1,,06-Sep,A*,,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
