paper,metric,metric_type,value,lo,hi,scale_min,scale_max
Schuett et al. 2023,overall,percentile,77.0,70.0,84.0,0,100
Schuett et al. 2023,claims_evidence,percentile,75.0,68.0,82.0,0,100
Schuett et al. 2023,methods,percentile,66.0,58.0,74.0,0,100
Schuett et al. 2023,advancing_knowledge,percentile,73.0,66.0,82.0,0,100
Schuett et al. 2023,logic_communication,percentile,86.0,80.0,92.0,0,100
Schuett et al. 2023,open_science,percentile,82.0,74.0,90.0,0,100
Schuett et al. 2023,global_relevance,percentile,86.0,80.0,92.0,0,100
Schuett et al. 2023,tier_should,tier,3.8,3.3,4.3,0,5
Schuett et al. 2023,tier_will,tier,3.5,3.0,4.1,0,5
Williams et al. 2024,overall,percentile,86.0,79.0,92.0,0,100
Williams et al. 2024,claims_evidence,percentile,82.0,73.0,89.0,0,100
Williams et al. 2024,methods,percentile,77.0,68.0,85.0,0,100
Williams et al. 2024,advancing_knowledge,percentile,90.0,83.0,96.0,0,100
Williams et al. 2024,logic_communication,percentile,85.0,77.0,91.0,0,100
Williams et al. 2024,open_science,percentile,62.0,50.0,72.0,0,100
Williams et al. 2024,global_relevance,percentile,94.0,88.0,98.0,0,100
Williams et al. 2024,tier_should,tier,4.6,4.1,5.0,0,5
Williams et al. 2024,tier_will,tier,4.5,3.9,5.0,0,5
Adena and Hager 2024,overall,percentile,83.0,75.0,90.0,0,100
Adena and Hager 2024,claims_evidence,percentile,84.0,75.0,90.0,0,100
Adena and Hager 2024,methods,percentile,81.0,72.0,88.0,0,100
Adena and Hager 2024,advancing_knowledge,percentile,79.0,70.0,88.0,0,100
Adena and Hager 2024,logic_communication,percentile,87.0,80.0,93.0,0,100
Adena and Hager 2024,open_science,percentile,62.0,48.0,76.0,0,100
Adena and Hager 2024,global_relevance,percentile,78.0,66.0,88.0,0,100
Adena and Hager 2024,tier_should,tier,3.9,3.2,4.5,0,5
Adena and Hager 2024,tier_will,tier,3.5,2.8,4.2,0,5
Peterman et al. 2025,overall,percentile,82.0,74.0,90.0,0,100
Peterman et al. 2025,claims_evidence,percentile,78.0,68.0,87.0,0,100
Peterman et al. 2025,methods,percentile,74.0,65.0,83.0,0,100
Peterman et al. 2025,advancing_knowledge,percentile,85.0,76.0,93.0,0,100
Peterman et al. 2025,logic_communication,percentile,76.0,66.0,85.0,0,100
Peterman et al. 2025,open_science,percentile,62.0,45.0,75.0,0,100
Peterman et al. 2025,global_relevance,percentile,91.0,84.0,97.0,0,100
Peterman et al. 2025,tier_should,tier,4.2,3.6,4.8,0,5
Peterman et al. 2025,tier_will,tier,3.9,3.2,4.6,0,5
