paper,metric,score,ci_lower,ci_upper,model
Abbink_et_al._2025,tier_should,4.0,3.4,4.6,gpt-5-pro-2025-10-06
Abbink_et_al._2025,tier_will,3.6,3.0,4.2,gpt-5-pro-2025-10-06
Acemoglu_et_al._2024,tier_should,4.7,4.2,5.0,gpt-5-pro-2025-10-06
Acemoglu_et_al._2024,tier_will,4.5,3.8,4.9,gpt-5-pro-2025-10-06
Adena_and_Hager_2024,tier_should,4.2,3.6,4.8,gpt-5-pro-2025-10-06
Adena_and_Hager_2024,tier_will,4.1,3.3,4.7,gpt-5-pro-2025-10-06
Aghion_et_al._2017,tier_should,4.4,3.9,4.9,gpt-5-pro-2025-10-06
Aghion_et_al._2017,tier_will,4.2,3.6,4.8,gpt-5-pro-2025-10-06
Akram_et_al._2017,tier_should,4.3,3.7,4.7,gpt-5-pro-2025-10-06
Akram_et_al._2017,tier_will,4.1,3.5,4.5,gpt-5-pro-2025-10-06
Alatas_et_al._2019,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06
Alatas_et_al._2019,tier_will,3.9,3.2,4.5,gpt-5-pro-2025-10-06
Alcott_et_al._2024,tier_should,4.6,4.2,5.0,gpt-5-pro-2025-10-06
Alcott_et_al._2024,tier_will,4.4,3.8,4.9,gpt-5-pro-2025-10-06
Angrist_et_al._2023,tier_should,4.5,4.1,4.9,gpt-5-pro-2025-10-06
Angrist_et_al._2023,tier_will,4.2,3.6,4.7,gpt-5-pro-2025-10-06
Arora_et_al._2023,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06
Arora_et_al._2023,tier_will,4.2,3.4,4.7,gpt-5-pro-2025-10-06
Bahar_et_al._2022,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06
Bahar_et_al._2022,tier_will,4.0,3.2,4.6,gpt-5-pro-2025-10-06
Banerjee_et_al._2022,tier_should,4.6,4.2,5.0,gpt-5-pro-2025-10-06
Banerjee_et_al._2022,tier_will,4.4,3.8,4.9,gpt-5-pro-2025-10-06
Banerjee_et_al._2023,tier_should,4.6,4.2,4.9,gpt-5-pro-2025-10-06
Banerjee_et_al._2023,tier_will,4.5,4.0,4.8,gpt-5-pro-2025-10-06
Barberio_et_al._2022,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06
Barberio_et_al._2022,tier_will,3.3,2.6,4.0,gpt-5-pro-2025-10-06
Barker_et_al._2021,tier_should,3.9,3.3,4.5,gpt-5-pro-2025-10-06
Barker_et_al._2021,tier_will,3.7,3.0,4.3,gpt-5-pro-2025-10-06
BenYishay_et_al._2024,tier_should,3.9,3.2,4.5,gpt-5-pro-2025-10-06
BenYishay_et_al._2024,tier_will,3.8,3.0,4.4,gpt-5-pro-2025-10-06
Benabou_et_al._2023,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06
Benabou_et_al._2023,tier_will,4.0,3.4,4.6,gpt-5-pro-2025-10-06
Benjamin_et_al._2023,tier_should,4.3,3.8,4.8,gpt-5-pro-2025-10-06
Benjamin_et_al._2023,tier_will,4.1,3.6,4.6,gpt-5-pro-2025-10-06
Bergeron_et_al._2024,tier_should,4.2,3.5,4.7,gpt-5-pro-2025-10-06
Bergeron_et_al._2024,tier_will,4.3,3.6,4.8,gpt-5-pro-2025-10-06
Bettle_2023,tier_should,3.1,2.4,3.8,gpt-5-pro-2025-10-06
Bettle_2023,tier_will,2.7,1.9,3.3,gpt-5-pro-2025-10-06
Bhat_et_al._2022,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06
Bhat_et_al._2022,tier_will,4.2,3.6,4.7,gpt-5-pro-2025-10-06
Bhattacharya_and_Packalen_2020,tier_should,3.4,2.8,4.0,gpt-5-pro-2025-10-06
Bhattacharya_and_Packalen_2020,tier_will,3.2,2.5,3.9,gpt-5-pro-2025-10-06
Bilal_and_Kaenzig_2024,tier_should,4.6,4.1,5.0,gpt-5-pro-2025-10-06
Bilal_and_Kaenzig_2024,tier_will,4.4,3.8,4.9,gpt-5-pro-2025-10-06
Blimpo_and_Castaneda-Dower_2025,tier_should,3.8,3.0,4.4,gpt-5-pro-2025-10-06
Blimpo_and_Castaneda-Dower_2025,tier_will,3.2,2.6,4.0,gpt-5-pro-2025-10-06
Bruelhart et al. 2021,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06
Bruelhart et al. 2021,tier_will,4.5,3.7,4.9,gpt-5-pro-2025-10-06
Bruers_2021,tier_should,2.4,1.6,3.2,gpt-5-pro-2025-10-06
Bruers_2021,tier_will,2.0,1.1,2.7,gpt-5-pro-2025-10-06
Buntaine_et_al._2023,tier_should,4.6,4.1,4.9,gpt-5-pro-2025-10-06
Buntaine_et_al._2023,tier_will,4.5,4.0,4.9,gpt-5-pro-2025-10-06
Carson_et_al._2023,tier_should,3.8,3.2,4.5,gpt-5-pro-2025-10-06
Carson_et_al._2023,tier_will,3.7,3.0,4.3,gpt-5-pro-2025-10-06
Caviola_et_al._2022,tier_should,4.3,3.8,4.8,gpt-5-pro-2025-10-06
Caviola_et_al._2022,tier_will,4.1,3.5,4.7,gpt-5-pro-2025-10-06
Chuard_et_al._2022,tier_should,3.8,3.2,4.4,gpt-5-pro-2025-10-06
Chuard_et_al._2022,tier_will,3.6,3.0,4.3,gpt-5-pro-2025-10-06
Clancy_2024,tier_should,3.2,2.6,3.8,gpt-5-pro-2025-10-06
Clancy_2024,tier_will,2.7,2.1,3.3,gpt-5-pro-2025-10-06
Crawfurd_et_al._2023,tier_should,3.7,3.0,4.4,gpt-5-pro-2025-10-06
Crawfurd_et_al._2023,tier_will,3.4,2.8,4.2,gpt-5-pro-2025-10-06
Denkenberger_et_al._2022,tier_should,3.2,2.6,3.8,gpt-5-pro-2025-10-06
Denkenberger_et_al._2022,tier_will,3.0,2.2,3.6,gpt-5-pro-2025-10-06
Dullaghan_and_Zhang_2022,tier_should,2.4,1.6,3.3,gpt-5-pro-2025-10-06
Dullaghan_and_Zhang_2022,tier_will,1.9,1.2,2.7,gpt-5-pro-2025-10-06
Epperson_and_Gerster_2024,tier_should,3.8,3.3,4.3,gpt-5-pro-2025-10-06
Epperson_and_Gerster_2024,tier_will,3.6,3.0,4.1,gpt-5-pro-2025-10-06
Fangwa_et_al._2023,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06
Fangwa_et_al._2023,tier_will,4.0,3.3,4.6,gpt-5-pro-2025-10-06
Frech_et_al._2023,tier_should,3.6,2.8,4.3,gpt-5-pro-2025-10-06
Frech_et_al._2023,tier_will,3.2,2.5,4.0,gpt-5-pro-2025-10-06
Green_et_al._2025,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06
Green_et_al._2025,tier_will,4,3.3,4.5,gpt-5-pro-2025-10-06
Hahn_et_al._2025,tier_should,4.6,4.2,4.9,gpt-5-pro-2025-10-06
Hahn_et_al._2025,tier_will,4.4,3.8,4.9,gpt-5-pro-2025-10-06
Haushofer_et_al._2020,tier_should,4.4,3.7,4.8,gpt-5-pro-2025-10-06
Haushofer_et_al._2020,tier_will,4.1,3.5,4.6,gpt-5-pro-2025-10-06
Hill_et_al._2024,tier_should,4.7,4.3,5.0,gpt-5-pro-2025-10-06
Hill_et_al._2024,tier_will,4.6,4.0,5.0,gpt-5-pro-2025-10-06
Jack_et_al._2022,tier_should,4.4,3.8,4.8,gpt-5-pro-2025-10-06
Jack_et_al._2022,tier_will,4.5,3.7,4.9,gpt-5-pro-2025-10-06
Jaroszewicz_et_al._2024,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06
Jaroszewicz_et_al._2024,tier_will,4.1,3.4,4.6,gpt-5-pro-2025-10-06
Kirkland_et_al._2023,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06
Kirkland_et_al._2023,tier_will,3.5,2.8,4.1,gpt-5-pro-2025-10-06
Kremer_et_al._2020,tier_should,3.7,3.1,4.3,gpt-5-pro-2025-10-06
Kremer_et_al._2020,tier_will,3.9,3.0,4.8,gpt-5-pro-2025-10-06
Kremer_et_al._2022,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06
Kremer_et_al._2022,tier_will,4.2,3.4,4.7,gpt-5-pro-2025-10-06
Kubo_et_al._2023,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06
Kubo_et_al._2023,tier_will,3.4,2.6,4.1,gpt-5-pro-2025-10-06
Kudymowa_et_al._2023,tier_should,2.6,2.0,3.3,gpt-5-pro-2025-10-06
Kudymowa_et_al._2023,tier_will,2.3,1.5,3.0,gpt-5-pro-2025-10-06
Liang_et_al._2025,tier_should,3.8,3.2,4.4,gpt-5-pro-2025-10-06
Liang_et_al._2025,tier_will,3.5,2.9,4.2,gpt-5-pro-2025-10-06
