paper_title,research_area,public_version_status,response_tier,primary_evaluation_aspect
Pharmaceutical Pricing and R&D as a Global Public Good,"Econ., welfare, misc.",no_observed_public_change,no_observed_public_change,
Towards Best Practices in AGI Safety and Governance,Social impact of tech/AI,no_observed_public_change,no_observed_public_change,
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,Innovation & meta-science,no_observed_public_change,no_observed_public_change,
The Returns to Science in the Presence of Technological Risks,Innovation & meta-science,no_observed_public_change,no_observed_public_change,
Effects of Emigration on Rural Labor Markets,Dev. econ/gov. (LMICs),no_observed_public_change,no_observed_public_change,
Legalizing Entrepreneurship,Dev. econ/gov. (LMICs),no_observed_public_change,no_observed_public_change,
The Benefits and Costs of Guest Worker Programs,Dev. econ/gov. (LMICs),no_observed_public_change,no_observed_public_change,
The Comparative Impact of Cash Transfers and a Psychotherapy Program,Global health (LMICs),no_observed_public_change,no_observed_public_change,
Cash Transfers for Child Development: Experimental Evidence from India,Global health (LMICs),no_observed_public_change,no_observed_public_change,
Stagnation and Scientific Incentives,Innovation & meta-science,no_observed_public_change,no_observed_public_change,
Intergenerational Child Mortality Impacts of Deworming,Global health (LMICs),no_observed_public_change,no_observed_public_change,
Economic versus Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Global health (LMICs),no_observed_public_change,no_observed_public_change,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Global health (LMICs),no_observed_public_change,no_observed_public_change,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Dev. econ/gov. (LMICs),later_public_version_reviewed,specific_alignment,specified additional analysis
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Dev. econ/gov. (LMICs),later_public_version_reviewed,weaker_correspondence,robustness and statistical reporting
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,Environment,later_public_version_reviewed,weaker_correspondence,robustness and sample sensitivity
A Welfare Analysis of Policies Impacting Climate Change,Environment,later_public_version_reviewed,no_supported_implementation,clarification and interpretation
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Dev. econ/gov. (LMICs),later_public_version_reviewed,no_supported_implementation,theory measurement and transparency
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Global health (LMICs),later_public_version_reviewed,specific_alignment,specified additional analysis
Urban Forests: Environmental Health Values and Risks,Environment,later_public_version_reviewed,weaker_correspondence,confounding and measurement robustness
Artificial Intelligence and Economic Growth,Social impact of tech/AI,later_public_version_reviewed,explicit_documented_link,correctable proof error
Adaptability and the Pivot Penalty in Science,Innovation & meta-science,later_public_version_reviewed,no_supported_implementation,outcomes mechanisms welfare and framing
