paper,model,prompt_version,should_score,should_ci_lower,should_ci_upper,should_rationale,will_score,will_ci_lower,will_ci_upper,will_rationale
Aghion et al. 2017,o3,journal_tiers_v2_2025-09-27,3.8,3.2,4.3,"Prominent theoretical survey offering new models combining AI-driven automation with Baumol disease and endogenous growth. Contributions: clarifies mechanisms, derives conditions for balanced growth vs singularity; modelling sound, transparent; evidence illustrative only. Lacks deep empirical validation or rigorous microfoundations of AI process, so fits strong field journal rather than top-five.",4.2,3.5,4.7,"Hot topic, agenda-setting piece by highly reputed authors with NBER exposure; broad appeal across macro & innovation fields. Likely to secure placement in upper-tier general economics or flagship review outlet despite limited empirics, as conceptual clarity, simulations and policy relevance attract editors. Downside risks: speculative nature, exogenous AI assumption, length. Overall prospects skew"
Alcott et al. 2024,o3,journal_tiers_v2_2025-09-27,4.0,3.5,4.4,"Combines rigorous public-finance theory with well-designed RCTs; derives new sufficient-statistic welfare test and supplies credible empirical implementation. Clear identification, transparent data, solid robustness. Contribution advances evaluation of nudges beyond average effects—novel and policy-relevant. Writing and openness excellent. Limitations: online convenience samples, hypothetical car",3.4,3.0,3.9,"Topic fits behavioral public-finance niche; theory strong but experiments somewhat stylized and U.S.-centric, may temper broad appeal. Lengthy manuscript and mixed empirical external validity could face resistance at top A’s; authors’ stature helps but likely outcome a strong field or top B outlet (AEJ:Econ Policy, JPubE, JEEA). Revisions and buzz could still nudge upward."
Angrist et al. 2023,o3,journal_tiers_v2_2025-09-27,4.2,3.6,4.6,"Large multi-country RCT (16k HH, five LMICs) on phone-based tutoring; strong internal validity, external validity rare; clear positive, cost-effective results; rigorous heterogeneity, robustness, teacher spillover, additional quasi-experiment. Methods transparent, data extensive. Contribution to education-in-emergencies and scaling literature substantial—fit for top development/education economics",3.7,3.0,4.2,"Though high quality, topic may be viewed as niche relative to broad econ journals; phone tutoring seen as incremental tech adaptation; many authors, NBER WP lowers novelty perception; may face skepticism on phone test measurement. Likely accepted by strong field or AEJ Applied/Econ Dev rather than AER/QJE. Reputation of institutions and policy relevance push up; crowded RCT space and length push a"
Arora et al. 2023,o3,journal_tiers_v2_2025-09-27,4.0,3.2,4.6,"Combines novel firm-level datasets (Dimensions, ProQuest, AMWS) with well-motivated Bartik IVs tied to political swings in agency budgets; identification looks credible (strong first-stage, robustness, heterogeneous effects). Contributions to innovation and public-science literatures are clear, theory aligned, and results policy-relevant. Paper is lucid, exhaustive, replicable, and suitable for a",3.3,2.8,4.0,"Though methodologically solid, the paper is lengthy, multi-dataset, and sits between IO/innovation and public-finance fields, which may push editors toward strong field outlets (e.g., Rand, Management Sci) rather than top general journals. Potential concerns about external validity, complex instruments, and incumbent-startup narrative could elicit mixed referee reactions. Status of authors and NBR"
Bahar et al. 2022,o3,journal_tiers_v2_2025-09-27,3.9,3.4,4.4,"Large administrative micro-data, credible identification exploiting policy thresholds with innovative running-variable instrument; clear, policy-relevant evidence that legalization boosts firm formation; extensive robustness and heterogeneity. Methodological contribution adds general interest. Minor concerns: complexity may limit transparency; external validity narrow. Overall merits marginal A--/",3.5,3.0,4.1,"Well-known authors, NBER WP, strong causal design raise odds of upper-tier field journal. Yet topic (Colombia, refugee entrepreneurship) and methodological novelty may seem niche for top general-interest outlets; some editors may view effects modest. Likely landing in top field or marginal A journal, with noise from reviewer tastes."
Banerjee et al. 2022,o3,journal_tiers_v2_2025-09-27,4.2,3.8,4.6,"Introduces rigorous Treatment Variant Aggregation procedure with theoretical guarantees and applies it to a 75-arm immunization RCT. Strong methodological novelty, large policy-relevant dataset, credible identification, clear writing, thorough simulations. Some assumptions (exact sparsity, homoskedasticity) may limit universality, and empirical application confined to one Indian state, preventing",4.4,4.0,4.8,"Paper authored by highly prominent scholars, blends new econometric technique with large-scale policy experiment; strong fit for top general-interest economics or statistics journals. Prestige, topic salience (vaccination nudges) and extensive robustness likely sway editors. Risk factors: length/complexity and specialized assumptions, but stature and relevance make acceptance at upper-tier field/A"
Bergeron et al. 2024,o3,journal_tiers_v2_2025-09-27,3.8,3.2,4.4,"Strong theoretical contribution linking cultural evolution and zero-sum beliefs, coupled with credible mixed-method empirical tests (original DRC surveys; global WVS). Identification mostly correlational, but triangulation, robustness and plausible mechanisms lift credibility. Writing is clear, data and instruments documented, open to replication. Novelty and breadth suit high political-economy or",4.3,3.7,4.8,"Author team is highly reputable; NBER working paper already circulating; topic (culture, beliefs, development) is fashionable. Broad empirical scope and historical tie-ins entice general-interest journals despite correlational limits. Fit with A-level outlets in development or political economy likely; status and networking reduce editorial noise risk."
Bettle 2023,o3,journal_tiers_v2_2025-09-27,2.8,2.0,3.5,"Offers a clear, well-structured synthesis of replication bias literature and produces pragmatic discount heuristics valuable for cost-effectiveness analysts. Contribution is mainly integrative rather than original theory or data; methods are narrative with illustrative calculations. Credible and transparent, but evidence base is secondary. Fits solidly in specialized evaluation or development-econ",1.8,1.0,3.0,"Niche topic (CEA discounts for philanthropy) limits audience; lacks novel empirical results, relying on prior studies. Presented as internal report with informal tone and figures, so editors may see it as technical grey literature. Author affiliation moderate prestige. Could land in a lower-tier applied methods or open-access journal, but higher outlets unlikely."
Bhattacharya and Packalen 2020,o3,journal_tiers_v2_2025-09-27,2.5,2.0,3.5,"Offers clear narrative linking citation-based incentives to declining scientific novelty, supported by stylized model and descriptive evidence. Contribution is mainly conceptual; empirical sections rely on prior work and simple correlations, limiting causal credibility. Writing is lucid and cross-disciplinary, but theoretical and measurement innovations are incremental for economics of science. LQ",2.0,1.0,3.0,"Topic (science incentives) fits specialized innovation or scientometrics outlets; length and policy tone suit mid-tier field journals, not top general journals. Lack of tight identification and heavy reliance on secondary data may draw scepticism from high-impact venues. Author affiliations and NBER branding raise floor, but conceptual nature limits ceiling. Editorial noise broadens outcome range."
Bruers 2021,o3,journal_tiers_v2_2025-09-27,1.9,1.2,2.6,"Interesting attempt to monetize farm-animal suffering, but relies on highly hypothetical contingent-valuation scenario with small Belgian sample, heavy non-response, extreme outliers, and admitted bias. Identification is weak; results are fragile and largely illustrative. Clarity and discussion of limits are good, yet empirical credibility is modest. Fits a decent but not strong field journal in (",1.5,0.8,2.2,"Unorthodox survey design, very large valuation figures, and acknowledged methodological problems may face skepticism from referees; sample limited to Flemish panel. Lacks institutional prestige cues. Likely outcomes are niche welfare-economics or animal-ethics outlets below core economics list. Editorial noise and fit issues pull expected placement slightly below methodological merit."
