
title,authors,year,citation,abstract
Population ethical intuitions,Lucius Caviola; David Althaus; Andreas L. Mogensen; Geoffrey P. Goodwin,2022,Caviola et al. 2022,Experiments examine how people aggregate welfare across individuals.  Participants choose between scenarios involving different populations and numbers of happy or unhappy people.  The study reveals that people’s intuitive preferences for population welfare depend on the distribution of wellbeing and that many favour creating new happy people only when their lives are above a certain threshold and are reluctant to create new unhappy lives.
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Maja Adena; Anselm Hager,2024,Adena and Hager 2024,"In a field experiment, 8,000 postal codes in Germany were randomly assigned to receive Facebook fundraising videos or a control.  The campaign promoted Save the Children.  Donations per capita and the share of donors increased significantly in treated regions, with little evidence of substitution away from other charities.  The advertising campaign was profitable and suggests online fundraising can raise substantial resources for charities."
Maternal Cash Transfers for Gender Equity and Child Development: Experimental Evidence from India,Jeffrey Weaver; Sandip Sukhtankar; Paul Niehaus; Karthik Muralidharan,2024,Weaver et al. 2024,"A large randomised controlled trial provided unconditional cash transfers to new mothers in India.  The transfers increased women’s calorie intake and dietary diversity, narrowed gender disparities in nutrition, and improved functional development of children.  Anthropometric outcomes were bounded near zero overall, but in areas with high sanitation the program improved child growth.  The results show that cash transfers to mothers can advance gender equity and child development."
"A systematic review and meta analysis of social safety nets, women’s economic achievements and agency",Amber Peterman; Jingying Wang; Kevin Kamto Sonke; Janina Steinert,2024,Peterman et al. 2024,"This systematic review and meta‑analysis synthesizes 106 publications evaluating social safety net interventions in low‑ and middle‑income countries.  The pooled effect size is approximately 0.103 standard deviations, indicating that safety net programs modestly but significantly improve women’s economic achievements and agency.  Effects differ by intervention type: asset transfers and unconditional cash transfers outperform in‑kind or conditional transfers, though heterogeneity remains across contexts."
Forecasts estimate limited cultured meat production through 2050,Neil Dullaghan,2022,Dullaghan 2022,"This report examines forecasts for cultured meat production and asks whether effective altruists should invest in cultured meat research.  It concludes that global cultured meat production will remain limited through 2050, suggesting the field’s growth may be slower than supporters hope.  The author discusses whether advocacy and research funding or market forces should steer the technology’s development."
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Roland Bénabou; Armin Falk; Luca Henkel,2024,Bénabou et al. 2024,"Through a series of incentivised experiments — including a real‑stakes trolley dilemma and rule‑following tasks — the authors study how individuals weigh ends versus means.  They find that people’s moral choices are highly context‑dependent: many switch between deontological and consequentialist reasoning depending on the situation, and these moral preferences correlate little with self‑reported prosociality or generosity.  The findings challenge the view of stable moral types."
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Moussa P. Blimp; Paul Castañeda Dower,2025,Blimp and Dower 2025,"A randomized controlled trial provided informal firms in Togo with information about tax obligations and public goods.  While the intervention improved firms’ knowledge of the fiscal contract, it reduced the number of firms paying taxes and increased their business activity and revenue.  The results suggest that empowering firms with civic information can stimulate economic activity without broadening the tax base."
Misperceptions and Demand for Democracy under Authoritarianism,Daron Acemoglu; Cevat Giray Aksoy; Ceren Baysan; Carlos Molina; Gamze Zeki,2024,Acemoglu et al. 2024,"During Turkey’s 2023 elections, field and online experiments supplied accurate information about democratic institutions and media freedom to voters.  Providing information increased opposition vote share, particularly among citizens who had been misinformed.  The study concludes that misperceptions about the benefits of democracy contribute to support for authoritarian regimes and that correcting misinformation can shift political preferences."
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Seth Ariel Green; Austin Benny Smith; Maya Mathur,2025,Green et al. 2025,"A review of 35 papers (41 studies with 112 interventions and approximately 87,000 subjects) evaluates interventions aimed at reducing consumption of meat and animal products.  Overall effects are small, though interventions targeting red and processed meat have somewhat larger impacts.  The authors note that many promising strategies remain unevaluated and that effective ways to reduce meat consumption are not yet well understood."
Pharmaceutical Pricing and R&D as a Global Public Good,H.E. Frech III; Mark V. Pauly; William S. Comanor; Joseph R. Martinez,2023,Frech et al. 2023,"U.S. prescription drug prices are much higher than in other OECD countries.  The authors use global public goods theory to explain how pricing relates to funding for pharmaceutical research and development.  They model optimal contributions to global R&D and compare U.S. and rest‑of‑world contributions empirically.  The results challenge the claim that other countries free ride on U.S. innovation, highlighting the complex interplay between pricing and R&D incentives."
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data (Nov 2024 update),Joel McGuire; Samuel Dupret; Ryan Dwyer; Michael Plant; Maxwell Klapow,2024,McGuire et al. 2024,"Using a systematic review and meta‑analysis combined with data from charities, this report evaluates the cost‑effectiveness of two psychotherapy providers (StrongMinds and Friendship Bench) in Africa.  The authors estimate the cost per wellbeing-adjusted life-year (WELLBY) and conclude that these programs are roughly five to six times more cost‑effective at improving wellbeing than cash transfers.  Sensitivity analyses explore assumptions about durability and spillovers."
The Effect of Public Science on Corporate R&D,Ashish Arora; Sharon Belenzon; Larisa C. Cioaca; Lia Sheer; Hansen Zhang,2023,Arora et al. 2023,"Using changes in federal research budgets linked to U.S. electoral cycles as instruments, the authors show that university-generated human capital and patented inventions increase corporate R&D.  By contrast, abstract knowledge alone has little effect on private innovation.  University inventions may substitute for corporate research, suggesting that public science is not fully nonrival and that patents and technology transfer can crowd out private R&D."
Global potential for natural regeneration in deforested tropical regions,Carter E. Williams; Susan C. Cook-Patton; Alexander Zizka; David L. Lewis; and many co‑authors,2024,Williams et al. 2024,"Using spatial data on land use and ecological factors, this Nature paper estimates that 215 million hectares of deforested tropical land could regenerate naturally, an area larger than Mexico.  Such regeneration could sequester roughly 23.4 gigatonnes of carbon.  Five countries account for over half of the total potential.  The findings highlight opportunities for natural regeneration to complement tree-planting and restoration initiatives."
Towards best practices in AGI safety and governance: A survey of expert opinion,Jonas Schuett; Noemi Dreksler; Markus Anderljung; David McCaffary; Lennart Heim; Emma Bluemke; Ben Garfinkel,2023,Schuett et al. 2023,"A survey of 92 experts on artificial general intelligence (AGI) safety gathered 51 responses about governance practices for advanced AI labs.  Respondents broadly agreed on measures such as independent risk assessments, third‑party audits, model evaluations and red teaming.  The study suggests that expert consensus can inform the development of industry standards and regulatory frameworks for AGI safety and governance."
Choose Your Moments: Peer Review and Scientific Risk Taking,Richard T. Carson; Joshua S. Graff Zivin; Jeffrey G. Shrader,2023,Carson et al. 2023,"A discrete choice experiment with biomedical researchers in the U.S. shows that scientists prefer to fund proposals with higher disagreement among reviewers, indicating a taste for risk.  Scientists’ preferences differ markedly from current funding agency practices, which prioritise consensus.  Allowing reviewer dissent to influence funding decisions could increase the share of innovative, high‑risk research projects."
A Welfare Analysis of Policies Impacting Climate Change,Robert W. Hahn; Nathaniel Hendren; Robert D. Metcalfe; Ben Sprung‑Keyser,2024,Hahn et al. 2024,"Applying the marginal value of public funds (MVPF) framework to 96 U.S. climate policies, the authors find that subsidies that directly substitute clean for fossil fuels have MVPFs exceeding two.  Behavioural nudges yield even larger MVPFs in regions with dirty electric grids.  By contrast, fuel taxes and cap‑and‑trade systems are highly efficient revenue-raising policies.  The study provides a method to include learning‑by‑doing spillovers when evaluating climate interventions."
Adaptability and the Pivot Penalty in Science and Technology,Ryan Hill; Yian Yin; Carolyn Stein; Xizhao Wang; Dashun Wang; Benjamin F. Jones,2024,Hill et al. 2024,"Analysing millions of publications and patents, the authors quantify how researchers’ impact changes when they switch research fields.  They find a strong ‘pivot penalty’: scientific impact declines sharply when researchers move far from their previous topics, and this penalty has grown over time.  Large pivots rarely lead to exceptionally high-impact work, suggesting limited benefits from drastic shifts in research direction."
Stagnation and Scientific Incentives,Jay Bhattacharya; Mikko Packalen,2020,Bhattacharya and Packalen 2020,"The authors argue that the slowdown in scientific progress is not due to harder remaining ideas but to incentive structures that reward highly cited incremental work.  Using historical data and models of innovation, they show that scientists increasingly pursue incremental research that is likely to be cited.  Measuring and rewarding novelty, rather than citations alone, could encourage exploration and major breakthroughs."
Urban Forests: Environmental Health Values and Risks,Jianwei Xing; Zhenhua Chen; Qingyan Leng; Zhuanwei Wang; Yuson Jung; Pinching Li and co‑authors,2023,Xing et al. 2023,"The study examines Beijing’s urban afforestation program, linking remote‑sensing data to air pollution and health outcomes.  Planting trees reduced particulate matter (PM2.5) concentrations but raised pollen exposure.  Analysis of medical claims indicates that the health benefits from cleaner air are partially offset by increased respiratory illnesses due to pollen.  The findings illustrate the need to balance environmental health benefits against risks when designing urban forest policies."
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Stijn Bruers,2023,Bruers 2023,"A survey of Belgian consumers uses hypothetical scenarios to infer the animal welfare costs of meat.  Many respondents consider the lives of farm animals not worth living under current intensive farming.  The median estimated welfare cost of chicken meat is around €10 per kilogram.  These welfare costs exceed consumer utility and conventional environmental costs, suggesting that meat consumption may impose large moral costs."
The Returns to Science in the Presence of Technological Risks,Matt Clancy,2024,Clancy 2024,"Using forecasts from a long‑run forecasting tournament, the author develops a model to estimate the social returns to scientific research when discoveries can both accelerate progress and increase technological risks.  Ignoring extinction risks, returns remain positive; however, when accounting for pandemic and existential risks, the desirability of further scientific investment depends on assumptions about hazard rates and risk mitigation."
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,Adrien Bilal; Diego R. Känzig,2024,Bilal and Känzig 2024,"Exploiting global temperature variability, the authors estimate that a 1°C increase in global temperature reduces world GDP by 12% — six times larger than earlier local‑temperature estimates.  Business‑as‑usual warming implies a welfare loss around 25% and a social cost of carbon of approximately $1,367 per tonne.  These large damages suggest that unilateral decarbonization can be cost‑effective for large economies."
Building Resilient Education Systems: Evidence from Large‑Scale Randomized Trials in Five Countries,Noam Angrist; Guilherme Lichand; Amanda Waxman; Theresa Beltramo; Evan Borkum; Simone N. W. Schaner and co‑authors,2023,Angrist et al. 2023,"To deliver education during school closures, the authors implemented large‑scale randomised trials in India, Kenya, Nepal, the Philippines and Uganda.  Phone call tutoring and SMS interventions were tested.  Phone calls consistently improved learning by 0.30–0.35 standard deviations and were cost‑effective, delivering multiple years of high‑quality instruction per $100.  Effects were robust across contexts and sustained after scaling up."
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Ania Jaroszewicz; Jacklyn Anderson; Nithya Kanuri; Johannes Haushofer; Robert M. Kearns; Michael Walker and co‑authors,2024,Jaroszewicz et al. 2024,"In a randomised experiment, 5,243 low‑income U.S. individuals were offered either a $2,000 unconditional cash transfer, a $500 transfer or no transfer.  Bank account data show that both transfers increased spending, but there was no evidence that they improved psychological, cognitive, health or self‑reported financial outcomes.  Receiving too little money may increase distress by highlighting unmet needs."
Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,Michael W. Walker; Joan Hamory Hicks; Ted Miguel; Michael Kremer; Edward Miguel and co‑authors,2023,Walker et al. 2023,"Following a Kenyan deworming program over 23 years, the authors track the children of participants.  Under‑five mortality among children born to deworming recipients fell by 22% compared to children of control group peers.  The benefits appear to arise from improved childhood health, higher educational attainment, delayed fertility, urban migration and greater healthcare utilisation, highlighting the intergenerational returns to child health investments."
"Zero‑Sum Environments, the Evolution of Effort‑Suppressing Beliefs, and Economic Development",Augustin Bergeron; Arun Agrawal; Kyle Emerick; Jonathan de Quidt; Tavneet Suri,2023,Bergeron et al. 2023,"The authors model how belief systems that discourage effort — such as envy, luck and witchcraft — evolve in societies where interactions are zero‑sum.  Demotivating beliefs improve short‑run welfare by reducing wasteful competition but reduce long‑run growth and create a wedge between perceived and actual well‑being.  Evidence from economic games in Congo and data from the World Values Survey supports the model’s predictions."
Water Treatment and Child Mortality: A Meta‑analysis and Cost‑effectiveness Analysis,Michael Kremer; Rachel Glennerster; Nikolaj Malchow‑Møller; Molly Lipscomb; John Sandefur and co‑authors,2023,Kremer et al. 2023,A meta‑analysis of 18 randomised trials on household water treatment interventions finds that chlorination and filtration reduce the odds of under‑five mortality by 25–28%.  Cost‑effectiveness calculations suggest that different chlorine-based approaches avert a disability-adjusted life-year (DALY) at a cost of US$27–66.  These results indicate that household water treatment is a highly cost‑effective public health measure.
Biodiversity Risk,Stefano Giglio; Matteo Maggiori; Johannes Stroebel; Andreas Weber; Dario Cziraki and co‑authors,2023,Giglio et al. 2023,"The paper constructs news‑based and firm‑level measures of biodiversity risk and shows that exposures vary substantially across industries.  Both aggregate and idiosyncratic biodiversity risks are already priced into stock returns, implying compensation for investors bearing these risks.  Survey evidence suggests that market participants believe current pricing does not fully reflect the long‑run threats posed by biodiversity loss."
Forecasting Existential Risks: Evidence from a Long‑Run Forecasting Tournament,Ezra Karger; Nicholas Epley; Todor I. Madzharov; Raphael A. Winn and co‑authors,2023,Karger et al. 2023,"The existential risk forecasting tournament (XPT) asked superforecasters and domain experts to estimate long‑run risks from advanced AI, nuclear war, engineered pandemics and other threats.  The study finds persistent disagreements between superforecasters and experts, especially regarding the probability of AI‑driven extinction.  Even after extensive interactions, forecasts converge little, indicating deep uncertainty about existential risks."
