paper,metric,metric_type,value,lo,hi,rationale,scale_min,scale_max
Acemoglu et al. 2024,overall,percentile,92.0,85.0,96.0,"Ambitious dual RCTs (online and large-scale field), clear identification, strong first stages, administrative outcomes, thorough robustness, and coherent mechanisms. Limits: single-country/time context, bundled field treatments/no field placebo, ballot-box aggregation, possible spillovers. Effects modest but policy-relevant.",0,100
Acemoglu et al. 2024,claims_evidence,percentile,91.0,85.0,96.0,"Core claims are specific and matched to evidence: misperceptions exist and factual info shifts beliefs and voting. Placebo controls online, heterogeneity aligned with priors, admin vote outcomes. Caveats: V-DEM treated as ground truth; belief indices have measurement error; generalization stated cautiously.",0,100
Acemoglu et al. 2024,methods,percentile,90.0,84.0,95.0,"Neighborhood randomization with 2SLS on completed conversations, strong first stages, clustered SEs, pre-analysis, many robustness checks. Online RCT with placebo addresses demand. Remaining issues: ballot-box aggregation, potential spillovers/contamination, messenger heterogeneity, no individual linkage, one-city field site.",0,100
Acemoglu et al. 2024,advancing_knowledge,percentile,88.0,80.0,94.0,"Provides rare causal, large-scale evidence that accurate, credible information can reduce authoritarian support via belief correction; shows messenger credibility matters. Integrates online and field results. Advances political economy of persuasion under authoritarianism. External validity constrained to context.",0,100
Acemoglu et al. 2024,logic_communication,percentile,93.0,88.0,97.0,"Questions, treatments, and outcomes are clearly defined; reasoning transparent; figures/tables consistent; robustness and heterogeneity well organized; mechanisms carefully argued. Minor concern: reliance on V-DEM as benchmark may be debated, but this is stated and triangulated.",0,100
Acemoglu et al. 2024,open_science,percentile,72.0,60.0,85.0,"Pre-registered (AEA RCT), IRB approvals, detailed appendices and supplementary materials; uses public administrative data. Code/data availability not fully clear; individual microdata likely restricted; replication package not explicitly provided. Overall reasonably replicable given detail.",0,100
Acemoglu et al. 2024,global_relevance,percentile,95.0,90.0,99.0,"Highly relevant to democratic resilience, misinformation, and election integrity. Delivers actionable insights (credible, factual messaging; non-affiliated messengers) with quantified effects. Policy implications for civic orgs and donors. External validity caveats acknowledged.",0,100
Acemoglu et al. 2024,tier_should,tier,4.4,3.8,4.9,"Methodologically strong, policy-relevant, and well-argued with large-scale field evidence. Fits top field or marginal A-journal standards in political economy/development/political science. Limits on generalizability and some design constraints keep it just shy of top general journals.",0,5
Acemoglu et al. 2024,tier_will,tier,4.3,3.6,4.8,"Given design quality, scale, and clear results, likely to land in a top field or marginal A journal. Publication path may hinge on perceived external validity and debates over mechanisms/benchmarks; nonetheless strong prospects.",0,5
Adena and Hager 2024,overall,percentile,86.0,78.0,91.0,"Large, well-powered geo-randomized field experiment with strong external validity. Clear causal effects on donations, profitability, and crowd-out; extensive robustness (DiD, RI, spillovers, heterogeneity). Some uncertainty from aggregate PLZ data, partial competitor coverage, and prereg changes. Highly useful to practice and scholarship.",0,100
Adena and Hager 2024,claims_evidence,percentile,88.0,80.0,93.0,"Main claims are specific and tested with randomized assignment, full-universe donation outcomes, and multiple windows. Strong frequency effects; revenue effects positive but less precise. Substitution evidenced via two datasets. Limitations (overlap, measurement, precision) acknowledged; characterization of evidence is careful.",0,100
