label_paper_title,authors,doi,dup_pubpub_final_links,author_response,Adjusted_paper?,Author's public statement about evaluation/UJ,publication_status,Updated since UJ report -- manual confirmation,deposit date > unjournal pub date,main_cause_cat_abbrev,notebookLM_link,working_paper_release_date,publication_date_unjournal
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,"Adena, Maja,Hager, Anselm",https://doi.org/10.1287/mnsc.2020.00596,https://unjournal.pubpub.org/pub/evalsumfundraisingcharitablegiving/,Informal,Unlikely to update,"The length and thoroughness of their evaluations clearly demonstrate the significant time and intellectual effort they invested in engaging deeply with our research. We are truly grateful for their insightful and constructive comments, which reflect a genuine commitment to advancing the quality and impact of research in this important field.

We also express our sincere appreciation to the editors of The Unjournal… Their support made this valuable dialogue possible and highlighted new perspectives on our work.

Since our paper has already been published in Management Science, we do not intend to provide a detailed point-by-point response at this stage. Nevertheless, we find the evaluators’ suggestions and reflections very valuable and will carefully consider them as we continue our research agenda and develop future projects. We welcome this opportunity for public scientific discourse and hope that these evaluations encourage further inquiry and application in the realm of online charitable fundraising.","published, decent journal ",false,false,"Attitudes, behaviors, psych, misinfo.",,,10/10/2025
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,"Ariel Benyishay,Rachel Sayers,Kunwar K. Singh,Seth Goodman,Madeleine Walker,Souleymane S. Traore,Mascha Rauschenbach,Martin Noltze",,https://unjournal.pubpub.org/pub/evalsumirrigationresilience/,Informal,Unlikely to update,"[Positive, shows they read it, but fairly generic] We appreciate the reviewers and evaluation managers' comments. While we strove to sufficiently isolate the plausibly exogenous spatiotemporal variation in the irrigation intervention to allow for reliable causal identification, we understand that some readers may still have concerns. We agree with the evaluation managers' suggestion that future work could gather more details on the precise process of treatment assignment (recognizing that we did spend considerable effort toward this already). We also concur with the reviewers comments that further exploring all of the mechanisms behind our diverse results could also help readers in generalizing findings to other contexts.",Published in a journal (unsure about the journal positioning) ,false,false,Global health (LMICs),,,10/9/2025
"Social Safety Nets, Women’s Economic
Achievements and Agency","Amber Peterman,Jingying Wang,Kevin Kamto Sonke,Janina Steinert",,https://unjournal.pubpub.org/pub/evalsumsafetynets/draft?access=f88pmj31,Formal response,mixed evidence/minor updating,"[See their ‘authors response’, with feedback on The Unjournal’s approaches] We thank the Unjournal for identifying our paper as highly relevant to inform global priorities, and for Eduardo Masset and Rachel Sabates-Wheeler for taking the time to read and provide comments as part of the review process. ",R&R at ~top/decent journal,false,false,Dev. econ/gov. (LMICs),https://notebooklm.google.com/notebook/9313a435-b498-4fe1-b4d1-78a0b3fcb69f,3/5/2024,9/19/2025
Cash Transfers for Child Development: Experimental Evidence from India,"Jeffrey Weaver,Sandip Sukhtankar,Paul Niehaus &Karthik Muralidharan ",https://doi.org/10.3386/w32093,https://unjournal.pubpub.org/pub/evalsummaternalcashtransfers/,None?,,,"Working paper/mimeo, not published",false,true,Global health (LMICs),https://notebooklm.google.com/notebook/87eb1375-ad2f-4e5c-8938-f1c4814d18ae,1/1/2024,9/16/2025
Forecasts estimate limited cultured meat production through 2050 (EA forum post),"Neil Dullaghan,Linchuan Zhang",,https://unjournal.pubpub.org/pub/evalsumlimitedmeadprod/release/1,Informal,Unlikely to update,,Web page/informal post,false,false,"Animal welfare, markets",https://notebooklm.google.com/notebook/d6b06744-86ac-4b0e-85c2-60b70edc5685,,9/9/2025
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions ","Roland Bénabou,Armin Falk,Luca Henkel",https://doi.org/10.3386/w32073,https://unjournal.pubpub.org/pub/evalsumpopintuitions/release/5,,Stated intention to update,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,"Other: Theory, etc. ",https://notebooklm.google.com/notebook/3e59b943-848e-4e25-83e1-3c1a8436c18d,1/29/2024,9/8/2025
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,"Moussa P. Blimpo,Paul Castañeda Dower",https://novafrica.org/wp-content/uploads/2021/11/2021.12.10_Moussa-Blimpo.pdf,https://unjournal.pubpub.org/pub/evalsumcivicasymmetry/draft?access=p76ghuo8,,,,Unpublished,false,false,Dev. econ/gov. (LMICs),https://notebooklm.google.com/notebook/47b2676b-e521-462c-80de-c33aec2a29d1,10/1/2021,8/11/2025
Misperceptions and Demand for Democracy under Authoritarianism,"Daron Acemoglu,Cevat Giray Aksoy,Ceren Baysan,Carlos Molina,Gamze Zeki",10.3386/w33018,,,,,"Working paper/mimeo, not published",false,false,"International coop/conflict, govt.",https://notebooklm.google.com/notebook/be5dff25-4c20-4be9-9791-db8b4965e1b4,10/1/2024,8/7/2025
Population ethical intuitions.,"Lucius Caviola,David Althaus,Andreas L. Mogensen,Geoffrey P. Goodwin",https://doi.org/10.1016/j.cognition.2021.104941,https://unjournal.pubpub.org/pub/evalsumpopintuitions/,,Unlikely to update,,Published: Psychology journal,false,true,"Attitudes, behaviors, psych, misinfo.",,,7/26/2025
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,"Seth Ariel Green,Austin Benny Smith,Maya Mathur",doi.org/10.31219/osf.io/q6xyr,https://unjournal.pubpub.org/pub/evalsumreducingconsumption/release/12,Formal response,Unlikely to update,,"Working paper/mimeo, not published",false,false,"Animal welfare, markets",https://notebooklm.google.com/notebook/6e8826a0-07b7-484f-aa8c-7cbdf52a0674,,7/24/2025
Pharmaceutical Pricing and R&D as a Global Public Good,"H. E. Frech,Mark V. Pauly,William S. Comanor ,Joseph R. Martinez",doi.org/10.3386/w31272,https://unjournal.pubpub.org/pub/evalsumpharmpricing/release/3,,Unlikely to update,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,"Econ., welfare, misc.",,,6/30/2025
