paper,model,prompt_version,should_score,should_ci_lower,should_ci_upper,should_rationale,will_score,will_ci_lower,will_ci_upper,will_rationale
Akram et al. 2017,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Strong saturation RCT on seasonal migration shows sizable GE labor-market effects; credible design, large sample, policy relevance. Contributions to development and labor fit top field journals; novelty moderate given prior migration-subsidy work.",4.0,3.5,4.5,"High-profile authors and NBER visibility increase placement odds. Policy-relevant Bangladesh evidence with clean GE estimates suits AEJ Applied, JPubE, JDE, or EJ; top-five possible but less likely."
Aghion et al. 2017,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,"Innovative, rigorous integration of AI into growth with task-based mechanics and elasticity insights; clarifies capital- vs labor-augmenting effects. Highly relevant and original, but minimal empirics likely preclude certain top-five general acceptance.",4.0,3.5,4.5,"Star authors and NBER platform raise visibility; theoretical, speculative emphasis and limited empirics point to top field or elite review venues (AEJ Macro, JEP, BPEA) rather than assured top-five general."
Acemoglu et al. 2024,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,Innovative online and field experiments in an authoritarian election context; credible design with ballot-level outcomes; clear contribution to political economy of misinformation. Modest effect sizes and external validity concerns slightly limit universal A-journal appeal.,4.5,4.0,5.0,"High-profile team, timely topic, and rigorous design make a top field or marginal A placement likely; top-five general is plausible but uncertain given external-validity limits and modest effect sizes."
Alatas et al. 2019,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Innovative nationwide Twitter RCT isolates celebrity endorsement from reach via retweet-chain design. Massive scale, strong internal validity, clear diffusion effects; belief changes modest. Substantive contribution to networks and development; ideal for top field.",4.5,4.0,5.0,"High-profile authors, NBER visibility, policy relevance, and unique data raise acceptance odds. Even with modest belief effects, diffusion findings are timely; realistic shot at A-journal, otherwise top field."
Angrist et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Large, harmonized multi-country RCTs on remote education in emergencies; credible design and scalable interventions; strong policy relevance. Some novelty reduced by parallel COVID tutoring literature. Fit is excellent for top field journals in development/education.",4.0,3.5,4.5,High-powered evidence with prominent authors and policy partners; clean trials across five countries. Competitive for AEJ Applied/JDE/JPubE; less likely for top-five given crowded COVID schooling literature and limited mechanism depth.
Alcott et al. 2024,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,"Strong theoretical sufficient-statistics framework integrating pass-through and heterogeneity; novel emphasis on distortion-variance; implemented with two RCTs. Credible design, clear welfare relevance, and portability across markets. Fits general-interest economics.",4.5,4.0,5.0,"High-profile authors, timely topic, rigorous theory plus experiments. Likely A-journal or top field placement. Potential concerns: external validity and measurement of heterogeneity and targeting. Still strong odds at top-five."
Arora et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Strong causal design exploiting political shocks to agency R&D; comprehensive firm-level outcomes; novel decomposition of knowledge, invention, and human capital. Policy-relevant, credible, and well-executed; excellent fit for top innovation/strategy field journals.",4.0,3.5,4.5,"Prominent authors and NBER visibility; clean identification and rich data; timely policy relevance. Slightly narrow for top-five generals, but highly competitive at Management Science/AEJ Applied/RAND/REStat."
Bahar et al. 2022,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Compelling administrative RD/IV on Colombia’s PEP shows sizable new firm creation and jobs, not mere formalization. Novel composite-threshold RD adds methodological value. Important contribution to immigration, institutions, and entrepreneurship; broad policy relevance and credible identification.",4.0,3.5,4.5,"High-quality NBER team, timely topic, strong data and design, and clear results. Fit for top field or marginal general-interest outlet (e.g., AEJ Applied, JPubE, JDE). Some scope limits may preclude top-five general."
Banerjee et al. 2022,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Introduces principled TVA for large factorial RCTs, with selection, pooling, and winner’s-curse adjustment; theory and simulations support credibility; strong application on immunization shows sizable, policy-relevant effects. Methodological novelty suits top field econometrics/applied venues.",4.5,4.0,5.0,"High-profile authorship, clear policy relevance, and robust empirical results make A-journal consideration plausible; if not, leading field journals in econometrics or development. Some inference caveats (conditional on selection) may deter the very top general outlets."
Barberio et al. 2022,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,Timely quantification of EID vaccine portfolio economics; credible calibration and sensitivity analysis. Contribution is policy-relevant but methodologically incremental and assumption-heavy. Strong fit for health economics/operations/health-policy outlets rather than general-interest A-journals.,3.5,3.0,4.0,"High-profile authorship and NBER visibility improve prospects. Cross-disciplinary scope fits Management Science, Vaccine, or Health Affairs. Assumption-heavy simulations limit A-journal appeal; likely placement in strong field journal."
Banerjee et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,"Unique long-term UBI RCT; compelling village-level GE effects and modality contrasts; credible design and measurement; mechanisms plausible. Limitations: early follow-up relative to 12-year promise, mixed human-capital effects, Kenya-specific context. High policy relevance and methodological rigor suit top general-interest outlets.",5.0,4.5,5.0,"Star authors and funders, hot UBI policy topic, unusually ambitious long-term RCT with GE estimates, and strong, policy-relevant results. Despite early horizon and external-validity limits, visibility and clarity make top-five placement highly likely."
Barker et al. 2021,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,"Large, well-executed RCT shows sizable health and economic gains from untargeted CBT. However, short 2–3 month horizon and heavy reliance on self-reports weaken generalizability and mechanism claims, tempering top-general appeal; strong fit for leading field journals.",4.0,3.5,4.5,"High-profile authors, clean design, policy relevance, and development-health crossover increase odds of top field outlet; absence of long-run outcomes and objective measures may limit top-five general placement."
Bergeron et al. 2024,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,"Integrates evolutionary theory with broad cross-country evidence to explain effort-suppressing beliefs; delivers falsifiable, distinctive predictions on welfare and growth. Ambitious scope and coherence impress. Remaining identification and measurement concerns modestly limit certainty, but quality merits top-field/general outlet.",4.5,4.0,5.0,"High-profile authors, timely topic, and clear results increase placement odds. If endogeneity worries persist, strong top-field likely; with persuasive robustness or instruments, viable for top-five general."
Bettle 2023,gpt-5,journal_tiers_v2_2025-09-14,3.0,2.0,4.0,"Clear, practical synthesis on Type M/S errors and external validity with guidance and example. Valuable for applied RCT communities, but novelty relative to established literature seems limited; impact depends on rigor, empirical illustration quality, and any methodological advances.",2.5,2.0,3.5,"Likely to place in solid field or methods-oriented applied journal; absent clear theoretical innovation or new data, top outlets unlikely. Acceptance hinges on execution quality and distinctiveness relative to existing tutorials."
Bhat et al. 2022,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Strong RCT follow-ups show durable mental-health gains and belief-updating mechanisms; credible design, cost-effectiveness, expert-elicitation contrast. Limited economic outcome effects constrain general-interest appeal but fit top field outlets well.",4.0,3.5,4.5,"Prominent authors, rigorous methods, policy relevance, and novel mechanisms make top-field publication likely; absence of economic gains may preclude top-five general, steering toward AEJ Applied/EJ/Restud-Field equivalents."
Bhattacharya and Packalen 2020,gpt-5,journal_tiers_v2_2025-09-14,3.0,2.5,3.5,"Clear, timely thesis on citation incentives and stagnation; integrates literature and proposes measurement. Limited novel theory/causal evidence; largely conceptual. Suitable for solid field outlets (e.g., science policy/econ of science), not top general.",3.5,3.0,4.0,"Authors’ reputations and NBER visibility increase chances at higher-tier field journal. If empirical measures of novelty are credible, fit is strong for Research Policy or JEP-style venues; still unlikely for top-five general."
Bilal and Kaenzig 2024,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,"Innovative global time-series approach links warming to large GDP losses via extreme events and ocean temperatures; careful comparisons to local-temperature panels. If robust, offers major shift in climate-macro damages with broad interest.",4.0,3.5,4.5,"Large estimates and identification strategy will be scrutinized; potential confounding and aggregation concerns. Likely to place in top field or high-impact climate journal, short of top-five general barring exceptional robustness and author prestige."
Blimpo and Castaneda-Dower 2025,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Novel RCT on informal-sector fiscal contract: training reduces participation yet raises verified revenue via sorting. Strong design (randomization, balance, IV), clear contribution. Limitations: single city, partial verification/missing outcomes, mechanism only suggestive. Fits top field journals in development/public finance.",3.5,3.0,4.0,"Policy-relevant, counterintuitive RCT with credible identification, but external validity, missing data on revenues, and incomplete mechanism reduce A-journal odds. Realistic placement: Journal of Development Economics, AEJ: Applied, or similar strong field outlets."
Bruers 2021,gpt-5,journal_tiers_v2_2025-09-14,2.5,2.0,3.0,"Novel quantification of animal-welfare externalities using contingent valuation. However, hypothetical bias, framing sensitivity, extreme skew, and limited generalizability undermine credibility. Strong policy claims exceed evidence. Likely fits specialized animal-welfare/food policy outlets rather than top economics journals.",2.0,1.5,2.5,"Provocative conclusions and nonstandard welfare framework face skepticism; reliance on Belgian hypothetical survey reduces acceptance. Without strong identification or validation, publication prospects are in niche journals (Ecological Economics, Animal Welfare, Food Policy), not top field."
Caviola et al. 2022,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Novel empirical tests of population-ethics intuitions; multi-study design, clear manipulations of happiness vs suffering intensities; robust attention checks. MTurk convenience sample and abstract units limit external validity, but contribution to moral psychology is strong; fit with top cognitive science journals.",4.0,3.5,4.5,Interdisciplinary topic with clear findings and strong execution suits top field outlets like Cognition. Authors’ profiles and multiple studies help. Nonrepresentative sampling and abstractness may deter general journals but should clear top field review.
Buntaine et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,"Large-scale, nationwide field experiment with strong causal identification; novel public-versus-private social media appeals; credible mechanism tests; policy-relevant environmental governance insights. Fits general-interest outlets; minimal threats to validity; addresses spillovers and manipulation concerns.",4.5,4.0,5.0,"High-profile team, clean design, strong results, and China policy salience make top-five plausible; if not, top field journal likely. Visibility via NBER and NGO partnership increases uptake prospects."
Carson et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,"Shows scientists value reviewer-score variance via a large DCE, challenging mean-only aggregation. Credible design but hypothetical choices, selection bias, and external validity concerns remain. Strong fit for innovation, science-policy, or management journals.",4.0,3.5,4.5,"Prominent authors and timely science-funding topic favor strong placement; likely top field outlet (e.g., Management Science or Research Policy). Method and external-validity limits make top-five general journals unlikely."
Chuard et al. 2022,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,"Novel synthesis of epidemiological dynamics with reduced-form economics; credible measles modeling; policy-relevant finding that severity, not infections, drives human capital impacts. Empirical leverage and writing clarity limit general-interest appeal, but strong fit for health economics/demography field journals.",3.0,2.5,3.5,"Solid, policy-relevant and methodologically credible, but identification is modest and exposition uneven; likely to place in reputable health economics or demography journals rather than top general-interest outlets."
Clancy 2024,gpt-5,journal_tiers_v2_2025-09-14,2.5,2.0,3.5,"Integrates welfare economics with biosecurity risk forecasts in a transparent quantitative model, clarifying policy trade-offs. Contribution is interesting but hinges on speculative parameters and limited empirical identification; likely below top-field methodological standards.",2.0,1.5,2.5,"Controversial assumptions and limited new data weaken credibility for top venues. Strong fit for risk/policy/benefit-cost journals; absent prominent authorship, likely lands in niche field outlet."
Crawfurd et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,"Important systematic review/meta-analysis on lead and learning in LMICs; adjusts for confounding and publication bias and triangulates with natural experiments. Strong policy relevance and synthesis quality, though causality limits remain. Suitable for top field journals in development/health.",3.0,2.5,3.5,"Meta-analyses face skepticism in top economics outlets; reliance on observational studies and the messy abstract reduce perceived credibility. More likely to land in strong field journals in development, education, or environmental health than A-journals."
Denkenberger et al. 2022,gpt-5,journal_tiers_v2_2025-09-14,2.5,2.0,3.0,"Addresses consequential risk; Monte Carlo cost-effectiveness for resilient foods is useful. But the manuscript is fragmented, citation support uneven, and methods under-specified/validated. Likely incremental relative to prior ALLFED analyses; best fit is niche risk/disaster journals.",2.0,1.5,2.5,"Given unclear methods, typos, truncation, and expansive claims (AGI and food), top journals are unlikely. With major revision, could reach niche sustainability/disaster outlets; otherwise remains preprint/working-paper despite potential networks."
Epperson and Gerster 2024,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,Combines lab and field to identify willful-ignorance effects using randomized VR information and pre-registration. Heterogeneity by WTP is novel and policy-relevant. Short-lived effects and student sample limit external validity. Suitable for strong field journals in behavioral/applied economics.,3.0,2.5,3.5,"Solid execution and timely topic, but modest novelty and transient effects reduce headline appeal. Likely fit for reputable field outlets (JEEM, JEBO, Experimental Economics) rather than A-journals."
Fangwa et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Compelling randomized governance intervention with audited feedback and incentives improves efficiency and neonatal outcomes; addresses prior PBF failures. Credible identification and verified data, though bundle masks component effects; qualitative mechanisms. Strong contribution at intersection of development, health, and governance.",4.0,3.5,4.5,"Recognized authors, NBER WP, salient to donors and journals in development, health, and management. Robust RCT results on hard outcomes, but bundled design and measurement concerns may limit A-general appeal. Likely to land in top field outlet."
Frech et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,3.0,2.5,3.5,"Develops Olson-Zeckhauser framework for pharma pricing; provides new evidence that GDP predicts above-proportional contributions, challenging full free-riding. Solid but limited identification and simple cross-country regressions constrain novelty. Strong fit for health economics field journals.",3.5,3.0,4.0,High-credibility authors and NBER visibility increase odds. Likely to place in strong health economics outlet; top-field possible but uncertain given modest empirical strategy and policy-essay flavor.
Green et al. 2025,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,"Comprehensive RCT meta-analysis on MAP reduction with rigorous bias sensitivity; important policy topic. Effects small yet informative; clear classification of interventions. Methods credible; fit for behavioral nutrition/public health journals, though limited novelty/mechanistic insight.",3.0,2.5,3.5,"Likely to place in solid field journal; heterogeneity and small effects reduce splash. Credible authorship helps, but limited novelty/mechanistic insight and mixed evidence constrain appeal to top general outlets."
Giglio et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Innovative, credible measures of biodiversity risk and firm exposures; clear validation via news, portfolios, and surveys; distinct from climate risk; public data release. Strong empirical contribution fits top finance journals; general-interest breadth moderate.",4.5,4.0,5.0,"Authored by leading researchers, timely topic, solid identification and multiple measures; clear asset-pricing tests and industry exposure patterns. Likely to land in JF/JFE/RFS; slim chance at top-five general."
Hahn et al. 2025,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Rigorous, policy-relevant synthesis applying MVPF to 96 climate interventions using causal evidence. Provides unified welfare metric, consistent externality valuation, and insightful heterogeneity/learning-by-doing. Strong credibility and clarity support top field placement; general-interest impact plausible but less certain.",4.5,4.0,5.0,"High-profile authors, timely climate-policy question, and clear results increase acceptance odds at top outlets. Synthesis advances applied public finance and environmental economics; likely top field or marginal general-interest publication."
