paper,metric,midpoint,lower_bound,upper_bound,model
Abbink_et_al._2025,overall,74,60,86,gpt-5-pro-2025-10-06
Abbink_et_al._2025,claims_evidence,73,60,85,gpt-5-pro-2025-10-06
Abbink_et_al._2025,methods,70,55,82,gpt-5-pro-2025-10-06
Abbink_et_al._2025,advancing_knowledge,78,65,88,gpt-5-pro-2025-10-06
Abbink_et_al._2025,logic_communication,82,72,90,gpt-5-pro-2025-10-06
Abbink_et_al._2025,open_science,35,20,55,gpt-5-pro-2025-10-06
Abbink_et_al._2025,global_relevance,85,75,92,gpt-5-pro-2025-10-06
Acemoglu_et_al._2024,overall,92,87,97,gpt-5-pro-2025-10-06
Acemoglu_et_al._2024,claims_evidence,90,84,95,gpt-5-pro-2025-10-06
Acemoglu_et_al._2024,methods,88,82,93,gpt-5-pro-2025-10-06
Acemoglu_et_al._2024,advancing_knowledge,92,86,96,gpt-5-pro-2025-10-06
Acemoglu_et_al._2024,logic_communication,92,87,96,gpt-5-pro-2025-10-06
Acemoglu_et_al._2024,open_science,68,55,78,gpt-5-pro-2025-10-06
Acemoglu_et_al._2024,global_relevance,95,90,99,gpt-5-pro-2025-10-06
Adena_and_Hager_2024,overall,85,77,92,gpt-5-pro-2025-10-06
Adena_and_Hager_2024,claims_evidence,82,72,90,gpt-5-pro-2025-10-06
Adena_and_Hager_2024,methods,86,78,92,gpt-5-pro-2025-10-06
Adena_and_Hager_2024,advancing_knowledge,84,72,91,gpt-5-pro-2025-10-06
Adena_and_Hager_2024,logic_communication,90,84,96,gpt-5-pro-2025-10-06
Adena_and_Hager_2024,open_science,54,40,68,gpt-5-pro-2025-10-06
Adena_and_Hager_2024,global_relevance,72,62,85,gpt-5-pro-2025-10-06
Aghion_et_al._2017,overall,83,75,90,gpt-5-pro-2025-10-06
Aghion_et_al._2017,claims_evidence,78,70,86,gpt-5-pro-2025-10-06
Aghion_et_al._2017,methods,75,65,84,gpt-5-pro-2025-10-06
Aghion_et_al._2017,advancing_knowledge,81,72,89,gpt-5-pro-2025-10-06
