doi,title,abstract,authors,author_affiliations,funding
10.3386/w32728,A Welfare Analysis of Policies Impacting Climate Change,,"Hahn, Robert | Hendren, Nathaniel | Metcalfe, Robert | Sprung-Keyser, Ben",|  |  |,
10.3386/w30126,Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,,"Barberio, Joseph | Becraft, Jacob | Chaouch, Zied Ben | Bertsimas, Dimitris | Kitada, Tasuku | Li, Michael Lingzhi | Lo, Andrew | Shi, Kevin | Xu, Qingyang",|  |  |  |  |  |  |  |,
10.48550/arXiv.2107.06476,,,,,
10.3386/w31728,Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,,"Benjamin, Daniel | Cooper, Kristen | Heffetz, Ori | Kimball, Miles | Zhou, Jiannan",|  |  |  |,
10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,"Ten years ago, donors committed $1.5 billion to a pilot Advance Market Commitment (AMC) to help purchase pneumococcal vaccine for low-income countries. The AMC aimed to encourage the development of such vaccines, ensure distribution to children in low-income countries, and pilot the AMC mechanism for possible future use. Three vaccines have been developed and more than 150 million children immunized, saving an estimated 700,000 lives. This paper reviews the economic logic behind AMCs, the experience with the pilot, and key issues for future AMCs.","Kremer, Michael | Levin, Jonathan | Snyder, Christopher M.","Department of Economics, Harvard University, and NBER (email: ) | Graduate School of Business, Stanford University, and NBER (email: ) | Department of Economics, Dartmouth College, and NBER (email: )",
10.48550/arXiv.2402.07862,,,,,
10.31235/osf.io/rk4gd,All Crises are Unhappy in their Own Way: The role of societal instability in shaping the past,"Societal ‘crises’ are periods of turmoil and destabilization in socio-cultural, political, economic, and other systems, often accompanied by varying amounts of violence and sometimes significant changes in social structure. The extensive literature analyzing societal crises has concentrated on relatively few historical examples (large-scale events such the fall of the Roman Empire or the French and Russian Revolutions) emphasizing different aspects of these events as potential causes or consistent effects. To investigate crises and prior approaches to explaining them, and to avoid a potential small-sample size bias present in several previous studies, we sought to uniformly characterize a substantial collection of historical crises, spanning millennia, from the prehistoric to post-industrial, and afflicting a wide range of polities in diverse global regions; the Crisis Database (CrisisDB). Here, we describe this dataset which comprises 168 crises suggested by historians and characterized by a number of significant 'consequences' (such as civil war, epidemics, or loss of population) including also institutional and cultural reforms (for example improved sufferance or constitutional changes) that might occur during and immediately following the crisis period. Our analyses show that the consequences experienced by each crisis is highly variable. The outcomes themselves are uncorrelated with one another and, overall, the set of consequences is largely unpredictable when compared to other large-scale properties of society suggested by previous scholars such as its territorial size, religion, administrative size, or historical recency. We conclude that there is no ‘typical’ societal crisis of the past, but crisis situations can take a variety of different directions. We offer some suggestions on the forces that might drive these varying consequences for exploration in future work.","Hoyer, Daniel | Holder, Samantha Louise | Bennett, James S | François, Pieter | Whitehouse, Harvey | Covey, Alan | Feinman, Gary | Korotayev, Andrey | Vustiuzhanin, Vadim | Preiser-Kapeller, Johannes | Bard, Kathryn | Levine, Jill | Reddish, Jenny | Orlandi, Georg | Ainsworth, Rachel | Turchin, Peter",|  |  |  |  |  |  |  |  |  |  |  |  |  |  |,
10.3386/w23928,Artificial Intelligence and Economic Growth,,"Aghion, Philippe | Jones, Benjamin | Jones, Charles",|  |,
10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,"ABSTRACT Banning wildlife trade is an immediate measure to protect species from overexploitation. Yet, regulations on the harvest and use of natural resources might have unintended side effects beyond the policy goals. Few causal inference studies have investigated the consequences of wildlife trade bans. We use the synthetic difference‐in‐differences causal inference approach based on an 11‐year online trade dataset to explore whether trade bans on three threatened species in Japan—giant water bugs ( Kirkaldyia deyrolli ), Tokyo salamanders ( Hynobius tokyoensis ), and golden venus chub ( Hemigrammocypris neglectus )—have spillover effects on trades of substitutable nonbanned species. We found spillover effects of wildlife trade bans, leading to an increase in sales of nonbanned species in each taxon. This effect lasted over a year only for water bugs. Our results raise concerns about the unintended consequences of trade bans and underscore the importance of additional efforts concerning consumer research, monitoring and enforcement beyond the policy‐targeted species.","Kubo, Takahiro | Mieno, Taro | Uryu, Shinya | Terada, Saeko | Veríssimo, Diogo",Biodiversity Division National Institute for Environmental Studies Tsukuba Japan; Department of Biology University of Oxford Oxford UK | Department of Agricultural Economics University of Nebraska‐Lincoln Lincoln Nebraska USA | Center for Design‐Oriented AI Education and Research Tokushima University Tokushima Japan | Institute of Agriculture Osaka Metropolitan University Osaka Japan | Department of Biology University of Oxford Oxford UK,
10.3386/w31137,Biodiversity Risk,,"Giglio, Stefano | Kuchler, Theresa | Stroebel, Johannes | Zeng, Xuran",|  |  |,
