paper,metric,n_raters,midpoint_human,human_lo_union,human_hi_union,midpoint_llm,lower_llm,upper_llm,diff,human_mid_in_llm_CI,llm_mid_in_human_union,both_cover
Aghion et al. 2017,advancing_knowledge,2,86.0,65.0,100.0,78,68,86,-8.0,True,True,True
Akram et al. 2017,advancing_knowledge,1,70.0,50.0,90.0,75,68,82,5.0,True,True,True
Alatas et al. 2019,advancing_knowledge,2,72.5,55.0,90.0,85,75,92,12.5,False,True,False
Alcott et al. 2024,advancing_knowledge,2,32.5,10.0,55.0,90,83,96,57.5,False,False,False
Bahar et al. 2022,advancing_knowledge,2,78.0,50.0,100.0,84,76,90,6.0,True,True,True
Banerjee et al. 2023,advancing_knowledge,2,89.0,65.0,100.0,93,88,98,4.0,True,True,True
Barberio et al. 2022,advancing_knowledge,2,47.5,10.0,70.0,65,52,77,17.5,False,True,False
Barker et al. 2021,advancing_knowledge,2,62.5,55.0,65.0,80,70,90,17.5,False,False,False
Bettle 2023,advancing_knowledge,2,40.0,20.0,80.0,65,50,80,25.0,False,True,False
Bruers 2021,advancing_knowledge,1,90.0,85.0,95.0,55,45,65,-35.0,False,False,False
Buntaine et al. 2023,advancing_knowledge,2,83.0,68.0,95.0,90,82,95,7.0,True,True,True
Carson et al. 2023,advancing_knowledge,2,76.0,66.0,90.0,72,60,82,-4.0,True,True,True
Chuard et al. 2022,advancing_knowledge,1,76.0,64.0,85.0,74,63,83,-2.0,True,True,True
Clancy 2024,advancing_knowledge,3,73.67,30.0,100.0,82,70,92,8.33,True,True,True
Crawfurd et al. 2023,advancing_knowledge,2,75.0,65.0,85.0,83,74,91,8.0,True,True,True
Epperson and Gerster 2024,advancing_knowledge,2,80.0,33.0,92.0,77,65,85,-3.0,True,True,True
Fangwa et al. 2023,advancing_knowledge,1,70.0,55.0,75.0,80,70,88,10.0,True,False,False
Haushofer et al. 2020,advancing_knowledge,2,80.0,60.0,90.0,87,80,93,7.0,True,True,True
Hill et al. 2024,advancing_knowledge,1,85.0,78.0,92.0,88,80,95,3.0,True,True,True
