research,criteria,publication_status,main_cause_cat,evaluator,anonymous,middle_rating,lower_ci,upper_ci,confidence_level,checked_against_source,notes_on_check_against_source,evaluator_comment,eval_weight_not_used_yet,cause_areas,journal_publication_title,publication_date_unjournal,row_created_date,.rowid,doi_key,arxiv_key,title_key,first_author,year_key,uj_map_key
A Welfare Analysis of Policies Impacting Climate Change,overall,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Johannes Emmerling,false,91,78,94,NA,false,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:44:23 PM",1,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,claims,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Johannes Emmerling,false,96,93,100,NA,false,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:44:23 PM",2,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Johannes Emmerling,false,93,90,95,NA,false,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:44:23 PM",3,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,methods,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Johannes Emmerling,false,89,79,95,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:44:23 PMA Welfare Analysis of Policies Impacting Climate Change,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health, biodiversity, risks and climate change,Johannes Emmerling,false,80,74,86,,,,,,,WP,2025-05-23,6/5/2025 12:44:23 PM",4,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Johannes Emmerling,false,65,60,70,NA,NA,NA,My rating here is based on the data and its use,not the study’s experimental design in the field,which (like many experiments) likely has many nuances in implementation.,",,WP,2025-05-23,6/5/2025 12:44:23 PM",5,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,real_world,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Johannes Emmerling,false,93,90,96,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:44:23 PM",6,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Johannes Emmerling,false,93,90,96,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:44:23 PM",7,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Johannes Emmerling,false,4,3.9,4.3,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:44:23 PM",8,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Johannes Emmerling,false,4,3.9,4.1,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:44:23 PM",9,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,overall,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Frank Venmans ,false,90,85,94,NA,false,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:52:29 PM",10,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,claims,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Frank Venmans ,false,85,80,90,NA,false,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:52:29 PM",11,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Frank Venmans ,false,86,80,90,NA,false,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:52:29 PM",12,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,methods,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Frank Venmans ,false,85,75,95,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:52:29 PM",13,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Frank Venmans ,false,90,80,95,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:52:29 PM",14,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Frank Venmans ,false,80,75,90,NA,NA,NA,My rating here is based on the data and its use,not the study’s experimental design in the field,which (like many experiments) likely has many nuances in implementation.,",,WP,2025-05-23,6/5/2025 12:52:29 PM",15,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,real_world,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Frank Venmans ,false,90,85,96,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:52:29 PM",16,NA,NA,NA,NA,NA,NA
