match_id,confidence,after_title,after_authors,after_file,before_file,before_path,score,confirmed
1,MEDIUM,Cash Transfers for Child Development: Experimental Evidence from India,"Jeffrey Weaver,Sandip Sukhtankar,Paul Niehaus &Karthik Muralidharan ",Jeffrey WeaverSandip SukhtankarPaul Niehaus Karthik Muralidharan_Cash Transfers for Child Development- Experimental Evidence from India.pdf,Weaver et al. 2025.pdf,more papers/Weaver et al. 2025.pdf,0.6162790697674418,YES
2,MEDIUM,Artificial Intelligence and Economic Growth,"Philippe Aghion, Benjamin F. Jones,Charles I. Jones",Philippe Aghion Benjamin F JonesCharles I Jones_Artificial Intelligence and Economic Growth.pdf,Aghion et al. 2017.pdf,more papers/Aghion et al. 2017.pdf,0.5833333333333334,YES
3,MEDIUM,Advance Market Commitments: Insights from Theory and Experience,"Michael Kremer,Jonathan D. Levin,Christopher M. Snyder",Michael KremerJonathan D LevinChristopher M Snyder_Advance Market Commitments- Insights from Theory and Experience.pdf,Kremer et al. 2020.pdf,more papers/Kremer et al. 2020.pdf,0.5759493670886076,YES
4,MEDIUM,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,"Johannes Haushofer,Robert Mudida,Jeremy P. Shapiro",Johannes HaushoferRobert MudidaJeremy P Shapiro_The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic W.pdf,Haushofer et al. 2020.pdf,more papers/Haushofer et al. 2020.pdf,0.59375,YES
5,MEDIUM,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,"David Denkenberger,Anders Sandberg,Ross John Tieman,Joshua M. Pearce",David DenkenbergerAnders SandbergRoss John TiemanJoshua M Pearce_Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial gener.pdf,Denkenberger et al. 2022.pdf,more papers/Denkenberger et al. 2022.pdf,0.5694444444444444,YES
6,MEDIUM,Banning wildlife trade can boost demand for unregulated threatened species,"Takahiro Kubo,Taro Mieno,Shinya Uryu,Saeko Terada,Diogo Veríssimo",Takahiro KuboTaro MienoShinya UryuSaeko TeradaDiogo Veríssimo_Banning wildlife trade can boost demand for unregulated threatened species.pdf,Kubo et al. 2023.pdf,more papers/Kubo et al. 2023.pdf,0.5674157303370786,YES
7,MEDIUM,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,"Anicet Fangwa,Caroline Flammer,Marieke Huysentruyt,Bertrand Quelin",Anicet FangwaCaroline FlammerMarieke HuysentruytBertrand Quelin_The Governance Of Non-Profits And Their Social Impact- Evidence From A Randomized Program In Healthc.pdf,Fangwa et al. 2023.pdf,more papers/Fangwa et al. 2023.pdf,0.556,YES
8,MEDIUM,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,"Mark Buntaine,Michael Greenstone,Guojun He,Mengdi Liu,Shaoda Wang,Bing Zhang",Mark BuntaineMichael GreenstoneGuojun HeMengdi LiuShaoda WangBing Zhang_Does the Squeaky Wheel Get More Grease The Direct and Indirect Effects of Citizen Participation on E.pdf,Buntaine et al. 2023.pdf,more papers/Buntaine et al. 2023.pdf,0.5596026490066225,YES
9,MEDIUM,When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,"Vivi Alatas,Arun G. Chandrasekhar,Markus Mobius,Benjamin A. Olken,Cindy Paladines",Vivi AlatasArun G ChandrasekharMarkus MobiusBenjamin A OlkenCindy Paladines_When Celebrities Speak- A Nationwide Twitter Experiment Promoting Vaccination In Indonesia.pdf,Alatas et al. 2019.pdf,more papers/Alatas et al. 2019.pdf,0.5754716981132075,YES
10,MEDIUM,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,"B. Kelsey Jack,Seema Jayachandran,Namrata Kala,Rohini Pande",B Kelsey JackSeema JayachandranNamrata KalaRohini Pande_Money Not to Burn- Payments for Ecosystem Services to Reduce Crop Residue Burning.pdf,Jack et al. 2022.pdf,more papers/Jack et al. 2022.pdf,0.5421052631578948,YES
11,MEDIUM,The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,"Suresh Naidu,Yaw Nyarko,Shing-Yi Wang",Suresh NaiduYaw NyarkoShing-Yi Wang_The Benefits and Costs of Guest Worker Programs- Experimental Evidence From the India-UAE Migration .pdf,Naidu et al. 2023.pdf,more papers/Naidu et al. 2023.pdf,0.5491803278688525,YES
12,MEDIUM,Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,"Abhijit Banerjee,Michael Faye,Alan Krueger,Paul Niehaus,Tavneet Suri",Abhijit BanerjeeMichael FayeAlan KruegerPaul NiehausTavneet Suri_Universal Basic Income- Short-Term Results from a Long-Term Experiment in Kenya.pdf,Banerjee et al. 2022.pdf,more papers/Banerjee et al. 2022.pdf,0.5631578947368421,YES
13,MEDIUM,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","Bhargav Bhat,Jonathan de Quidt,Johannes Haushofer,Vikram Patel,Gautam Rao, Frank Schilbach,Pierre-Luc Vautrey",Bhargav BhatJonathan de QuidtJohannes HaushoferVikram PatelGautam Rao Frank SchilbachPierre-Luc Vaut_The Long-Run Effects of Psychotherapy on Depression Beliefs and Economic Outcomes.pdf,Bhat et al. 2022.pdf,more papers/Bhat et al. 2022.pdf,0.65,YES
