seed_doi,openalex_id,title,cited_by_count,status
10.1016/j.cognition.2021.104941,https://openalex.org/W3163703093,Population ethical intuitions,10,ok
10.1016/j.ijdrr.2022.102798,https://openalex.org/W4226321958,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,12,ok
10.1080/21606544.2022.2138980,https://openalex.org/W4307715571,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,5,ok
10.1093/ej/uead102,https://openalex.org/W4389260077,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,11,ok
10.1093/wbro/lkae010,https://openalex.org/W4401672272,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,4,ok
10.1111/conl.13077,https://openalex.org/W4406669080,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,7,ok
10.1257/aer.20221215,https://openalex.org/W4392295937,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,99,ok
10.1257/aeri.20210612,https://openalex.org/W4310399232,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,24,ok
10.1257/aeri.20230431,https://openalex.org/W4408019360,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,5,ok
10.1257/pandp.20201017,https://openalex.org/W3008112882,Advance Market Commitments: Insights from Theory and Experience,62,ok
10.1287/mnsc.2020.00596,https://openalex.org/W4400689821,Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,1,ok
10.1287/mnsc.2023.4846,https://openalex.org/W4384300458,The Governance of Nonprofits and Their Social Impact: Evidence from a Randomized Program in Healthcare in the Democratic Republic of Congo,3,ok
10.21203/rs.3.rs-3235955/v1,https://openalex.org/W4385719149,The global potential for natural regeneration in deforested tropical regions,5,ok
10.2139/ssrn.3938994,https://openalex.org/W4247267912,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,16,ok
10.2139/ssrn.4154000,https://openalex.org/W4285819722,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,64,ok
10.21428/d28e8e57.0168f4c0,https://openalex.org/W4399509620,"Evaluation Summary and Metrics: ""Legalizing Entrepreneurship""",0,ok
10.21428/d28e8e57.03af1a64,https://openalex.org/W4402531092,"Evaluation Summary and Metrics: ""Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development""",0,ok
10.21428/d28e8e57.072621d7,https://openalex.org/W4411792478,Evaluation Summary and Metrics: “Pharmaceutical Pricing and R&amp;D as a Global Public Good”,0,ok
10.21428/d28e8e57.168646d1,https://openalex.org/W4410632337,"Evaluation Summary and Metrics: ""A Welfare Analysis of Policies Impacting Climate Change""",0,ok
10.21428/d28e8e57.33a621b6,https://openalex.org/W4403222096,"Evaluation Summary and Metrics: ""Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey""",0,ok
10.21428/d28e8e57.36ba6211,https://openalex.org/W4409492693,"Evaluation Summary and Metrics: ""Stagnation and Scientific Incentives""",0,ok
10.21428/d28e8e57.480a4d04,https://openalex.org/W4396939264,"Evaluation Summary and Metrics: ""When do ""Nudges"" Increase Welfare?""",0,ok
10.21428/d28e8e57.50ee8ef7,https://openalex.org/W4411438811,"Evaluation Summary and Metrics: ""The Effect of Public Science on Corporate R&amp;D""",0,ok
10.21428/d28e8e57.5411b150,https://openalex.org/W4410980973,"Evaluation Summary and Metrics: ""Global potential for natural regeneration in deforested tropical regions""",0,ok
10.21428/d28e8e57.652a843a,https://openalex.org/W4327915632,"Evaluation Summary and Metrics: ""Advance Market Commitments: Insights from Theory and Experience""",0,ok
10.21428/d28e8e57.8a1cac7b,https://openalex.org/W4404519253,"Evaluation Summary and Metrics: ""How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US""",0,ok
10.21428/d28e8e57.9b2dc59c,https://openalex.org/W4404913323,"Evaluation Summary and Metrics: ""Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries""",0,ok
10.21428/d28e8e57.a3e2b6b7,https://openalex.org/W4384696610,Evaluation Summary and Metrics: “The Environmental Effects of Economic Production: Evidence from Ecological Observations”,0,ok
10.21428/d28e8e57.a8ca23ad,https://openalex.org/W4402227404,"Evaluation Summary and Metrics: ""Biodiversity Risk""",0,ok
10.21428/d28e8e57.ad95c497,https://openalex.org/W4387316389,Evaluation summary and metrics: “Banning wildlife trade can boost demand for unregulated threatened species”,0,ok
10.21428/d28e8e57.b9775e89,https://openalex.org/W4385689221,"Evaluation Summary and Metrics: ""Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China""",0,ok
10.21428/d28e8e57.ba2f2053,https://openalex.org/W4403083040,"Evaluation Summary and Metrics: ""Willful Ignorance and Moral Behavior""",0,ok
10.21428/d28e8e57.c4f3e6dd,https://openalex.org/W4402396869,"Evaluation Summary and Metrics: ""Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis""",0,ok
10.21428/d28e8e57.c873de57,https://openalex.org/W4414051844,"Evaluation Summary and Metrics: ""Ends versus Means: Kantians, Utilitarians, and Moral Decisions""",0,ok
10.21428/d28e8e57.d3d8000c,https://openalex.org/W4400037237,"Evaluation Summary and Metrics: ""Effects of Emigration on Rural Labor Markets""",0,ok
10.21428/d28e8e57.db6fdb17,https://openalex.org/W4396977467,Evaluation Summary and Metrics: 'The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor',0,ok
10.21428/d28e8e57.df86328a,https://openalex.org/W4410930281,"Evaluation Summary and Metrics: ""Choose Your Moments: NIH Peer Review and Scientific Risk Taking""",0,ok
10.21428/d28e8e57.e3542c83,https://openalex.org/W4366152395,Evaluation Summary and Metrics: “The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being”,0,ok
10.21428/d28e8e57.eda321d0,https://openalex.org/W4407223504,"Evaluation Summary and Metrics: ""The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers""",0,ok
10.21428/d28e8e57.ef6f66cd,https://openalex.org/W4413032530,"Evaluation Summary and Metrics: ""Misperceptions and Demand for Democracy under Authoritarianism""",0,ok
10.21428/d28e8e57.f5b7e124,https://openalex.org/W4386160682,"Evaluation Summary and Metrics: ""Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia""",0,ok
10.21428/d28e8e57.ff4daa51,https://openalex.org/W4414243522,"Evaluation Summary and Metrics: ""Maternal cash transfers for gender equity and child development: Experimental evidence from India""",0,ok
10.31219/osf.io/q6xyr,https://openalex.org/W4389542128,What works to reduce consumption of meat and animal products?,0,ok
10.31219/osf.io/vrmpf,https://openalex.org/W4205291368,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,1,ok
10.3386/w23928,https://openalex.org/W2765257612,Artificial Intelligence and Economic Growth,282,ok
10.3386/w23929,https://openalex.org/W2766577831,Effects of Emigration on Rural Labor Markets,45,ok
10.3386/w26752,https://openalex.org/W3006456429,Stagnation and Scientific Incentives,53,ok
10.3386/w26775,https://openalex.org/W3165470930,Advance Market Commitments: Insights from Theory and Experience,15,ok
10.3386/w28106,https://openalex.org/W3107344624,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,55,ok
10.3386/w28726,https://openalex.org/W3152795935,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,75,ok
10.3386/w29357,https://openalex.org/W3207783245,The Environmental Effects of Economic Production: Evidence from Ecological Observations,2,ok
10.3386/w30011,https://openalex.org/W4229451780,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",33,ok
10.3386/w30126,https://openalex.org/W4282840093,Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,0,ok
10.3386/w30202,https://openalex.org/W4283818157,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,1,ok
10.3386/w30624,https://openalex.org/W4308381327,Legalizing Entrepreneurship,2,ok
10.3386/w30740,https://openalex.org/W4311207658,"When do ""Nudges"" Increase Welfare?",14,ok
10.3386/w30835,https://openalex.org/W4319997202,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,8,ok
10.3386/w31137,https://openalex.org/W4366138928,Biodiversity Risk,67,ok
10.3386/w31162,https://openalex.org/W4366816398,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,4,ok
10.3386/w31208,https://openalex.org/W4375851829,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,16,ok
10.3386/w31272,https://openalex.org/W4378675810,Pharmaceutical Pricing and R&amp;D as a Global Public Good,2,ok
10.3386/w31354,https://openalex.org/W4381194886,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,3,ok
10.3386/w31409,https://openalex.org/W4382935587,Choose Your Moments: Peer Review and Scientific Risk Taking,6,ok
10.3386/w31554,https://openalex.org/W4385799650,Urban Forests: Environmental Health Values and Risks,5,ok
10.3386/w31663,https://openalex.org/W4386616577,"Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic Development",3,ok
10.3386/w31899,https://openalex.org/W4389069690,The Effect of Public Science on Corporate R&amp;D,16,ok
10.3386/w32073,https://openalex.org/W4391116943,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",4,ok
10.3386/w32093,https://openalex.org/W4391328852,Cash Transfers for Child Development: Experimental Evidence from India,2,ok
10.3386/w32450,https://openalex.org/W4396849306,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,34,ok
10.3386/w32728,https://openalex.org/W4401066709,A Welfare Analysis of Policies Impacting Climate Change,9,ok
10.3386/w33018,https://openalex.org/W4403173911,Misperceptions and Demand for Democracy under Authoritarianism,3,ok
10.48550/arxiv.2107.06476,https://openalex.org/W4287078088,Adaptability and the Pivot Penalty in Science,1,ok
10.48550/arxiv.2305.07153,https://openalex.org/W4376632525,Towards best practices in AGI safety and governance: A survey of expert opinion,15,ok
10.48550/arxiv.2312.14289,https://openalex.org/W4390214825,The Returns to Science in the Presence of Technological Risk,0,ok
