provider,paper,model,status,error
anthropic,Acemoglu_et_al._2024,claude-opus-4-6,completed,
anthropic,Adena_and_Hager_2024,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9frAEHJ9Dp5fcYbtDpw'}"
anthropic,Akram_et_al._2017,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9fuWRoC3Vr8kA7BrPKo'}"
anthropic,Alatas_et_al._2019,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9fxbA957ZqCp2ZSsayt'}"
anthropic,Alcott_et_al._2024,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9g1zG2mgHpgYjgwD5j3'}"
anthropic,Arora_et_al._2023,claude-opus-4-6,completed,
anthropic,Bahar_et_al._2022,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9gF8h9kSzWYB7YQMjb7'}"
anthropic,Banerjee_et_al._2022,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9gJQxXSzRJgEghMcQML'}"
anthropic,Barberio_et_al._2022,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9gMRFioY9r1YFhuHsry'}"
anthropic,Barker_et_al._2021,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9gQW8FPyiQzy49BquFe'}"
