seed_doi,citing_openalex_id,citing_doi,citing_title,citing_year,citing_authors
10.1016/j.cognition.2021.104941,https://openalex.org/W4408384112,https://doi.org/10.1111/papa.12283,The Freedom of Future People,2025,Andreas T. Schmidt
10.1016/j.cognition.2021.104941,https://openalex.org/W4389135121,https://doi.org/10.5465/amp.2022.0045,A Call to Maximize the Social Impact of Our Research: An Effective Altruism Approach,2023,Samantha Kassirer; Emma Levine; Maryam Kouchaki
10.1016/j.cognition.2021.104941,https://openalex.org/W4414367495,https://doi.org/10.1093/9780191979972.003.0019,How Much Should Governments Pay to Prevent Catastrophes?,2025,Carl Shulman; Elliott Thornley
10.1016/j.cognition.2021.104941,https://openalex.org/W4410496931,https://doi.org/10.1111/phpr.70015,"Axiological pessimism, procreation and collective responsibility",2025,Andrea Sauchelli
10.1016/j.cognition.2021.104941,https://openalex.org/W4402190162,https://doi.org/10.11647/obp.0360.02,2. Democratising Risk,2024,Zoe Cremer; Luke Kemp
10.1016/j.cognition.2021.104941,https://openalex.org/W4388461248,https://doi.org/10.31234/osf.io/nhvz9,The Prospects and Challenges of Measuring Morality,2023,Jessie Sun; Eric Schwitzgebel
10.1016/j.cognition.2021.104941,https://openalex.org/W4390730653,https://doi.org/10.14746/eip.2023.2.9,The Problem with Longtermism,2023,B.V.E. Hyde
10.1016/j.cognition.2021.104941,https://openalex.org/W4324360628,https://doi.org/10.1027/2698-1866/a000036,Introduction and Validation of the Short Antinatalism Scale (S-ANS),2023,Philipp Schoenegger; Maximilian Maier; Rafael Valdece Sousa Bastos
10.1016/j.cognition.2021.104941,https://openalex.org/W4384828075,https://doi.org/10.4324/9781003301424-1,The Experimental Turn in Moral and Political Philosophy,2023,Antonio Gaitán Torres; Fernando Aguiar; Hugo Viciana
10.1016/j.cognition.2021.104941,https://openalex.org/W4398247370,https://doi.org/10.1093/oso/9780197757376.003.0004,Distant Causes and Nearsighted Feelings,2024,Stefan Schubert; Lucius Caviola
10.1016/j.cognition.2021.104941,https://openalex.org/W4402956220,https://doi.org/10.1007/978-3-031-72806-8_3,Public Health,2024,Gabriel Andrade
10.1016/j.ijdrr.2022.102798,https://openalex.org/W4287146880,https://doi.org/10.3389/fbioe.2022.906704,Methane Single Cell Protein: Potential to Secure a Global Protein Supply Against Catastrophic Food Shocks,2022,Juan B. García Martínez; Joshua M. Pearce; James Throup; Jacob Cates; Maximilian Lackner; David Denkenberger
10.1016/j.ijdrr.2022.102798,https://openalex.org/W4407369335,https://doi.org/10.1080/10408398.2024.2431207,Resilient foods for preventing global famine: a review of food supply interventions for global catastrophic food shocks including nuclear winter and infrastructure collapse,2025,Juan B. García Martínez; Jeffray Behr; Joshua M. Pearce; David Denkenberger
