research,criteria,publication_status,main_cause_cat,evaluator,Anonymous,middle_rating,lower_CI,upper_CI,confidence_level,checked_against_source,notes on check against source,evaluator_comment,eval_weight (not used yet),cause areas,Journal publication title,publication_date_unjournal,row_created_date
"A Welfare Analysis of Policies
Impacting Climate Change",overall,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Johannes Emmerling,false,91,78,94,,false,,,,,WP,2025-05-23,6/5/2025 12:44:23 PM
"A Welfare Analysis of Policies
Impacting Climate Change",claims,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Johannes Emmerling,false,96,93,100,,false,,,,,WP,2025-05-23,6/5/2025 12:44:23 PM
"A Welfare Analysis of Policies
Impacting Climate Change",adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Johannes Emmerling,false,93,90,95,,false,,,,,WP,2025-05-23,6/5/2025 12:44:23 PM
"A Welfare Analysis of Policies
Impacting Climate Change",methods,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Johannes Emmerling,false,89,79,95,,,,,,,WP,2025-05-23,6/5/2025 12:44:23 PM
"A Welfare Analysis of Policies
Impacting Climate Change",logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Johannes Emmerling,false,80,74,86,,,,,,,WP,2025-05-23,6/5/2025 12:44:23 PM
"A Welfare Analysis of Policies
Impacting Climate Change",open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Johannes Emmerling,false,65,60,70,,,,"My rating here is based on the data and its use, not the study’s experimental design in the field, which (like many experiments) likely has many nuances in implementation.",,,WP,2025-05-23,6/5/2025 12:44:23 PM
"A Welfare Analysis of Policies
Impacting Climate Change",real_world,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Johannes Emmerling,false,93,90,96,,,,,,,WP,2025-05-23,6/5/2025 12:44:23 PM
"A Welfare Analysis of Policies
Impacting Climate Change",gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Johannes Emmerling,false,93,90,96,,,,,,,WP,2025-05-23,6/5/2025 12:44:23 PM
"A Welfare Analysis of Policies
Impacting Climate Change",merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Johannes Emmerling,false,4,3.9,4.3,,,,,,,WP,2025-05-23,6/5/2025 12:44:23 PM
"A Welfare Analysis of Policies
Impacting Climate Change",journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Johannes Emmerling,false,4,3.9,4.1,,,,,,,WP,2025-05-23,6/5/2025 12:44:23 PM
"A Welfare Analysis of Policies
Impacting Climate Change",overall,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Frank Venmans ,false,90,85,94,,false,,,,,WP,2025-05-23,6/5/2025 12:52:29 PM
"A Welfare Analysis of Policies
Impacting Climate Change",claims,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Frank Venmans ,false,85,80,90,,false,,,,,WP,2025-05-23,6/5/2025 12:52:29 PM
"A Welfare Analysis of Policies
Impacting Climate Change",adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Frank Venmans ,false,86,80,90,,false,,,,,WP,2025-05-23,6/5/2025 12:52:29 PM
"A Welfare Analysis of Policies
Impacting Climate Change",methods,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Frank Venmans ,false,85,75,95,,,,,,,WP,2025-05-23,6/5/2025 12:52:29 PM
"A Welfare Analysis of Policies
Impacting Climate Change",logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Frank Venmans ,false,90,80,95,,,,,,,WP,2025-05-23,6/5/2025 12:52:29 PM
"A Welfare Analysis of Policies
Impacting Climate Change",open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Frank Venmans ,false,80,75,90,,,,"My rating here is based on the data and its use, not the study’s experimental design in the field, which (like many experiments) likely has many nuances in implementation.",,,WP,2025-05-23,6/5/2025 12:52:29 PM
"A Welfare Analysis of Policies
Impacting Climate Change",real_world,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Frank Venmans ,false,90,85,96,,,,,,,WP,2025-05-23,6/5/2025 12:52:29 PM
"A Welfare Analysis of Policies
Impacting Climate Change",gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Frank Venmans ,false,90,85,96,,,,,,,WP,2025-05-23,6/5/2025 12:52:29 PM
"A Welfare Analysis of Policies
Impacting Climate Change",merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Frank Venmans ,false,4.9,4.7,5,,,,,,,WP,2025-05-23,6/5/2025 12:52:29 PM
"A Welfare Analysis of Policies
Impacting Climate Change",journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",Frank Venmans ,false,5,4.3,5,,,,,,,WP,2025-05-23,6/5/2025 12:52:29 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,overall,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Tim Colbourn,false,60,50,70,,false,,If all my comments were addressed and the paper completely redone then it would score a lot higher,,"Pandemic, disease, and bio-risks",,2024-04-05,6/7/2024 5:12:14 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,merits_journal,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Richard Bruns,false,2,1,3,,false,,,,"Pandemic, disease, and bio-risks",,2024-04-05,7/2/2024 12:06:30 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,overall,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Richard Bruns,false,40,20,60,,false,,,,"Pandemic, disease, and bio-risks",,2024-04-05,7/2/2024 12:07:14 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,adv_knowledge,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Richard Bruns,false,35,10,50,,,,,,"Pandemic, disease, and bio-risks",,2024-04-05,7/9/2024 10:46:48 AM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,adv_knowledge,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Tim Colbourn,false,60,50,70,,false,,,,"Pandemic, disease, and bio-risks",,2024-04-05,6/7/2024 5:12:14 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,methods,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Tim Colbourn,false,50,40,60,,false,,,,"Pandemic, disease, and bio-risks",,2024-04-05,6/7/2024 5:12:14 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,logic_comms,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Tim Colbourn,false,60,50,70,,false,,,,"Pandemic, disease, and bio-risks",,2024-04-05,6/7/2024 5:12:14 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,open_sci,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Tim Colbourn,false,60,50,70,,false,,,,"Pandemic, disease, and bio-risks",,2024-04-05,6/7/2024 5:12:14 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,real_world,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Tim Colbourn,false,60,50,70,,false,,,,"Pandemic, disease, and bio-risks",,2024-04-05,6/7/2024 5:12:14 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,gp_relevance,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Tim Colbourn,false,80,70,90,,false,,"The topic is highly relevant as pandemics and infectious diseases are a top global priority. The premise with the limited focus on private sector investment is somewhat flawed though as per comments 1-3 of my review, as is the assumption of no attempt to optimise of the portfolio of vaccines at the outset (e.g. in relation to expected benefits) as per comments 5-6 of my review.",,"Pandemic, disease, and bio-risks",,2024-04-05,6/7/2024 5:12:14 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,merits_journal,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Tim Colbourn,false,3,2.5,3.5,,false,,This is as it stands. Should be top tier 5.0 (50) if all of my comments are addressed and the paper is completely redone.,,"Pandemic, disease, and bio-risks",,2024-04-05,6/7/2024 5:12:14 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,journal_predict,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Tim Colbourn,false,3,2.5,3.5,,false,,,,"Pandemic, disease, and bio-risks",,2024-04-05,6/7/2024 5:12:14 PM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,methods,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Richard Bruns,false,50,30,60,,,,,,"Pandemic, disease, and bio-risks",,2024-04-05,7/9/2024 10:46:48 AM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,logic_comms,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Richard Bruns,false,30,10,50,,,,,,"Pandemic, disease, and bio-risks",,2024-04-05,7/9/2024 10:46:48 AM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,open_sci,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Richard Bruns,false,50,30,70,,,,,,"Pandemic, disease, and bio-risks",,2024-04-05,7/9/2024 10:46:48 AM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,real_world,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Richard Bruns,false,60,50,80,,,,,,"Pandemic, disease, and bio-risks",,2024-04-05,7/9/2024 10:46:48 AM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,gp_relevance,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Richard Bruns,false,60,50,80,,,,,,"Pandemic, disease, and bio-risks",,2024-04-05,7/9/2024 10:46:48 AM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,merits_journal,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Richard Bruns,false,2,1,3,,,,,,"Pandemic, disease, and bio-risks",,2024-04-05,7/9/2024 10:46:48 AM
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,journal_predict,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",Richard Bruns,false,2,1,4,,,,,,"Pandemic, disease, and bio-risks",,2024-04-05,7/9/2024 10:46:48 AM
Adaptability and the Pivot Penalty in Science,overall,"Published, ~top journal","Innovation, meta-science, and research",Evaluator 1,true,80,70,90,,false,,,,"Innovation, meta-science, & research",WP,2025-05-21,6/5/2025 12:58:51 PM
Adaptability and the Pivot Penalty in Science,claims,"Published, ~top journal","Innovation, meta-science, and research",Evaluator 1,true,82,74,90,,false,,,,"Innovation, meta-science, & research",WP,2025-05-21,6/5/2025 12:58:51 PM
Adaptability and the Pivot Penalty in Science,adv_knowledge,"Published, ~top journal","Innovation, meta-science, and research",Evaluator 1,true,85,78,92,,false,,,,"Innovation, meta-science, & research",WP,2025-05-21,6/5/2025 12:58:51 PM
Adaptability and the Pivot Penalty in Science,methods,"Published, ~top journal","Innovation, meta-science, and research",Evaluator 1,true,85,78,92,,,,,,"Innovation, meta-science, & research",WP,2025-05-21,6/5/2025 12:58:51 PM
Adaptability and the Pivot Penalty in Science,logic_comms,"Published, ~top journal","Innovation, meta-science, and research",Evaluator 1,true,80,71,89,,,,,,"Innovation, meta-science, & research",WP,2025-05-21,6/5/2025 12:58:51 PM
Adaptability and the Pivot Penalty in Science,open_sci,"Published, ~top journal","Innovation, meta-science, and research",Evaluator 1,true,90,85,95,,,,"My rating here is based on the data and its use, not the study’s experimental design in the field, which (like many experiments) likely has many nuances in implementation.",,"Innovation, meta-science, & research",WP,2025-05-21,6/5/2025 12:58:51 PM
Adaptability and the Pivot Penalty in Science,real_world,"Published, ~top journal","Innovation, meta-science, and research",Evaluator 1,true,80,70,90,,,,,,"Innovation, meta-science, & research",WP,2025-05-21,6/5/2025 12:58:51 PM
Adaptability and the Pivot Penalty in Science,gp_relevance,"Published, ~top journal","Innovation, meta-science, and research",Evaluator 1,true,80,70,90,,,,,,"Innovation, meta-science, & research",WP,2025-05-21,6/5/2025 12:58:51 PM
Adaptability and the Pivot Penalty in Science,merits_journal,"Published, ~top journal","Innovation, meta-science, and research",Evaluator 1,true,4.5,4,5,,,,,,"Innovation, meta-science, & research",WP,2025-05-21,6/5/2025 12:58:51 PM
