paper,metric,midpoint,lower_bound,upper_bound
Schuett et al. 2023,overall,70.0,70.0,70.0
Schuett et al. 2023,claims_evidence,65.0,65.0,65.0
Schuett et al. 2023,methods,60.0,60.0,60.0
Schuett et al. 2023,advancing_knowledge,75.0,75.0,75.0
Schuett et al. 2023,logic_communication,80.0,80.0,80.0
Schuett et al. 2023,open_science,80.0,80.0,80.0
Schuett et al. 2023,global_relevance,85.0,85.0,85.0
Williams et al. 2024,overall,88.0,88.0,88.0
Williams et al. 2024,claims_evidence,84.0,84.0,84.0
Williams et al. 2024,methods,82.0,82.0,82.0
Williams et al. 2024,advancing_knowledge,89.0,89.0,89.0
Williams et al. 2024,logic_communication,85.0,85.0,85.0
Williams et al. 2024,open_science,68.0,68.0,68.0
Williams et al. 2024,global_relevance,93.0,93.0,93.0
