author,seed_short_titles,seed_titles_full,unjournal_evals,n_seed_dois_cited_by_author,n_citing_works_by_author
Esther Duflo,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…; A Welfare Analysis of Policies Impacting Climate Change","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes; A Welfare Analysis of Policies Impacting Climate Change",,4,5
Julian Jamison,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,4,5
Berk Özler,"How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,4,3
Johannes Haushofer,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,10
Ahmed Mushfiq Mobarak,"Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,8
Dean Karlan,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,3,7
Vikram Patel,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,6
Abhijit Banerjee,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,5
Asad Islam,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,5
David E. Bloom,Advance Market Commitments; Advance Market Commitments; Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts…,Advance Market Commitments: Insights from Theory and Experience; Advance Market Commitments: Insights from Theory and Experience; Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,,3,5
