label_paper_title,authors,author_date,Abstract,research_url,doi,Funded by,N Referenced by,Deposit date (DOI),Journal publication title,doi_authors,publication_date_unjournal,Updated since UJ report -- manual confirmation,deposit date > unjournal pub date,doi_eval_summary
A review of GiveWell’s discount rate,"Jenny Kudymowa,James Hu,Melanie Basnak,Tom Hird","Kudymowa et al., 2023","Executive summary Notes on the scope and process of this project This project aims to serve the dual purposes of reviewing GiveWell’s current approach to calculating its discount rate(s) to: 1. Provide recommendations to GiveWell on how its approach to discount rates could be improved. 2. Strengthen the justifications for its approach in cases where we do not recommend changes. The direction of this project was mainly guided by our priors 1 that a prioritized investigation into three aspects could potentially make the biggest difference to GiveWell’s discount rate: 1. A review of how other major organizations in the global health and development space (within and outside effective altruism) choose and justify their discount rates. 2. A review of GiveWell’s overall approach to calculating discount rates to determine: a. Whether GiveWell should use a different overall calculation approach. b. Whether GiveWell should think differently about discounting consumption vs. health outcomes. 3. A review of the pure time preference component of GiveWell’s discount rate. We also reviewed several other components of the discount rate (consumption growth rate, compounding non-monetary benefits, temporal uncertainty), but decided to spend less time on those as we deemed it less likely to make major recommendations or expected it would be harder to make meaningful progress. Table 1 summarizes our recommendations for GiveWell’s discounting practices. The majority of this report focuses on the discount rate used for consumption benefits, as this appears to be the “main” discount rate used by GiveWell, 2 but we also discuss discounting of health benefits. We do not discuss discounting of costs in this report as (1) GiveWell’s cost-effectiveness models rarely involve discounting costs, and (2) our general impression is that the typical approach across organizations is to discount monetary costs and benefits equally and we have seen very little discussion of alternative approaches. 3 A review of the shape of the utility functions 4 used is also out of scope for this review. Moreover, we focus exclusively on temporal discounting.
5 If the time frame is not specified, all discount rates expressed as
percentages are annual. Due to the variety of existing opinions and approaches with respect to
discount rates and a relative lack of consensus, we opted to approach this project from a
perspective of figuring out whether there are any compelling reasons to change GiveWell’s
current approach, rather than starting from scratch and coming up with a discount rate
independently of the current approach.",https://rethinkpriorities.org/wp-content/uploads/2023/11/Discountrate.pdf,,,,,WP,,,false,false,
"A Welfare Analysis of Policies
Impacting Climate Change","Robert W. Hahn,Nathaniel Hendren,Robert D. Metcalfe,Ben Sprung-Keyser","Hahn et al., 2025","What are the most e↵ective ways to address climate change? This paper extends and applies the marginal value of public funds (MVPF) framework to help answer this question. We examine 96 US environmental policy changes studied over the past 25 years. These policies span subsidies (wind, residential solar, electric and hybrid vehicles, vehicle retirement, appliance rebates, weatherization), nudges (marketing, energy conservation), and revenue raisers (fuel taxes, cap and trade). For each policy, we draw upon quasi-experimental or experimental evaluations of its causal e↵ects and translate those estimates into an MVPF. We apply a consistent translation of these behavioral responses into measures of their associated externalities and valuations of those externalities. We also provide a new method for incorporating learning-by-doing spillovers. The analysis yields three main results: First, subsidies for investments that directly displace the dirty production of electricity, such as production tax credits for wind power and subsidies for residential solar panels, have higher MVPFs (generally exceeding 2) than all other subsidies in our sample (with MVPFs generally around 1). Second, nudges to reduce energy consumption have large MVPFs, with values above 5, when targeted to regions of the US with a dirty electric grid. By contrast, policies targeting areas with cleaner grids, such as California and the Northeast, have substantially smaller MVPFs (often below 1). Third, fuel taxes and cap-and-trade policies are highly ecient means of raising revenue (with MVPFs below 0.7). We contrast these conclusions with those derived from more traditional cost-per-ton metrics used in previous literature.",https://policyimpacts.org/wp-content/uploads/2024/07/MVPF_Climate_Policy.pdf,doi.org/10.3386/w32728,,14,9/29/2025,WP,Robert Hahn; Nathaniel Hendren; Robert Metcalfe; Ben Sprung-Keyser,5/23/2025,false,true,https://doi.org/10.21428/d28e8e57.168646d1
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,,"Barberio et al., 2022","We analyze the financial performance of a hypothetical portfolio of 120 mRNA vaccine candidates in the preclinical stage targeting 11 emerging infectious diseases. We calibrate the simulation parameters with input from domain experts in mRNA technology and an extensive literature review. We find that the portfolio generates an average annualized return on investment of –6.0% per annum and a net present value of –$9.5 billion, despite the scientific advantages of mRNA technology and the financial benefits of diversification. Clinical trial costs account for 94% of the total investment, with manufacturing costs accounting for only 6%. Sensitivity analysis reveals that the most important factor determining financial performance is the price per dose, while the increased probability of success due to mRNA technology, adjusting the size of the portfolio, and the possibility of conducting human challenge trials do not significantly improve financial performance. These results underscore that if the goal is to create a sustainable business model and robust global vaccine ecosystem, continued collaboration between government agencies and the private sector is likely to be necessary.


",https://www.nber.org/papers/w30126,https://doi.org/10.3386/w30126,,0,7/27/2022,,Joseph Barberio; Jacob Becraft; Zied Ben Chaouch; Dimitris Bertsimas; Tasuku Kitada; Michael Lingzhi Li; Andrew Lo; Kevin Shi; Qingyang Xu,4/5/2024,false,false,https://doi.org/10.21428/d28e8e57.59b7c04e
Adaptability and the Pivot Penalty in Science,"Ryan Hill,Yian Yin,Carolyn Stein,Dashun Wang,Benjamin F. Jones","Hill et al., 2024","Scientists and inventors
set the
direction of their work
amidst an evolving landscape of
questions, opportunities, and challenges
.
This paper introduces a measurement framework
to
quantify how far
researchers
move from their existing research when producing new
works.
We apply this framework to
millions of
scientific publications
and
patents
and
uncover
a pervasive “pivot penalty,” where the impact of new research steeply declines the
further a researcher moves from their prior work.
T
he pivot penalty applies nearly
universally across
scientific publishing and patenting
and has been growing in magnitude
over the past five decades.
While creativity frameworks suggest a benefit to exploratory
search by researchers and often emphasize outsider advantages in driving breakthroughs,
we find little evidence for such an advantage.
T
he
pivot
penalty is consistent with
increasingly narrow specializations of researchers
, and when researchers undertake large
pivots,
a signature of their work is weak engagement with established
mixtures
of
prior
knowledge
.
Unexpected shocks
to the r
esearch landscape, which
may push researchers
away from existing areas or pull them into new ones
, further demonstrate
substantial pivot
penalt
ies
.
COVID
-
19
provides
a high
-
scale case study,
w
here
many researchers
engage
d
the pandemic, yet
the pivot penalty remains severe.
T
he
pivot
penalty
generalizes across
fields,
career stage, productivity, collaboration, and funding contexts,
highlighting both
the
breadth and
depth of the adaptive challenge.
Overall, the findings point to large and
increasing challenges in adapting to new opportunities and threats. The results have
implications for individual researchers, research organizations, science policy, and the
capacity of science and society as a whol
e to confront emergent demands",https://www.dropbox.com/s/5itlmhdkz1ll7jp/MS_SI_combined.pdf?dl=0,https://doi.org/10.48550/arXiv.2107.06476,,,,Nature,,5/21/2025,false,false,https://doi.org/10.2139/ssrn.3886142
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,"Daniel J. Benjamin,Kristen B. Cooper,Ori Heffetz,Miles S. Kimball,Jiannan Zhou","Benjamin et al., 2024","Analyses of self-reported-well-being (SWB) survey data may be confounded if people use response scales differently. We use calibration questions, designed to have the same objective answer across respondents, to measure dimensional (i.e., specific to an SWB dimension) and general (i.e., common across questions) scale-use heterogeneity. In a sample of ~3,350 MTurkers, we find substantial such heterogeneity that is correlated with demographics. We develop a theoretical framework and econometric approaches to quantify and adjust for this heterogeneity. We apply our new estimators in several standard SWB applications. Adjusting for general-scale-use heterogeneity changes results in some cases.",https://www.nber.org/papers/w31728,doi.org/10.3386/w31728,,9,8/13/2024,WP,Daniel Benjamin; Kristen Cooper; Ori Heffetz; Miles Kimball; Jiannan Zhou,,false,false,
Advance Market Commitments: Insights from Theory and Experience,"Michael Kremer,Jonathan D. Levin,Christopher M. Snyder","Kremer et al., 2020","Ten years ago, donors committed $1.5 billion to a pilot Advance Market Commitment (AMC) to help purchase pneumococcal vaccine for low-income countries. The AMC aimed to encourage the development of such vaccines, ensure distribution to children in low-income countries, and pilot the AMC mechanism for possible future use. Three vaccines have been developed and more than 150 million children immunized, saving an estimated 700,000 lives. This paper reviews the economic logic behind AMCs, the experience with the pilot, and key issues for future AMCs.",https://sites.dartmouth.edu/csnyder/files/2021/02/w26775.pdf,https://doi.org/10.1257/pandp.20201017,,49,6/2/2020,AEA Papers and Proceedings,Michael Kremer; Jonathan Levin; Christopher M. Snyder,3/20/2023,false,false,https://doi.org/10.21428/d28e8e57.652a843a
AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,"Philipp Schoenegger,Peter S. Park,Ezra Karger,Philip E. Tetlock","Schoenegger et al., 2025","Large language models (LLMs) match and sometimes exceed human performance in many domains. This study explores the potential of LLMs to augment human judgment in a forecasting task. We evaluate the effect on human forecasters of two LLM assistants: one designed to provide high-quality (“superforecasting”) advice, and the other designed to be overconfident and base-rate neglecting, thus providing noisy forecasting advice. We compare participants using these assistants to a control group that received a less advanced model that did not provide numerical predictions or engage in explicit discussion of predictions. Participants (N  991) answered a set of six forecasting questions and had the option to consult their assigned LLM assistant throughout. Our preregistered analyses show that interacting with each of our frontier LLM assistants significantly enhances prediction accuracy by between 24% and 28% compared to the control group. Exploratory analyses showed a pronounced outlier effect in one forecasting item, without which we find that the superforecasting assistant increased accuracy by 41%, compared with 29% for the noisy assistant. We further examine whether LLM forecasting augmentation disproportionately benefits less skilled forecasters, degrades the wisdom-of-the-crowd by reducing prediction diversity, or varies in effectiveness with question difficulty. Our data do not consistently support these hypotheses. Our results suggest that access to a frontier LLM assistant, even a noisy one, can be a helpful decision aid in cognitively demanding tasks compared to a less powerful model that does not provide specific forecasting advice. However, the effects of outliers suggest that further research into the robustness of this pattern is needed.",https://dl.acm.org/doi/abs/10.1145/3707649,https://doi.org/10.48550/arXiv.2402.07862,,,,ACM TiiS,,,false,false,
All Crises Are Unhappy in Their Own Way: The Role of Societal Instability in Shaping the Past,"Daniel Hover,Samantha Louise Holder,James S Bennett,Pieter François,Harvey Whitehouse,Alan Covey,Gary Feinman,Andrey Korotayev,Vadim Vustiuzhanin,Johannes Preiser-Kapeller,Kathryn Bard,Jill Levine,Jenny Reddish,Georg Orlandi,Rachel Ainsworth,Peter Turchin","Hover et al., 2024","Societal ‘crises’ are periods of turmoil and destabilization in socio
-
cultural, political, economic, and other 
systems, often accompanied by varying amounts of violence and sometimes significant changes in social 
structure.
The extensive literature analyzing societal crises has concentrated on relatively few historical 
examples (
large
-
scale events such 
the fall of the Roman Empire
or
the French and Russian Revolutions
)
emphasizing different aspects of these events as potential causes or consistent effects. 
To 
investigate crises 
and 
prior approaches to explaining them, 
and 
to 
avoid a potential small
-
sample size bias 
present in several 
previous studies, we sought to uniformly characterize a 
substantial 
collection of historical crises, spanning 
millennia, from the prehistoric to post
-
industrial, and afflicting a wide range of polities in diverse global 
regions
; the Crisis Database (CrisisDB)
. 
Here
,
we describe 
this dataset which comprises
168 crises suggested 
by historians and characterized by a number of significant 'consequences' (
such as
civil war, 
epidemics,
or
loss of populat
ion
)
including also institutional and cultural reforms 
(
for example
improved 
sufferance
or
constitutional changes)
that
might occur during 
and 
immediately 
following 
the crisis period.
Our analys
e
s 
show 
that 
the 
consequences
experienced by
each crisis
is highly variable
. The 
outcomes 
themselves are 
uncorrelated with one another and, overall, the set of consequences is largely unpredictable 
when compared 
to 
other 
large
-
scale
properties of society suggested by previous scholars such as its territorial size, religion, 
administrative
size, or historical recency.
We conclude that there is no ‘typical’ societal crisis of the past, but 
crisis situations can take a variety of different directions. We offer some suggestions on the forces that might 
drive these varying consequences for exploration in future work.",https://doi.org/10.31235/osf.io/rk4gd,https://doi.org/10.31235/osf.io/rk4gd,,8,3/4/2024,WP,,,false,false,
Artificial Intelligence and Economic Growth,"Philippe Aghion, Benjamin F. Jones,Charles I. Jones","Aghion et al., 2022","This paper examines the potential impact of artificial intelligence (A.I.) on economic growth. We model A.I. as the latest form of automation, a broader process dating back more than 200 years. Electricity, internal combustion engines, and semiconductors facilitated automation in the last century, but A.I. now seems poised to automate many tasks once thought to be out of reach, from driving cars to making medical recommendations and beyond. How will this affect economic growth and the division of income between labor and capital? What about the potential emergence of “singularities” and “superintelligence,” concepts that animate many discussions in the machine intelligence community? How will the linkages between A.I. and growth be mediated by firm-level considerations, including organization and market structure? The goal throughout is to refine a set of critical questions about A.I. and economic growth and to contribute to shaping an agenda for the field. One theme that emerges is based on Baumol’s “cost disease” insight: growth may be constrained not by what we are good at but rather by what is essential and yet hard to improve.",https://www.nber.org/system/files/working_papers/w23928/w23928.pdf,doi.org/10.3386/w23928,,242,7/21/2022,University of Chicago Press,Philippe Aghion; Benjamin Jones; Charles Jones,3/16/2023,false,false,
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,"Moussa P. Blimpo,Paul Castañeda Dower","Blimpo and Dower, ","In low-income countries, a substantial informational wedge exists betweenthe state and firms regarding the fiscal contract, especially for microenterprisesin the informal sector. We conducted a randomized controlled trial in Lom ́e,Togo, to test how improving informal firms’ understanding of the fiscal contractaffects tax participation. The intervention trained firms on the tax code andthe purpose of taxation to capture the reciprocal nature of taxation that iscentral to modern states. We find that the intervention, counterintuitively,decreased the number of firms actively paying nonzero tax amounts, but, in linewith our expectations, increased economic activity and tax revenue collected.We rationalize these findings with a simple model and show that i) low-revenuefirms, empowered to challenge tax officials’ assessments of their actual revenue,are less likely to pay and ii) high-revenue firms, encouraged to self-declarerather than hiding to avoid paying taxes, are more likely to pay. These findingssuggest that empowering informal microenterprises by addressing their deficitin civic information can enhance economic activities and generate higher totaltax revenues without necessarily widening the tax base.
",https://www.dropbox.com/scl/fi/kgj5d5hr97t52xl1jhabs/Blimpo-Castaneda-Dower2025-Training-Taxation-Informal-Firms-Togo.pdf?rlkey=y3naz50zukfnm1okfk7js9ktd&dl=0,https://novafrica.org/wp-content/uploads/2021/11/2021.12.10_Moussa-Blimpo.pdf,,,,WP,,8/11/2025,false,false,
