paper_title,author_date_citation,doi,doi_deposit_date,publication_date_unjournal,journal_publication_title,download_date,filename
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,"Adena, Maja,Hager, Anselm",,,,,2025-12-01,FAILED_Adena MajaHager Anselm_Does online fundraising increase charitable giving A nationwide field experiment on Facebook.pdf
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,"Ariel Benyishay,Rachel Sayers,Kunwar K. Singh,Seth Goodman,Madeleine Walker,Souleymane S. Traore,Mascha Rauschenbach,Martin Noltze",,,,,2025-12-01,FAILED_Ariel BenyishayRachel SayersKunwar K SinghSeth GoodmanMadeleine WalkerSouleymane S TraoreMascha Raus_Irrigation Strengthens Climate Resilience- Long-term Evidence from Mali using Satellites and Surveys.pdf
Cash Transfers for Child Development: Experimental Evidence from India,"Jeffrey Weaver,Sandip Sukhtankar,Paul Niehaus &Karthik Muralidharan ",,,,,2025-12-01,Jeffrey WeaverSandip SukhtankarPaul Niehaus Karthik Muralidharan_Cash Transfers for Child Development- Experimental Evidence from India.pdf
"Social Safety Nets, Women’s Economic
Achievements and Agency","Amber Peterman,Jingying Wang,Kevin Kamto Sonke,Janina Steinert",,,,,2025-12-01,FAILED_Amber PetermanJingying WangKevin Kamto SonkeJanina Steinert_Social Safety Nets Womens EconomicAchievements and Agency.pdf
Forecasts estimate limited cultured meat production through 2050 (EA forum post),"Neil Dullaghan,Linchuan Zhang",,,,,2025-12-01,FAILED_Neil DullaghanLinchuan Zhang_Forecasts estimate limited cultured meat production through 2050 EA forum post.pdf
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions ","Roland Bénabou,Armin Falk,Luca Henkel",,,,,2025-12-01,Roland BénabouArmin FalkLuca Henkel_Ends versus Means- Kantians Utilitarians and Moral Decisions.pdf
Artificial Intelligence and Economic Growth,"Philippe Aghion, Benjamin F. Jones,Charles I. Jones",,,,,2025-12-01,Philippe Aghion Benjamin F JonesCharles I Jones_Artificial Intelligence and Economic Growth.pdf
Advance Market Commitments: Insights from Theory and Experience,"Michael Kremer,Jonathan D. Levin,Christopher M. Snyder",,,,,2025-12-01,Michael KremerJonathan D LevinChristopher M Snyder_Advance Market Commitments- Insights from Theory and Experience.pdf
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,"Nathan Barker,Gharad T. Bryan,Dean Karlan,Angela Ofori-Atta,Christopher R. Udry",,,,,2025-12-01,FAILED_Nathan BarkerGharad T BryanDean KarlanAngela Ofori-AttaChristopher R Udry_Cognitive Behavioral Therapy among Ghanas Rural Poor Is Effective Regardless of Baseline Mental Dist.pdf
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,"Johannes Haushofer,Robert Mudida,Jeremy P. Shapiro",,,,,2025-12-01,Johannes HaushoferRobert MudidaJeremy P Shapiro_The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic W.pdf
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,"David Denkenberger,Anders Sandberg,Ross John Tieman,Joshua M. Pearce",,,,,2025-12-01,David DenkenbergerAnders SandbergRoss John TiemanJoshua M Pearce_Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial gener.pdf
Banning wildlife trade can boost demand for unregulated threatened species,"Takahiro Kubo,Taro Mieno,Shinya Uryu,Saeko Terada,Diogo Veríssimo",,,,,2025-12-01,Takahiro KuboTaro MienoShinya UryuSaeko TeradaDiogo Veríssimo_Banning wildlife trade can boost demand for unregulated threatened species.pdf
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,"Anicet Fangwa,Caroline Flammer,Marieke Huysentruyt,Bertrand Quelin",,,,,2025-12-01,Anicet FangwaCaroline FlammerMarieke HuysentruytBertrand Quelin_The Governance Of Non-Profits And Their Social Impact- Evidence From A Randomized Program In Healthc.pdf
The Environmental Effects of Economic Production: Evidence from Ecological Observations,"Yuanning Liang,Ivan Rudik,Eric Zou",,,,,2025-12-01,FAILED_Yuanning LiangIvan RudikEric Zou_The Environmental Effects of Economic Production- Evidence from Ecological Observations.pdf
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,"Mark Buntaine,Michael Greenstone,Guojun He,Mengdi Liu,Shaoda Wang,Bing Zhang",,,,,2025-12-01,Mark BuntaineMichael GreenstoneGuojun HeMengdi LiuShaoda WangBing Zhang_Does the Squeaky Wheel Get More Grease The Direct and Indirect Effects of Citizen Participation on E.pdf
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,"Vivi Alatas,Arun G. Chandrasekhar,Markus Mobius,Benjamin A. Olken,Cindy Paladines",,,,,2025-12-01,Vivi AlatasArun G ChandrasekharMarkus MobiusBenjamin A OlkenCindy Paladines_When Celebrities Speak- A Nationwide Twitter Experiment Promoting Vaccination In Indonesia.pdf
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,"B. Kelsey Jack,Seema Jayachandran,Namrata Kala,Rohini Pande",,,,,2025-12-01,B Kelsey JackSeema JayachandranNamrata KalaRohini Pande_Money Not to Burn- Payments for Ecosystem Services to Reduce Crop Residue Burning.pdf
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,,,,,,2025-12-01,unknown_Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery.pdf
