paper,metric,midpoint,lower_bound,upper_bound,rationale,.rowid,doi_key,arxiv_key,title_key,first_author,year_key,uj_map_key
Acemoglu et al. 2024,overall,86,79,92,"Large, well-powered field experiment plus online study; preregistered, IRB-approved, administrative outcomes, careful design, and mechanism probing. Estimates are credible and policy-relevant. Limits: collaboration only with opposition partners, one partisan arm, potential spillovers, and uncertain availability of full replication materials; external validity beyond Türkiye is open. Overall ranks in the top decile of recent political economy field experiments.",1,NA,NA,NA,NA,NA,NA
Acemoglu et al. 2024,claims_evidence,88,80,94,Main claims (widespread misperceptions; accurate information shifts beliefs and votes) are clearly stated and supported by convergent online and field evidence. Placebo controls mitigate demand effects; heterogeneity aligns with mechanism theory. Authors are cautious in scope. Minor caveat: longer-run effect is marginal; mechanism causality relies on heterogeneity rather than dedicated manipulation.,2,NA,NA,NA,NA,NA,NA
Acemoglu et al. 2024,methods,90,82,96,"Neighborhood-level randomization, strong first stages, 2SLS on compliance, administrative outcomes, robustness checks, and an online placebo design; preregistered and IRB-cleared. Threats (interference, partisan implementation, minor imbalance) discussed and largely addressed; SUTVA untestable. Multiple-election replication strengthens credibility. Formal multiple-testing adjustments are not emphasized.",3,NA,NA,NA,NA,NA,NA
Acemoglu et al. 2024,advancing_knowledge,85,75,92,"Rare, large-scale causal evidence that correcting institutional misperceptions can shift votes under authoritarianism. Integrates online and field experiments, examining messenger credibility and targeting the misinformed. Moves debate beyond polarization-only effects. External validity to other settings/issues is uncertain, but contribution is substantive.",4,NA,NA,NA,NA,NA,NA
Acemoglu et al. 2024,logic_communication,87,80,93,"Questions and theory are explicit; assumptions transparent; analyses and robustness are clearly presented. Figures/tables support the narrative and results are cautiously interpreted. Complexity from bundled/unbundled treatments and multiple panels may tax readers, but the reasoning remains coherent and consistent.",5,NA,NA,NA,NA,NA,NA
Acemoglu et al. 2024,open_science,78,65,88,"IRB approvals and AEA RCT registration; instruments and OSM shared; outcomes use public administrative data. It is unclear if full code, randomization files, and canvassing logs are publicly posted; some microdata may be restricted. Replication appears feasible but may not be fully turnkey.",6,NA,NA,NA,NA,NA,NA
Acemoglu et al. 2024,global_relevance,90,82,96,"Highly relevant to democracy support under authoritarianism, with practical guidance on information content, messenger credibility, and targeting. Timely, scalable insights and quantified electoral impacts inform policy and civil society strategies. Implementation depends on local legal and ethical constraints.",7,NA,NA,NA,NA,NA,NA
Aghion et al. 2017,overall,71,63,79,"Influential, well-argued theory paper that frames key AI–growth mechanisms (automation, Baumol effects, idea production) and offers clear agendas. Limited empirical validation and open-science practices temper the score, as do strong simplifying assumptions (exogenous automation). Still highly relevant to policy and research, with strong exposition and conceptual contributions.",8,NA,NA,NA,NA,NA,NA
Aghion et al. 2017,claims_evidence,72,60,82,"Main claims are posed as questions and cautiously characterized; evidence is primarily theoretical with illustrative simulations and sectoral facts. Authors discuss limitations (e.g., exogenous automation, bottlenecks, business-stealing) and alternative mechanisms. Empirical support is light and non-identifying, so claims remain partially speculative by design.",9,NA,NA,NA,NA,NA,NA
Aghion et al. 2017,methods,68,55,78,Clean extensions of Zeira and task-based CES frameworks; transparent neoclassical closure and simulations. Assumptions are reasonable for agenda-setting but automation is exogenous; robustness explored qualitatively across parameter regimes. No causal empirics or formal calibration/estimation; limited sensitivity analysis.,10,NA,NA,NA,NA,NA,NA
Aghion et al. 2017,advancing_knowledge,78,68,86,"Integrates Baumol’s cost disease with automation, clarifies conditions for balanced growth vs acceleration, and formalizes singularity scenarios. Helped shape subsequent research on AI and growth. Practical guidance is high-level; limited quantification reduces immediate applied impact.",11,NA,NA,NA,NA,NA,NA
Aghion et al. 2017,logic_communication,88,82,94,Questions and assumptions are explicit; reasoning is coherent and transparent. Models are clearly laid out; conclusions match derivations. Writing is accessible and effective for economists and policymakers. Minor reliance on stylized setups does not detract from clarity.,12,NA,NA,NA,NA,NA,NA
Aghion et al. 2017,open_science,40,25,55,No replication package or code provided; uses public data sources but limited documentation for simulations. Methods are reproducible in principle for theory but empirical sections are not turnkey. Not preregistered; no multiple-testing issues relevant.,13,NA,NA,NA,NA,NA,NA
Aghion et al. 2017,global_relevance,82,70,90,"Addresses globally salient topics: AI’s effects on growth, labor shares, inequality, market structure. Policy implications (competition, IP, organization) are discussed, though quantification is limited and LMIC-specific analysis is brief. High relevance for priority-setting and foresight.",14,NA,NA,NA,NA,NA,NA
Akram et al. 2017,overall,77,70,84,"Overall reflects the mean across categories. Strong saturation-RCT design, clear empirical results, and policy relevance. Credibility is high but tempered by some measurement limitations (imprecise denominators in a subset of villages, retrospective employer outcomes), limited multiple-testing adjustments, and external-validity concerns given later mixed scale-up evidence.",15,NA,NA,NA,NA,NA,NA
Akram et al. 2017,claims_evidence,80,73,87,"Main claims—subsidies raise migration; spillovers increase village wages/hours; limited food price effects—are well supported by a saturation RCT, strong first stages, high-frequency household data, and employer/price surveys. Some secondary claims (employer profits, specific prices) are weaker due to retrospective measures and imprecise denominators in some villages. External validity is cautioned.",16,NA,NA,NA,NA,NA,NA
Akram et al. 2017,methods,78,70,85,"Well-justified saturation design enabling GE identification; IV with strong first stages; high-frequency measurement reduces recall bias; clustered SEs; checks on spatial spillovers. Assumptions (closed labor markets, short-run technology rigidity) are reasonable but not airtight. Limited multiple-hypothesis adjustments and some retrospective modules reduce robustness.",17,NA,NA,NA,NA,NA,NA
Akram et al. 2017,advancing_knowledge,75,68,82,"Provides rare experimental evidence on GE spillovers of internal migration, documenting wage, labor-supply, and distributional effects. Influential for debates on mobility policies and program scale-up. Incremental relative to more recent GE work and context-specific; later mixed results at scale temper field-wide impact.",18,NA,NA,NA,NA,NA,NA
Akram et al. 2017,logic_communication,85,78,90,"Clear questions and theory organizing empirics; transparent assumptions; consistent logic from first stage to GE outcomes; coherent triangulation across HF surveys, endline, employers, and prices. Tables/labels are clear; limitations acknowledged.",19,NA,NA,NA,NA,NA,NA
Akram et al. 2017,open_science,65,55,75,"Pre-registered (AEA RCT registry 2507) with disclosures and substantial design detail. Public data/code availability is unclear; complex implementation may hinder easy reproduction; limited explicit multiple-testing plans. Better than average pre-2019 standards, below current best practices.",20,NA,NA,NA,NA,NA,NA
Akram et al. 2017,global_relevance,80,72,88,"Highly relevant to LMIC policy on seasonal hunger, internal migration, and rural labor markets; quantifies wage and price effects useful to practitioners. Applicability varies with context and market integration; later scale-up evidence mixed, warranting cautious extrapolation.",21,NA,NA,NA,NA,NA,NA
